	f_pHep_m_ConvR_1	f_pHep_m_ConvR_2	f_pHep_m_ConvR_3	f_pHep_f_ConvR_1	f_pHep_f_ConvR_2	f_pHep_f_ConvR_3	f_pHep_f_ConvR_1	f_pHep_f_GF_serum_2	f_pHep_f_GF_serum_3	f_pHep_f_GF_serum__GH_1	f_pHep_f_GF_serum_GH_2	f_pHep_f_GF_serum_GH_3	m_pHep_m_ConvR_1	m_pHep_m_ConvR_2	m_pHep_m_ConvR_3
ENSMUSG00000000532|Acvr1b	854	754	957	951	1210	1064	752	887	693	1011	941	991	565	557	567
ENSMUSG00000000538|Tom1l2	754	703	878	838	960	802	844	852	654	957	751	891	609	592	641
ENSMUSG00000000544|Gpa33	1	0	0	0	0	0	1	0	0	0	0	1	4	0	1
ENSMUSG00000000552|Zfp385a	422	209	242	291	337	283	249	224	225	231	249	288	209	179	192
ENSMUSG00000000555|Itga5	3375	2437	3121	2119	2446	1902	2385	2632	2334	3358	3110	3357	1833	2170	2273
ENSMUSG00000000560|Gabra2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000000561|Wdr77	3996	3535	4201	3900	4458	4537	4129	4486	3988	4913	4615	4884	2893	3480	3252
ENSMUSG00000000562|Adora3	1	0	1	1	0	0	0	0	0	0	1	1	0	1	4
ENSMUSG00000000563|Atp5f1	8385	8726	9628	10347	11388	11050	9094	9169	8688	11297	10129	12101	8979	9762	9816
ENSMUSG00000000567|Sox9	1123	730	812	908	864	420	698	767	673	909	673	864	427	474	487
ENSMUSG00000000568|Hnrnpd	1292	794	1035	1114	1263	1136	1178	1304	1096	1442	1304	1342	722	918	888
ENSMUSG00000000579|Dynlt1c	64	62	102	100	119	103	79	66	94	123	101	121	61	72	62
ENSMUSG00000000581|C1d	1629	1711	1998	2345	2562	2572	2057	2166	2014	2488	2435	2686	1861	1920	2274
ENSMUSG00000000594|Gm2a	1078	1063	1049	1533	1502	1438	1113	1052	970	1610	1163	1543	1221	1283	1275
ENSMUSG00000000600|Krit1	1393	1340	1687	1803	2087	1937	1741	1518	1399	2092	1846	1945	1262	1621	1418
ENSMUSG00000000605|Clcn4-2	1692	1497	1991	2110	2288	1939	1847	1803	1592	2336	1962	2407	1773	2246	2063
ENSMUSG00000000606|Vmn2r88	1	0	0	0	2	0	0	0	0	1	0	0	1	0	0
ENSMUSG00000000617|Grm6	1	1	0	0	0	0	0	0	0	1	1	0	0	1	3
ENSMUSG00000000627|Sema4f	0	2	1	0	4	1	0	3	0	2	3	1	16	19	20
ENSMUSG00000000628|Hk2	279	255	282	259	306	186	270	275	253	372	355	382	223	279	234
ENSMUSG00000000631|Myo18a	6811	6541	6879	8633	9070	6991	6563	6696	5316	10447	6919	8670	4060	4379	4451
ENSMUSG00000000632|Sez6	0	1	0	1	1	1	1	2	2	2	2	1	0	1	6
ENSMUSG00000000673|Haao	69	90	73	103	77	111	64	61	92	84	72	79	172	197	218
ENSMUSG00000000682|Cd52	3	0	2	6	3	0	3	6	3	2	7	4	4	2	6
ENSMUSG00000000686|Abhd15	58	96	45	86	102	116	80	118	79	103	61	88	61	75	73
ENSMUSG00000000690|Hoxb6	0	5	1	0	0	0	0	0	0	1	2	1	1	1	0
ENSMUSG00000000693|Loxl3	8	1	5	6	7	7	5	10	10	10	11	5	4	10	13
ENSMUSG00000000701|Tcl1b5	4	10	2	7	6	4	4	2	6	3	2	6	0	10	6
ENSMUSG00000000706|Btn1a1	1	1	3	5	1	1	0	2	0	3	0	2	0	12	4
ENSMUSG00000000708|Kat2b	2698	2619	3198	3639	4095	3913	3344	3366	2877	4245	3597	4438	2842	3379	3088
ENSMUSG00000000711|Rab5b	4553	4215	4966	4882	5660	5766	4734	5415	4792	5322	5304	6099	4468	4890	4617
ENSMUSG00000000724|Cryba1	1	3	1	0	2	1	1	1	0	0	2	2	1	1	3
ENSMUSG00000000730|Dnmt3l	0	2	0	1	0	1	4	1	0	0	0	0	2	2	2
ENSMUSG00000000731|Aire	1	2	0	0	0	0	5	1	0	1	0	5	0	1	0
ENSMUSG00000000732|Icosl	25	17	18	33	34	31	31	41	22	67	47	31	15	18	25
ENSMUSG00000000738|Spg7	1846	1851	2018	2063	2367	2246	1714	2056	1771	2333	2000	2425	1578	1816	1771
ENSMUSG00000000739|Sult5a1	22	15	16	23	35	31	18	16	21	29	18	20	43	33	55
ENSMUSG00000000740|Rpl13	25957	24659	25848	24296	28438	29914	24172	27655	26036	27361	27722	32118	20579	21395	22238
ENSMUSG00000000743|Chmp1a	6101	6102	6308	6198	7434	7153	5842	6267	6044	6721	6517	7574	5785	6120	6177
ENSMUSG00000000751|Rpa1	2390	2544	2814	3083	3289	3389	2709	2915	2503	3282	2898	3413	1817	1915	1775
ENSMUSG00000000753|Serpinf1	3691	4018	4129	5631	6177	4129	4134	4015	3234	5721	3807	5127	4597	4995	4934
ENSMUSG00000000759|Tubgcp3	1631	1516	1640	1864	2157	1990	1744	1822	1590	2037	1852	1954	1312	1495	1276
ENSMUSG00000000766|Oprm1	3	0	2	0	0	0	1	0	11	2	1	1	0	0	5
ENSMUSG00000000776|Polr3d	2419	2036	2322	1938	2494	2382	2254	2630	2372	2577	2605	3009	1929	2068	2042
ENSMUSG00000000782|Tcf7	352	201	248	215	269	219	204	341	250	294	247	287	89	82	92
ENSMUSG00000000787|Ddx3x	26755	21252	28528	26622	30069	28018	26623	29735	25211	31740	31613	35776	19801	23081	22250
ENSMUSG00000000791|Il12rb1	34	44	45	32	58	60	36	37	39	41	54	68	66	56	64
ENSMUSG00000000792|Slc5a5	3	6	8	3	4	9	4	5	2	6	10	2	1	4	3
ENSMUSG00000000794|Kcnn3	2	9	8	6	8	3	4	6	0	11	4	6	9	8	11
ENSMUSG00000000804|Usp32	4460	3270	4547	4367	4657	4256	4242	4588	3635	5605	4713	5521	2803	3460	3218
ENSMUSG00000000805|Car4	1	3	0	2	2	3	0	3	0	0	0	0	0	0	0
ENSMUSG00000000811|Txnrd3	619	531	574	586	672	718	577	648	500	672	700	775	337	379	415
ENSMUSG00000000817|Fasl	0	0	0	0	0	0	1	0	1	1	0	4	0	0	0
ENSMUSG00000000823|Znf512b	793	754	743	925	1041	825	763	667	654	1000	777	882	571	600	628
ENSMUSG00000000826|Dnajc5	11055	11327	12144	14443	16483	15050	12358	12522	10559	15943	13152	15864	11450	13251	11786
ENSMUSG00000000827|Tpd52l2	6132	5462	6273	5928	7127	7499	6331	7025	6214	7004	7027	8140	6290	6882	6996
ENSMUSG00000000838|Fmr1	2316	2070	2703	2860	3229	2760	2744	2666	2263	3595	3059	3217	2029	2409	2288
ENSMUSG00000000861|Bcl11a	1	4	3	1	0	0	0	1	1	0	1	2	0	2	1
ENSMUSG00000000869|Il4	0	2	1	0	0	0	1	2	0	1	0	1	0	0	0
ENSMUSG00000000876|Pxmp4	506	720	585	1017	1148	737	597	491	491	882	557	825	515	526	506
ENSMUSG00000000881|Dlg3	634	601	703	696	750	697	598	693	605	791	662	746	577	605	645
ENSMUSG00000000884|Gnb1l	140	192	154	197	220	214	160	203	125	218	155	173	96	79	100
ENSMUSG00000000889|Dbh	1	2	1	0	2	0	0	3	4	0	0	0	0	0	0
ENSMUSG00000000901|Mmp11	30	32	36	21	30	35	28	49	35	34	38	30	18	25	13
ENSMUSG00000000902|Smarcb1	1383	1306	1338	1670	2010	1721	1413	1593	1364	1691	1484	1773	978	1032	1167
ENSMUSG00000000903|Vpreb3	3	2	0	1	3	7	1	3	2	3	1	2	5	2	1
ENSMUSG00000000915|Hip1r	12600	13169	13787	10978	13053	10921	10891	11558	10313	12251	11807	13159	8943	10002	9810
ENSMUSG00000000916|Nsun5	1113	1037	1071	1139	1281	1518	1021	1153	1045	1223	1168	1297	710	740	767
ENSMUSG00000000934|Top1mt	1113	1087	1125	1377	1543	1427	1241	1213	1251	1435	1361	1579	938	935	930
ENSMUSG00000000938|Hoxa10	0	1	0	0	0	0	0	2	0	0	0	1	1	2	0
ENSMUSG00000000942|Hoxa4	1	4	2	0	0	0	0	2	3	0	2	2	2	3	1
ENSMUSG00000000948|Snrpn	670	669	740	840	949	810	690	765	682	812	810	889	609	698	717
ENSMUSG00000000957|Mmp14	3966	2668	3368	3112	3853	4203	3198	4240	3553	3640	3753	4207	2620	2601	2729
ENSMUSG00000000958|Slc7a7	176	134	206	216	194	162	170	199	175	310	216	277	257	281	314
ENSMUSG00000000959|Oxa1l	2292	2364	2381	2450	2893	2754	2222	2424	2177	2683	2301	2693	1802	2167	1856
ENSMUSG00000000976|Heatr6	2021	1899	2177	2531	2781	2502	2199	2357	1792	2544	2144	2542	1424	1659	1478
ENSMUSG00000000982|Ccl3	5	5	6	7	9	12	7	4	14	222	195	228	5	7	13
ENSMUSG00000000983|Wfdc18	1	1	1	0	0	0	0	2	0	0	0	1	0	0	0
ENSMUSG00000001014|Icam4	2	1	11	14	9	12	11	3	3	20	10	23	4	4	10
ENSMUSG00000001016|Ilf2	1288	1196	1283	1326	1624	1581	1217	1368	1220	1421	1458	1687	1088	1213	1269
ENSMUSG00000001017|Chtop	3057	2983	3401	3526	3950	4166	3268	3603	3125	3923	3512	4103	3122	3567	3286
ENSMUSG00000001018|Snapin	837	896	923	1028	1189	1113	931	926	805	1029	994	1169	786	896	848
ENSMUSG00000001020|S100a4	14	19	31	12	33	19	15	15	18	29	25	25	46	52	61
ENSMUSG00000001021|S100a3	17	27	16	21	14	17	18	25	23	13	9	14	20	26	21
ENSMUSG00000001023|S100a5	0	0	0	2	5	0	0	0	2	1	2	2	0	1	2
ENSMUSG00000001025|S100a6	6841	9700	8814	7248	6650	4973	6666	5323	5426	9564	7323	8412	9862	11315	12392
ENSMUSG00000001027|Scn4a	6	5	5	1	2	9	5	3	8	5	2	5	2	11	1
ENSMUSG00000001029|Icam2	2	4	9	2	7	13	12	4	9	10	7	8	8	17	10
ENSMUSG00000001034|Mapk7	970	773	885	790	1059	950	908	1024	870	1010	865	1005	710	726	778
ENSMUSG00000001036|Epn2	1123	1016	1315	1162	1313	1188	1202	1238	1052	1619	1391	1610	866	963	966
ENSMUSG00000001039|B9d1	120	136	110	177	191	207	139	134	124	176	139	205	162	168	133
ENSMUSG00000001052|Sec24b	1626	1289	1472	1467	1851	1566	1547	1751	1239	1890	1540	1793	804	1129	998
ENSMUSG00000001053|N4bp3	788	745	723	786	903	890	729	850	732	882	901	978	531	599	535
ENSMUSG00000001054|Rmnd5b	1173	1410	1384	1302	1600	1529	1376	1256	1259	1526	1346	1537	966	947	911
ENSMUSG00000001056|Nhp2	4176	3987	4231	3989	4528	4691	3896	4358	4339	4659	4518	5115	3380	3407	3568
ENSMUSG00000001062|1300018I17Rik	348	332	348	389	409	326	306	363	279	447	349	339	248	255	295
ENSMUSG00000001065|Zfp276	1180	1243	1220	1375	1598	1415	1168	1161	1005	1380	1209	1444	965	1075	970
ENSMUSG00000001076|C1ql4	0	2	1	1	1	4	0	0	0	5	5	0	0	0	0
ENSMUSG00000001082|Mfsd10	735	648	706	708	908	832	652	815	656	766	728	834	500	543	552
ENSMUSG00000001089|Luzp1	3635	3372	4197	4478	5125	4160	3793	4160	3277	4965	4169	4614	3002	3569	3061
ENSMUSG00000001095|Slc13a2	6	4	7	14	23	6	6	2	9	9	9	14	0	9	1
ENSMUSG00000001098|Kctd10	4766	4505	5153	4211	4666	4565	4280	4972	4406	5257	4844	5634	3144	3646	3737
ENSMUSG00000001100|Poldip2	3288	3146	3513	3607	4174	3755	3366	3658	3210	4098	3655	4446	2678	3054	3004
ENSMUSG00000001103|Sebox	0	0	0	0	1	1	4	2	1	1	0	2	1	2	1
ENSMUSG00000001105|Ift20	1393	1508	1564	1570	1866	1785	1498	1533	1507	1812	1677	1931	1517	1674	1616
ENSMUSG00000001119|Col6a1	1	1	4	1	11	3	5	4	7	2	5	3	3	7	6
ENSMUSG00000001120|Pcbp3	73	82	76	77	97	91	79	99	45	78	79	81	32	40	45
ENSMUSG00000001123|Lgals9	7568	7343	7346	9669	10393	8067	7755	6943	6868	10139	7798	10044	7296	8010	7547
ENSMUSG00000001127|Araf	1710	1872	1971	2387	2602	2284	1926	1901	1619	2467	2017	2390	1737	1838	1710
ENSMUSG00000001128|Cfp	36	51	47	46	62	76	46	65	41	55	70	68	27	36	39
ENSMUSG00000001131|Timp1	163	93	152	162	158	161	143	177	180	197	186	212	172	179	247
ENSMUSG00000001134|Uxt	725	611	725	669	785	828	668	727	711	757	704	812	616	718	681
ENSMUSG00000001138|Cnnm3	781	677	641	599	771	664	629	749	603	679	720	710	522	585	538
ENSMUSG00000001143|Lman2l	454	456	574	589	618	514	468	416	430	655	449	646	285	266	278
ENSMUSG00000001150|Mcm3ap	2267	2148	2308	2556	3163	2794	2334	2517	1976	2664	2513	2645	1625	1948	1693
ENSMUSG00000001151|Pcnt	711	721	863	834	951	792	770	885	628	1075	835	968	513	653	580
ENSMUSG00000001155|Ftcd	902	711	751	1654	1496	1483	983	850	733	1157	875	1258	1370	1291	1231
ENSMUSG00000001156|Mxd1	214	142	177	159	144	151	173	229	198	246	190	254	191	202	227
ENSMUSG00000001157|Gmcl1	703	601	654	787	836	761	714	792	683	897	854	885	518	710	775
ENSMUSG00000001158|Snrnp27	1481	1256	1506	1476	1754	1843	1378	1775	1600	1772	1745	2026	1379	1454	1468
ENSMUSG00000001166|Oas1c	140	161	156	212	250	168	167	137	133	199	176	219	109	145	102
ENSMUSG00000001168|Oas1h	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0
ENSMUSG00000001173|Ocrl	764	623	824	1046	1216	908	777	804	664	1087	823	1021	617	681	624
ENSMUSG00000001175|Calm1	29044	30399	32566	33056	37277	32513	30404	30226	29466	38081	33870	40870	25826	28338	29146
ENSMUSG00000001211|Agpat3	8504	8945	8558	10205	11603	9516	8067	7767	6929	10130	8341	9928	6129	6182	6602
ENSMUSG00000001225|Slc26a3	3	0	1	0	2	1	1	0	0	0	0	4	0	0	1
ENSMUSG00000001227|Sema6b	262	213	265	352	408	352	230	291	222	360	247	337	260	272	277
ENSMUSG00000001228|Uhrf1	110	138	159	160	129	138	167	151	163	341	177	228	77	86	99
ENSMUSG00000001229|Dpp9	2760	2551	2770	2710	3256	2950	2335	2552	2173	2877	2729	2920	1480	1656	1574
ENSMUSG00000001240|Ramp2	2061	2216	2204	2970	3351	2922	2280	2227	1937	3001	2345	2769	1919	2046	2009
ENSMUSG00000001247|Lsr	12494	12626	12781	14254	15784	14486	11953	13036	11362	15206	12715	14635	9199	9948	9318
ENSMUSG00000001248|Gramd1a	1374	1143	1382	846	991	907	1065	1465	1356	1244	1297	1462	1122	1142	1187
ENSMUSG00000001249|Hpn	1622	1821	2009	2708	2905	2475	2134	2400	1857	3127	2113	2631	1906	1875	1952
ENSMUSG00000001260|Gabrg1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000001270|Ckb	7	2	10	6	14	0	3	10	9	3	5	10	3	10	3
ENSMUSG00000001280|Sp1	5004	3879	5010	5209	6323	5902	4928	5654	4633	5754	5738	6613	3495	4425	3737
ENSMUSG00000001281|Itgb7	6	1	7	7	4	3	6	8	1	2	0	2	3	3	2
ENSMUSG00000001285|Myg1	1087	1070	1113	1135	1234	1300	1043	1173	1122	1184	1220	1312	909	1036	905
ENSMUSG00000001288|Rarg	53	48	20	61	45	74	46	57	32	42	41	63	84	80	74
ENSMUSG00000001289|Pfdn5	3015	2945	3154	3404	3846	3817	3013	3273	3303	3684	3448	4020	3135	3259	3322
ENSMUSG00000001300|Efnb2	25	41	36	28	20	19	21	37	18	53	36	43	51	28	58
ENSMUSG00000001305|Rrp15	2005	1971	2175	1963	2591	2619	2259	2358	2199	2303	2521	2709	1616	1834	1793
ENSMUSG00000001313|Rnd2	288	229	224	277	314	321	277	359	230	284	312	312	199	243	207
ENSMUSG00000001323|Srr	389	416	397	631	681	747	393	421	352	514	448	539	579	639	558
ENSMUSG00000001333|Sync	2	2	2	4	0	1	2	5	6	2	1	1	4	12	8
ENSMUSG00000001334|Fndc5	8	7	2	8	4	6	3	2	3	5	3	0	0	5	1
ENSMUSG00000001348|Acp5	1664	1526	1625	2026	2081	1731	1634	1778	1408	2275	1761	2198	1649	1623	1763
ENSMUSG00000001349|Cnn1	4	0	2	2	2	1	9	2	1	4	0	11	6	7	23
ENSMUSG00000001366|Fbxo9	790	895	892	975	1247	1002	811	874	748	1061	858	1115	858	892	916
ENSMUSG00000001376|Ccdc132	2521	2528	3195	2819	3370	3138	3032	3002	2634	3566	3268	3847	2504	3047	2770
ENSMUSG00000001379|Apbb3	585	626	639	852	908	849	725	716	557	881	676	848	756	767	694
ENSMUSG00000001380|Hars	3279	3750	3842	4098	4477	4015	3756	3497	3370	4453	3979	4785	2842	3197	3128
ENSMUSG00000001383|Zmat2	1744	1461	1712	2062	2317	2300	1830	1880	1722	2032	2149	2221	1777	1792	1784
ENSMUSG00000001403|Ube2c	34	45	30	52	23	31	34	35	21	65	35	40	5	13	11
ENSMUSG00000001415|Smg5	7045	6938	7445	7198	8805	8463	6718	7149	6500	7627	7281	8180	4969	5265	4956
ENSMUSG00000001416|Cct3	14645	15374	17233	17057	18914	18067	16183	16932	15550	19406	18201	21180	12785	14485	14177
ENSMUSG00000001417|Rhbg	275	261	245	327	359	326	236	203	201	319	265	353	191	196	227
ENSMUSG00000001418|0610031J06Rik	6830	5464	6183	5932	6659	6394	6348	7417	6411	7391	6800	7944	5684	6408	6003
ENSMUSG00000001419|Mef2d	2244	1708	1563	1602	2002	1550	1565	1586	1291	1850	1646	1743	1264	1257	1207
ENSMUSG00000001420|Tmem79	34	47	42	91	100	54	51	41	48	79	49	53	56	66	72
ENSMUSG00000001424|Snd1	6640	7359	7849	8593	9487	6991	7702	7261	6502	10381	7524	9445	5234	5854	5954
ENSMUSG00000001435|Col18a1	2055	2124	2339	3983	4373	3072	2508	2640	1979	3866	2379	3114	2753	2865	3014
