Gene_name	Exon_length	Sample_CTR1_WAT_ZT02	Sample_CTR1_WAT_ZT06	Sample_CTR1_WAT_ZT10	Sample_CTR1_WAT_ZT14	Sample_CTR1_WAT_ZT18	Sample_CTR1_WAT_ZT22	Sample_CTR2_WAT_ZT02	Sample_CTR2_WAT_ZT06	Sample_CTR2_WAT_ZT10	Sample_CTR2_WAT_ZT14	Sample_CTR2_WAT_ZT18	Sample_CTR2_WAT_ZT22	Sample_GFM1_WAT_ZT06	Sample_GFM1_WAT_ZT10	Sample_GFM1_WAT_ZT22	Sample_GFM2_WAT_ZT02	Sample_GFM2_WAT_ZT06	Sample_GFM2_WAT_ZT10	Sample_GFM2_WAT_ZT14	Sample_GFM2_WAT_ZT18	Sample_GFM2_WAT_ZT22
ENSMUSG00000000126|Wnt9a	3329	347	216	268	293	227	178	340	238	330	229	397	309	337	301	267	481	330	292	204	347	287
ENSMUSG00000000127|Fer	3473	1447	1598	1375	1280	938	1077	1487	1399	1773	1160	1223	1454	1485	1809	1292	1697	1609	1641	1132	1588	1664
ENSMUSG00000000131|Xpo6	14474	2378	2153	2204	2117	1699	1734	2333	2002	2643	2041	1776	2369	1961	2214	1827	2397	2289	2753	1702	2095	2755
ENSMUSG00000000134|Tfe3	9261	1458	1135	1299	1106	885	861	1313	1078	1493	1049	1150	1176	1111	1156	988	1386	1235	1403	884	1345	1450
ENSMUSG00000000142|Axin2	5808	3444	2211	1035	1553	1212	1210	2702	1905	2377	2248	1955	1398	1081	974	1849	959	1281	1409	893	2532	1681
ENSMUSG00000000148|Baat1	6179	875	826	859	827	592	724	913	746	1041	783	714	991	914	1110	797	1047	966	1046	712	966	1084
ENSMUSG00000000149|Gna12	3737	2753	2495	2670	2527	1990	2152	2746	2276	3308	2447	2425	2938	2841	2759	2537	4072	3045	3227	2491	3513	4188
ENSMUSG00000000154|Slc22a18	1718	143	123	124	144	84	83	136	104	175	128	131	156	149	203	172	208	193	150	127	172	198
ENSMUSG00000000157|Itgb2l	2936	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000000159|Igsf5	5887	187	15	7	12	9	3	179	34	21	43	84	49	6	12	321	9	160	13	13	12	609
ENSMUSG00000000167|Pih1d2	2813	131	35	37	47	38	42	117	43	57	83	98	80	42	31	265	54	153	40	46	64	60
ENSMUSG00000000168|Dlat	4886	4716	5047	3322	3888	2885	3614	3940	5426	4243	3363	3394	4248	6731	9542	5451	5627	7196	6099	5630	8366	17150
ENSMUSG00000000171|Sdhd	1287	3844	4153	2919	3397	2338	3144	3519	4138	3580	2914	2835	3372	5053	5958	4138	4412	5053	4264	3996	6118	8275
ENSMUSG00000000182|Fgf23	1814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000183|Fgf6	1232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184|Ccnd2	6069	10178	11029	10972	11591	11606	9199	10197	14734	10694	9360	10968	10597	12917	17302	11810	13988	14841	16287	12673	16850	21464
ENSMUSG00000000194|Gpr107	10766	2229	1965	1843	1831	1523	1489	2108	1733	2241	1678	1760	2101	1935	2147	1812	2447	2208	2066	1651	2253	2669
ENSMUSG00000000197|Nalcn	7115	311	157	143	125	65	93	308	174	168	148	188	212	142	110	319	163	251	109	86	93	131
ENSMUSG00000000202|Btbd17	3187	27	9	23	11	10	16	18	13	26	18	19	16	11	5	10	14	16	13	11	16	18
ENSMUSG00000000204|Slfn4	3969	33	50	52	21	16	98	55	56	45	22	19	42	62	59	10	20	28	33	6	19	39
ENSMUSG00000000214|Th	2364	0	0	0	0	0	0	1	0	0	0	0	0	0	0	7	1	2	0	0	0	2
ENSMUSG00000000215|Ins2	810	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000000216|Scnn1g	2991	5	0	0	0	0	0	3	1	1	6	0	2	0	2	6	1	1	0	1	0	7
ENSMUSG00000000223|Drp2	8553	90	58	31	34	6	47	72	60	77	39	49	56	58	30	53	26	54	25	19	26	34
ENSMUSG00000000244|Tspan32	3119	113	126	132	119	65	118	167	105	156	130	121	144	128	104	63	211	95	123	75	110	129
ENSMUSG00000000247|Lhx2	4996	0	1	0	1	0	1	0	0	0	2	1	0	1	0	2	0	0	0	0	0	0
ENSMUSG00000000248|Clec2g	6134	9	14	19	5	9	3	11	8	32	5	4	17	14	8	3	12	4	9	4	5	8
ENSMUSG00000000253|Gmpr	1871	323	271	229	202	101	187	254	174	339	210	202	282	214	240	279	292	315	207	156	153	211
ENSMUSG00000000263|Glra1	2993	0	3	0	1	0	0	2	0	1	0	0	1	0	0	0	1	0	0	0	1	1
ENSMUSG00000000266|Mid2	8221	1618	1577	1672	1693	1125	1201	1598	1326	2146	1410	1397	1643	1398	1680	1178	1659	1580	1848	1236	1379	1486
ENSMUSG00000000275|Trim25	5754	1626	1771	1869	1440	1493	1556	1811	1783	1722	1332	1397	1843	1372	1585	1321	1774	1770	1825	1190	1542	2005
ENSMUSG00000000276|Dgke	8927	1165	1219	1087	1011	1014	955	1067	1082	1373	927	950	1240	1230	1476	1236	1537	1688	1542	1227	1679	2316
ENSMUSG00000000278|Scpep1	2589	1817	1850	1652	1458	1001	1204	1814	1705	1902	1274	1491	1842	1723	1805	1590	2242	1907	1642	1219	1814	2104
ENSMUSG00000000282|Mnt	4627	514	475	525	550	379	404	446	432	727	525	406	502	425	433	317	341	453	702	326	402	440
ENSMUSG00000000290|Itgb2	3052	1323	1369	1832	1153	754	1206	1562	1119	1729	1247	1188	1611	1352	1069	874	1934	1011	1129	680	1282	1358
ENSMUSG00000000295|Hddc2	3509	383	380	248	297	183	297	331	320	334	296	247	414	425	516	418	356	387	376	344	496	637
ENSMUSG00000000296|Tpd52l1	1267	86	37	24	31	17	37	67	52	56	34	43	41	29	71	130	40	84	38	38	57	119
ENSMUSG00000000301|Pemt	2104	248	249	172	200	136	196	251	240	196	200	188	201	347	335	281	271	249	272	232	392	485
ENSMUSG00000000303|Cdh1	4574	461	81	52	43	25	26	540	100	58	105	270	86	52	77	866	13	537	17	20	12	363
ENSMUSG00000000305|Cdh4	8203	11	13	10	13	4	8	21	10	6	10	7	21	16	8	10	16	11	19	12	7	22
ENSMUSG00000000308|Ckmt1	2496	122	120	102	59	62	46	61	42	30	41	55	54	65	76	72	57	59	22	13	40	23
ENSMUSG00000000317|Bcl6b	3719	414	376	358	253	311	250	397	315	529	290	339	560	817	671	447	758	809	752	434	747	729
ENSMUSG00000000318|Clec10a	2899	1316	1419	1525	1136	690	1082	2155	1337	1482	1307	1115	1522	1537	1113	963	2435	1399	1205	861	1348	1373
ENSMUSG00000000320|Alox12	4085	357	80	42	21	40	63	308	120	108	133	189	145	52	69	642	58	389	74	43	83	184
ENSMUSG00000000325|Arvcf	6644	720	453	540	498	330	321	788	516	757	524	585	634	507	424	834	555	735	529	310	403	566
ENSMUSG00000000326|Comt	3283	9103	9287	6360	6000	5520	5872	8406	9825	7038	4957	7321	8428	9051	9983	6814	10644	7248	5796	4363	6997	24397
ENSMUSG00000000339|Rtcd1	5343	705	614	486	579	358	483	688	588	706	532	482	610	805	824	753	747	755	683	595	771	1104
ENSMUSG00000000340|Dbt	3738	4703	4954	3758	3774	3375	3928	3993	4125	4719	3503	3692	4880	4845	5211	4034	5201	4910	4459	4329	6449	6588
ENSMUSG00000000346|Dazap2	1826	4265	3953	3512	3218	2229	2822	3914	3604	4256	3239	3068	3877	4114	4591	3937	4338	4689	4146	3308	4471	5137
ENSMUSG00000000355|Mcts1	1571	867	883	659	653	538	695	801	806	873	651	755	807	969	1063	814	919	871	802	743	1041	1145
ENSMUSG00000000359|Rem1	2156	423	324	322	323	198	322	365	310	447	271	286	363	347	303	285	379	456	328	206	358	368
ENSMUSG00000000365|Rnf17	5251	52	81	64	49	43	68	90	65	54	78	55	63	78	38	62	43	32	46	17	47	21
ENSMUSG00000000374|Trappc10	5048	3704	3364	2786	3174	2329	2739	3350	3034	3661	3099	2981	3547	3624	4313	3508	4075	3870	3831	3123	4631	5343
ENSMUSG00000000378|Ccm2	4147	1455	1294	1357	1459	902	1103	1375	1102	1624	1225	1202	1530	1488	1509	1060	1741	1387	1492	1167	1521	1752
ENSMUSG00000000381|Wap	1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000000384|Tbrg4	3838	881	747	610	683	504	643	780	727	723	707	518	775	899	996	838	841	803	902	713	1127	1604
ENSMUSG00000000385|Tmprss2	3159	320	14	7	7	23	7	124	41	14	31	174	43	13	19	549	11	154	8	8	16	139
ENSMUSG00000000386|Mx1	3646	104	85	86	74	32	122	159	165	111	57	91	95	92	88	58	99	64	96	44	72	135
ENSMUSG00000000392|Fap	5662	313	522	479	399	265	308	393	500	550	284	377	479	515	546	467	573	564	516	381	553	651
ENSMUSG00000000394|Gcg	1494	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1
ENSMUSG00000000399|Ndufa9	1322	3168	3662	2404	2712	1819	2567	2917	3308	3125	2281	2349	2937	4041	5109	3326	3669	4024	3615	3427	4999	6094
ENSMUSG00000000402|Egfl6	2704	168	36	22	26	10	16	154	84	30	71	81	74	27	37	452	20	346	24	20	18	83
ENSMUSG00000000409|Lck	2929	84	37	58	40	30	37	93	77	51	46	43	52	47	46	61	102	49	86	34	82	62
ENSMUSG00000000411|Tssk3	1280	5	4	1	20	0	41	4	0	0	0	1	0	21	0	29	16	2	0	0	0	0
ENSMUSG00000000416|Cttnbp2	10690	107	92	81	93	39	95	126	95	121	87	66	129	97	85	125	43	119	103	72	111	128
ENSMUSG00000000420|Galnt1	6998	5004	4527	3563	4015	2719	3468	4638	4248	4901	3769	3832	4492	4883	5357	4447	4895	4941	4403	3880	5542	6762
ENSMUSG00000000435|Myf5	2083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000439|Mkrn2	2240	1158	1062	1019	1064	704	736	1104	946	1416	986	867	1277	1259	1617	1056	1533	1374	1343	1061	1533	1956
ENSMUSG00000000440|Pparg	1984	9764	8402	6559	9620	3768	6603	10723	8308	12219	7521	5553	5085	11163	12005	7830	9152	10453	11537	7904	13835	12578
ENSMUSG00000000441|Raf1	7414	5976	4095	3736	3786	2913	2988	5545	3854	4976	3807	3440	4130	4626	4758	4504	5733	4541	3840	3330	7290	10419
ENSMUSG00000000486|Sept1	2060	106	89	78	68	52	73	113	111	131	83	60	104	92	115	86	151	112	153	74	100	125
ENSMUSG00000000489|Pdgfb	2918	593	453	576	662	539	488	571	474	672	495	480	636	680	797	802	1234	1112	1030	794	1114	1281
ENSMUSG00000000530|Acvrl1	4586	1823	1351	1466	1834	1098	1231	1760	1218	2059	1447	1512	1645	1355	1277	1149	1922	1620	1600	1114	1570	1554
ENSMUSG00000000531|Grasp	2013	181	139	151	137	104	164	161	124	211	140	139	189	168	227	162	176	247	220	158	214	209
ENSMUSG00000000532|Acvr1b	4375	1354	1170	1302	1370	768	900	1229	1015	1602	1186	1154	1374	1024	1021	1091	1572	1389	1269	883	1183	915
ENSMUSG00000000538|Tom1l2	9763	2340	1964	2302	2102	1942	1494	1934	1676	2699	1843	1760	2124	1892	2280	1727	2340	2198	2762	1562	1955	2495
ENSMUSG00000000544|Gpa33	2742	18	65	19	16	14	16	5	4	8	9	2	6	21	21	9	2	4	8	5	6	5
ENSMUSG00000000552|Zfp385a	2291	588	490	603	556	527	387	619	501	608	604	622	534	376	353	321	519	353	642	311	476	321
ENSMUSG00000000555|Itga5	4379	789	686	956	899	761	651	922	671	911	806	930	837	683	574	537	905	714	801	445	655	652
ENSMUSG00000000560|Gabra2	2392	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0
ENSMUSG00000000561|Wdr77	7504	1570	1151	1051	1074	871	1028	1433	1169	1368	1038	1122	1316	1246	1298	1458	1500	1486	1266	1079	1795	2196
ENSMUSG00000000562|Adora3	2524	17	16	29	16	13	18	25	18	22	15	30	22	30	16	28	30	22	10	14	18	22
ENSMUSG00000000563|Atp5f1	4245	7844	8289	5432	6233	4303	6076	6871	8037	7260	5575	5752	7039	9984	11849	7796	8354	9164	8366	7462	11575	15307
ENSMUSG00000000567|Sox9	4135	563	334	151	130	82	189	746	321	341	333	370	225	175	76	561	97	366	251	82	256	136
ENSMUSG00000000568|Hnrnpd	5176	1080	1014	1041	822	750	919	1159	1091	1262	900	862	1020	1031	1206	1076	940	1287	1325	903	1025	1131
ENSMUSG00000000579|Dynlt1c	3777	47	65	47	43	34	39	56	49	43	39	45	50	68	69	64	61	77	59	52	53	72
ENSMUSG00000000581|C1d	3995	1350	1364	1034	1140	665	1098	1306	1208	1521	1019	1047	1259	1443	1549	1295	1472	1358	1212	1032	1457	1696
ENSMUSG00000000594|Gm2a	4127	6075	6394	5768	5439	3917	4800	5581	5903	6492	4593	5315	7072	6071	6955	5076	7576	6127	6286	4819	6560	9303
ENSMUSG00000000600|Krit1	6151	1489	1435	1257	1282	1015	1069	1513	1169	1675	1216	1426	1402	1464	1483	1335	1581	1427	1306	1131	1799	1748
ENSMUSG00000000605|Clcn4-2	4634	3557	3388	2548	2840	2213	2664	3215	2932	3255	2490	2687	3182	2107	2105	2099	2663	2154	1821	1654	2487	2793
ENSMUSG00000000606|Vmn2r88	3222	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000617|Grm6	5486	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000627|Sema4f	5137	21	8	8	7	5	12	15	8	16	11	3	8	10	9	14	8	7	16	5	7	8
ENSMUSG00000000628|Hk2	8198	9113	6561	6765	8460	4793	5393	10025	6519	9759	7874	5652	6354	9079	11067	7211	7005	8106	10193	7470	14153	16078
ENSMUSG00000000631|Myo18a	17159	2079	1468	1573	1521	1329	1401	1871	1550	1879	1449	1528	1774	1387	1666	1802	1886	1974	1848	1369	1786	2283
ENSMUSG00000000632|Sez6	5779	27	48	21	18	25	25	22	44	32	24	16	34	47	58	38	64	79	88	58	67	94
ENSMUSG00000000673|Haao	1222	133	30	41	27	19	19	236	28	61	33	69	42	47	45	263	30	131	28	59	27	30
ENSMUSG00000000682|Cd52	4062	528	472	466	337	177	350	578	449	668	389	452	454	585	547	413	729	414	407	284	479	3392
ENSMUSG00000000686|Abhd15	12957	2985	2650	2530	2731	2089	2098	2492	2500	2630	2229	1983	2605	2600	3500	1771	2900	2647	3123	2761	3008	3229
ENSMUSG00000000690|Hoxb6	2256	265	144	157	122	149	120	357	192	172	157	268	170	149	129	480	204	377	145	141	203	486
ENSMUSG00000000693|Loxl3	4196	437	490	418	384	202	329	523	412	489	376	350	442	413	435	367	603	468	359	259	416	474
ENSMUSG00000000701|Tcl1b5	1039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000706|Btn1a1	3933	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000708|Kat2b	5350	4595	5118	4390	5008	3513	4128	4338	4536	6265	4336	4323	5714	5419	6511	4426	5497	5788	6223	5334	6195	6512
ENSMUSG00000000711|Rab5b	3166	4189	3869	3600	3743	2700	3016	3837	3596	4475	3317	3368	4121	4223	4608	3548	4856	4227	4111	3358	4523	5312
ENSMUSG00000000724|Cryba1	1594	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000000730|Dnmt3l	3602	12	12	11	6	1	9	15	15	13	10	5	5	14	7	18	16	6	3	4	17	51
ENSMUSG00000000731|Aire	4041	19	0	2	0	0	0	33	7	1	1	24	5	1	1	34	0	26	0	0	1	1
ENSMUSG00000000732|Icosl	2756	452	349	412	393	239	242	433	319	494	332	362	422	410	408	395	414	510	486	328	471	466
ENSMUSG00000000738|Spg7	4188	2140	2053	1867	1996	1512	1725	1902	1993	2378	1734	1802	2478	2172	2541	2134	2800	2306	2157	2040	2737	3170
ENSMUSG00000000739|Sult5a1	1764	220	208	163	157	70	146	203	205	248	155	116	181	184	138	140	113	134	186	137	149	192
ENSMUSG00000000740|Rpl13	2352	6824	6279	5257	5260	3480	5226	6874	6110	6746	5102	5087	6310	6979	6714	6965	7836	7081	5776	4870	7834	9316
ENSMUSG00000000743|Chmp1a	3659	2546	2268	1912	2051	1472	1697	2107	2064	2386	1836	1853	2318	2484	2652	2281	2958	2480	2110	1885	2712	3573
ENSMUSG00000000751|Rpa1	5578	1830	1769	1519	1624	1126	1383	1669	1621	2164	1570	1560	1790	1922	2174	1684	1981	1936	1764	1454	2165	2380
ENSMUSG00000000753|Serpinf1	2769	2836	2733	2399	2383	1161	1823	2944	2453	2965	2000	2553	3385	2581	2321	2637	3296	3090	2283	2163	3004	2826
ENSMUSG00000000759|Tubgcp3	8672	1503	1237	1273	1162	968	1063	1464	1334	1574	1194	1166	1606	1391	1581	1511	1608	1725	1471	1116	1497	1948
ENSMUSG00000000766|Oprm1	16952	0	1	0	1	1	1	0	1	2	1	1	3	2	0	0	2	0	1	0	0	0
ENSMUSG00000000776|Polr3d	2156	480	285	297	329	228	253	435	281	409	273	315	352	358	361	456	425	384	324	296	439	486
ENSMUSG00000000782|Tcf7	5377	152	37	40	41	32	21	171	67	58	58	126	84	44	45	264	62	157	49	25	29	46
ENSMUSG00000000787|Ddx3x	5277	13783	10519	9631	10825	7403	8942	13133	10012	13867	9811	9704	11934	12016	14257	13036	13139	15007	12907	11006	15260	18257
ENSMUSG00000000791|Il12rb1	2873	14	22	17	17	8	14	19	24	22	17	13	26	13	13	19	30	13	23	8	6	22
ENSMUSG00000000792|Slc5a5	2928	1	0	1	0	1	0	1	3	0	2	0	3	2	2	8	0	4	2	1	1	4
ENSMUSG00000000794|Kcnn3	3080	41	36	45	39	31	38	58	46	42	45	36	49	31	85	65	39	62	72	34	61	83
ENSMUSG00000000804|Usp32	9284	2646	2370	2166	1997	1829	2087	2513	2298	2758	1891	2176	2588	2245	2514	2252	2399	2418	2713	1697	2245	3080
ENSMUSG00000000805|Car4	1966	609	569	375	457	652	639	314	481	535	372	371	819	546	636	499	810	897	968	764	765	809
ENSMUSG00000000811|Txnrd3	2836	1091	831	752	742	446	804	874	726	1100	782	588	991	972	1140	722	930	860	1032	852	1034	912
ENSMUSG00000000817|Fasl	1935	10	13	7	4	2	6	11	16	14	5	3	10	16	14	7	23	14	8	3	23	24
ENSMUSG00000000823|Znf512b	6997	2029	1783	1772	1695	1308	1406	1927	1620	2248	1819	1473	1883	1667	1988	1746	1777	2260	2500	1559	1925	2215
ENSMUSG00000000826|Dnajc5	6953	4647	3797	3594	3810	2790	3070	4077	3618	4689	3609	3354	4024	4139	5002	3977	4964	4789	4560	3583	5091	6330
ENSMUSG00000000827|Tpd52l2	5010	2287	2065	1920	2061	1569	1614	2094	1888	2483	1881	2126	2198	2240	2355	2121	2676	2271	2076	2061	2874	2934
ENSMUSG00000000838|Fmr1	9094	10424	8923	9271	7809	4802	6640	9717	8777	13259	6446	6683	8868	11283	7747	6821	12987	9678	9679	5697	7394	7213
ENSMUSG00000000861|Bcl11a	14319	87	59	73	35	33	49	108	101	181	76	55	96	75	65	66	32	46	101	23	59	37
ENSMUSG00000000869|Il4	1227	5	5	2	1	3	1	5	2	2	1	3	1	4	0	4	5	11	0	3	4	2
ENSMUSG00000000876|Pxmp4	3114	2772	2784	2459	2921	2141	1987	2358	2365	3078	2383	2687	2855	2566	3666	2587	3398	3022	3061	3135	3663	3793
ENSMUSG00000000881|Dlg3	5844	506	448	450	392	186	323	506	511	571	386	317	502	463	529	457	468	603	488	372	481	604
ENSMUSG00000000884|Gnb1l	4883	131	119	133	137	76	114	136	122	200	122	106	116	151	157	139	146	158	140	112	171	215
ENSMUSG00000000889|Dbh	2692	4	0	0	0	0	0	0	0	0	0	1	4	1	0	3	0	1	0	0	0	0
ENSMUSG00000000901|Mmp11	2572	236	246	260	165	156	201	203	249	310	171	221	358	264	356	239	533	484	465	257	376	395
ENSMUSG00000000902|Smarcb1	7930	1274	944	1058	1005	871	837	1152	1019	1197	1004	923	1144	1080	1285	1010	1446	1312	1353	932	1400	1879
ENSMUSG00000000903|Vpreb3	1252	6	1	2	1	0	1	1	3	3	1	3	5	2	2	4	2	6	3	2	5	10
ENSMUSG00000000915|Hip1r	5022	827	525	565	580	391	452	778	515	842	536	560	667	678	774	1194	805	1098	796	622	843	1017
ENSMUSG00000000916|Nsun5	3142	387	283	212	271	208	241	330	297	320	269	238	341	325	367	290	347	336	280	291	428	543
ENSMUSG00000000934|Top1mt	2618	327	310	250	262	227	267	302	354	341	251	264	381	302	373	361	387	347	308	264	400	613
ENSMUSG00000000938|Hoxa10	3838	14	7	5	6	1	40	29	19	25	15	4	20	13	12	20	0	13	6	4	14	65
ENSMUSG00000000942|Hoxa4	1594	106	105	52	88	78	67	95	97	114	74	91	105	96	100	131	101	117	130	109	176	186
ENSMUSG00000000948|Snrpn	2159	514	518	535	505	422	371	485	415	706	423	503	644	605	682	529	696	545	559	504	726	897
ENSMUSG00000000957|Mmp14	2597	1809	1834	1366	1059	613	1196	1991	1774	1718	1168	1167	1728	1154	960	1245	1464	1452	1254	723	1148	1364
ENSMUSG00000000958|Slc7a7	2142	185	125	139	131	86	84	189	102	153	109	188	132	113	100	156	176	157	105	88	120	121
ENSMUSG00000000959|Oxa1l	2534	1533	1436	1247	1223	831	1033	1344	1343	1408	1228	998	1507	1555	1804	1392	1525	1568	1498	1346	1734	2540
ENSMUSG00000000976|Heatr6	6529	1301	1153	1277	1173	855	852	1252	1086	1425	1081	978	1335	1056	1212	977	1506	1196	1319	968	1375	1474
ENSMUSG00000000982|Ccl3	766	5	7	19	5	3	16	25	3	12	4	3	12	7	2	8	13	8	2	2	12	20
ENSMUSG00000000983|Wfdc18	1220	3	8	4	1	2	6	19	4	8	5	5	4	3	1	2	5	2	3	3	2	1
ENSMUSG00000001014|Icam4	1159	4	4	6	5	1	1	3	4	5	1	3	6	4	1	0	3	8	2	2	3	5
ENSMUSG00000001016|Ilf2	1973	1584	1501	1261	1358	855	1009	1620	1268	1627	1249	1136	1514	1615	1723	1560	1725	1669	1384	1265	1804	2097
ENSMUSG00000001017|Chtop	3637	3510	2896	2520	2797	2086	2540	3310	2826	3451	2505	2440	3315	3407	3337	3089	3605	3496	2874	2509	3887	4456
ENSMUSG00000001018|Snapin	2290	1983	1861	1709	1679	1014	1350	1807	1708	2153	1575	1349	1827	1989	2288	1693	2415	1996	1915	1608	2077	2520
ENSMUSG00000001020|S100a4	587	577	528	746	552	386	611	584	483	736	529	558	716	550	430	399	933	570	406	286	688	512
ENSMUSG00000001021|S100a3	712	3	0	2	3	0	2	1	5	4	4	3	2	3	3	0	3	3	5	0	3	3
ENSMUSG00000001023|S100a5	432	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001025|S100a6	719	2869	2541	2794	2490	1505	2617	2908	2699	2835	2185	2635	2855	2897	2431	2433	4526	3355	1968	1773	2817	2583
ENSMUSG00000001027|Scn4a	7041	5	2	2	3	1	4	10	6	13	7	5	6	5	6	6	6	6	5	0	1	3
ENSMUSG00000001029|Icam2	1904	343	319	252	341	234	277	348	274	470	240	240	368	486	478	341	557	516	463	326	451	620
ENSMUSG00000001034|Mapk7	4394	436	369	385	371	291	319	499	314	497	382	377	454	410	381	366	546	443	418	302	473	485
ENSMUSG00000001036|Epn2	5561	2914	2161	2142	3337	1952	2073	2366	2011	3538	3020	2749	3008	2337	2607	2326	2700	2579	2782	2954	3464	3113
ENSMUSG00000001039|B9d1	1593	210	127	114	99	62	83	175	128	139	93	120	146	109	96	244	124	164	68	79	117	148
ENSMUSG00000001052|Sec24b	6020	2115	2117	2673	2432	1675	1610	2062	1917	2740	2135	1687	2184	1779	3052	1140	1434	2470	4485	1496	1362	1295
ENSMUSG00000001053|N4bp3	2728	435	270	300	371	321	266	400	318	515	384	294	350	737	739	509	656	846	636	442	741	714
ENSMUSG00000001054|Rmnd5b	2161	762	551	592	597	364	513	801	502	705	558	534	651	628	666	702	818	732	591	492	837	935
ENSMUSG00000001056|Nhp2	1146	624	626	385	380	272	435	558	515	462	379	366	482	663	646	571	673	526	442	362	727	1007
ENSMUSG00000001062|1300018I17Rik	5153	556	520	514	517	391	416	562	527	646	476	489	567	540	583	503	692	617	619	444	632	762
ENSMUSG00000001065|Zfp276	5757	810	735	756	835	624	623	903	696	898	734	711	901	932	939	879	1012	959	855	687	932	1071
ENSMUSG00000001076|C1ql4	874	6	0	0	0	0	0	8	3	0	2	5	1	0	0	13	0	9	0	0	0	2
