	Cry_KO_Exon_ZT_02_1	Cry_KO_Exon_ZT_06_1	Cry_KO_Exon_ZT_10_1	Cry_KO_Exon_ZT_14_1	Cry_KO_Exon_ZT_18_1	Cry_KO_Exon_ZT_22_1	Cry_KO_Exon_ZT_02_2	Cry_KO_Exon_ZT_06_2	Cry_KO_Exon_ZT_10_2	Cry_KO_Exon_ZT_14_2	Cry_KO_Exon_ZT_18_2	Cry_KO_Exon_ZT_22_2
ENSMUSG00000000594|Gm2a	5595	5317	3779	3719	4683	4371	3551	3783	4461	4825	4105	3979
ENSMUSG00000000600|Krit1	792	817	794	803	832	779	586	553	759	1044	832	706
ENSMUSG00000000605|Clcn4-2	3295	3054	3530	2353	2553	2775	2585	2466	3110	3296	2636	2931
ENSMUSG00000000627|Sema4f	0	1	3	1	4	4	4	3	1	4	6	3
ENSMUSG00000000628|Hk2	155	87	87	92	136	104	104	114	113	88	82	115
ENSMUSG00000000631|Myo18a	4679	3962	5138	4424	4098	3898	4368	4111	4895	4627	3949	4587
ENSMUSG00000000673|Haao	15516	17247	8895	11038	11557	12944	10817	11132	11070	13196	11017	12976
ENSMUSG00000000682|Cd52	300	161	174	172	262	213	156	182	203	165	182	274
ENSMUSG00000000686|Abhd15	2317	2401	2075	2138	1842	2081	2243	1625	2146	2110	2216	1954
ENSMUSG00000000690|Hoxb6	11	7	5	1	4	0	6	3	4	7	2	8
ENSMUSG00000000693|Loxl3	108	104	100	121	124	90	112	86	101	109	110	96
ENSMUSG00000000708|Kat2b	4963	5091	5208	3910	3373	4121	5189	5129	7672	5770	3239	3636
ENSMUSG00000000711|Rab5b	3243	3256	2621	2197	2192	2525	2692	2556	3010	2987	2327	2545
ENSMUSG00000000732|Icosl	69	42	27	46	31	61	46	54	67	49	43	41
ENSMUSG00000000738|Spg7	1833	1975	1493	1493	1600	1641	1850	1485	1769	1927	1592	1466
ENSMUSG00000000739|Sult5a1	387	418	167	185	192	173	252	216	205	278	365	222
ENSMUSG00000000740|Rpl13	5819	5643	5575	6750	6390	5542	5473	5560	6942	6010	5384	6312
ENSMUSG00000000743|Chmp1a	2231	1915	2038	1787	1835	1806	1960	1991	2098	2004	1693	2060
ENSMUSG00000000751|Rpa1	1642	1632	982	1081	1100	1300	971	1037	1079	1254	1179	1229
ENSMUSG00000000753|Serpinf1	27432	25560	23979	23419	22322	21839	21876	23687	25797	26819	20700	23563
ENSMUSG00000000759|Tubgcp3	825	750	824	705	577	688	654	731	805	733	624	645
ENSMUSG00000000776|Polr3d	273	232	277	329	201	263	165	209	360	373	173	257
ENSMUSG00000000782|Tcf7	107	99	106	98	94	84	109	75	125	107	76	116
ENSMUSG00000000787|Ddx3x	10644	10860	14978	8868	8651	8899	8567	8273	14434	13531	8159	9200
ENSMUSG00000000791|Il12rb1	43	56	56	91	51	39	35	37	89	102	52	66
ENSMUSG00000000794|Kcnn3	1	0	2	7	1	3	1	1	1	3	2	2
ENSMUSG00000000804|Usp32	1837	1754	2012	944	1457	1477	1612	1336	1687	1653	1346	1524
ENSMUSG00000000805|Car4	3	1	0	0	0	19	0	0	2	0	0	0
ENSMUSG00000000811|Txnrd3	343	354	280	263	208	212	288	321	467	248	190	278
ENSMUSG00000000817|Fasl	10	9	12	6	3	3	1	6	7	4	5	7
ENSMUSG00000000823|Znf512b	1430	1160	1409	801	961	1038	1305	1255	1337	1053	1037	1236
ENSMUSG00000000826|Dnajc5	3022	2698	3549	3250	2763	2879	2551	2711	3593	3982	2618	2833
ENSMUSG00000000827|Tpd52l2	1216	1148	1237	1027	1011	1139	1094	997	1306	1253	901	1080
ENSMUSG00000000838|Fmr1	1226	1155	1053	780	751	985	898	863	1234	1209	886	956
ENSMUSG00000000861|Bcl11a	34	20	12	14	18	39	27	29	33	20	26	25
ENSMUSG00000000869|Il4	0	0	0	0	0	1	1	0	2	1	1	0
ENSMUSG00000000876|Pxmp4	3103	2596	3071	2270	2991	2530	2793	2578	3019	2851	2764	2641
ENSMUSG00000000881|Dlg3	885	890	675	494	744	692	858	717	745	626	729	678
ENSMUSG00000000884|Gnb1l	72	72	50	76	73	56	63	90	91	76	61	105
ENSMUSG00000000901|Mmp11	13	16	21	13	24	15	10	26	19	23	18	32
ENSMUSG00000000902|Smarcb1	680	531	537	694	802	679	518	455	589	746	688	593
ENSMUSG00000000903|Vpreb3	38	28	29	73	33	49	71	84	78	45	21	18
ENSMUSG00000000915|Hip1r	1692	1584	2191	1434	1693	1224	1441	1078	1603	1585	1443	1674
ENSMUSG00000000916|Nsun5	348	269	427	392	360	299	320	327	433	404	337	356
ENSMUSG00000000934|Top1mt	1089	893	683	742	818	905	775	853	916	890	705	738
ENSMUSG00000000942|Hoxa4	11	6	10	10	2	7	14	9	12	22	12	6
ENSMUSG00000000948|Snrpn	653	560	209	414	449	556	377	417	360	435	400	445
ENSMUSG00000000957|Mmp14	993	927	919	1861	1247	973	900	1361	1582	1565	1055	1013
ENSMUSG00000000958|Slc7a7	113	114	96	141	110	125	116	87	123	118	114	123
ENSMUSG00000000959|Oxa1l	1388	1347	1173	1407	1262	1235	1240	1469	1503	1343	1209	1287
ENSMUSG00000000976|Heatr6	899	637	805	837	657	613	667	548	701	890	701	615
ENSMUSG00000000982|Ccl3	9	9	4	5	10	4	1	7	5	3	3	4
ENSMUSG00000000983|Wfdc18	8	1	3	3	7	5	2	5	3	5	5	3
ENSMUSG00000001014|Icam4	11	15	24	20	22	25	11	25	18	19	20	18
ENSMUSG00000001016|Ilf2	650	566	591	665	578	637	470	573	622	619	481	732
ENSMUSG00000001017|Chtop	2154	2035	2138	1909	1798	2046	1751	1775	2136	2178	1850	2017
ENSMUSG00000001018|Snapin	842	714	676	522	565	721	664	740	713	665	650	748
ENSMUSG00000001020|S100a4	21	12	6	8	17	16	11	20	13	8	7	15
ENSMUSG00000001025|S100a6	42	45	21	27	54	109	34	42	38	55	44	50
ENSMUSG00000001027|Scn4a	6	1	4	1	2	1	5	1	5	0	0	4
ENSMUSG00000001029|Icam2	140	111	88	150	118	123	99	80	145	163	112	122
ENSMUSG00000001034|Mapk7	97	101	122	134	135	91	115	92	142	135	89	100
ENSMUSG00000001036|Epn2	497	473	467	419	500	461	477	536	548	487	421	395
ENSMUSG00000001039|B9d1	19	15	9	7	19	21	14	12	10	14	7	23
ENSMUSG00000001052|Sec24b	576	565	516	486	484	402	510	589	631	635	435	435
ENSMUSG00000001053|N4bp3	133	125	139	230	166	177	128	135	196	180	183	137
ENSMUSG00000001054|Rmnd5b	398	410	365	507	433	389	374	367	425	520	394	384
ENSMUSG00000001056|Nhp2	518	397	468	487	497	493	372	379	520	499	459	528
ENSMUSG00000001062|1300018I17Rik	638	702	661	667	611	512	628	560	592	610	596	608
ENSMUSG00000001065|Zfp276	926	1068	881	1297	855	835	738	809	935	1136	893	873
ENSMUSG00000001076|C1ql4	2	2	6	2	14	5	1	3	3	5	11	4
ENSMUSG00000001082|Mfsd10	102	102	140	142	115	120	149	138	180	123	105	134
ENSMUSG00000001089|Luzp1	1111	1244	1076	1218	1079	1060	884	947	1358	1610	991	1005
ENSMUSG00000001095|Slc13a2	150	233	235	134	207	144	170	186	174	98	169	164
ENSMUSG00000001098|Kctd10	607	564	632	789	645	702	528	503	685	848	555	557
ENSMUSG00000001100|Poldip2	3594	3255	2979	3044	3051	2844	2924	3029	3480	3700	2929	3136
ENSMUSG00000001103|Sebox	20	9	39	20	24	15	6	10	12	22	14	39
ENSMUSG00000001105|Ift20	1380	1258	1392	1181	1368	1262	1045	984	1269	1697	1294	1577
ENSMUSG00000001119|Col6a1	399	397	298	444	490	661	353	521	591	453	363	327
ENSMUSG00000001120|Pcbp3	44	33	39	42	36	46	43	37	56	30	31	33
ENSMUSG00000001123|Lgals9	10673	8722	5033	5185	6792	7082	5943	4885	4597	5700	5923	7370
ENSMUSG00000001127|Araf	2526	2628	1953	2323	2079	2102	2224	2342	2643	2695	2179	2016
ENSMUSG00000001128|Cfp	1008	607	826	864	932	670	732	739	772	602	672	963
ENSMUSG00000001131|Timp1	8	5	4	0	6	2	4	1	3	3	0	0
ENSMUSG00000001134|Uxt	461	449	478	427	385	386	373	334	522	487	396	432
ENSMUSG00000001138|Cnnm3	603	605	530	436	478	481	578	550	498	507	509	550
ENSMUSG00000001143|Lman2l	473	382	596	486	478	418	432	329	414	565	570	493
ENSMUSG00000001150|Mcm3ap	1231	1127	1281	1238	1204	1142	1005	986	1252	1469	1200	1143
ENSMUSG00000001151|Pcnt	1010	883	1155	499	692	890	1030	914	960	662	738	969
ENSMUSG00000001155|Ftcd	12978	12805	8268	9589	10384	11724	11202	10536	9886	11482	10821	10749
ENSMUSG00000001156|Mxd1	236	171	258	126	190	147	185	210	212	214	186	188
ENSMUSG00000001157|Gmcl1	407	410	485	418	409	375	319	339	493	550	450	369
ENSMUSG00000001158|Snrnp27	446	396	374	446	401	403	345	419	495	540	379	374
ENSMUSG00000001166|Oas1c	61	32	16	15	41	52	36	36	30	37	42	46
ENSMUSG00000001173|Ocrl	330	299	216	219	216	251	238	256	240	259	193	222
ENSMUSG00000001175|Calm1	10444	10264	8488	8101	10372	10863	7552	6398	8110	10613	10142	10377
ENSMUSG00000001211|Agpat3	7403	6665	6495	6309	6289	6243	6349	6369	7348	7777	6459	6084
ENSMUSG00000001225|Slc26a3	0	5	3	4	2	117	0	0	1	6	1	12
ENSMUSG00000001227|Sema6b	197	152	208	252	270	253	306	208	299	263	183	229
ENSMUSG00000001228|Uhrf1	93	65	9	38	43	55	37	14	39	29	34	79
ENSMUSG00000001229|Dpp9	1746	1377	1893	1550	1903	1713	1429	1140	1493	1733	1901	2187
ENSMUSG00000001240|Ramp2	2018	1756	1556	1732	1736	1860	1568	1595	1817	2054	1634	1716
ENSMUSG00000001247|Lsr	6976	6039	3884	7012	8912	6415	5085	4313	5489	6109	6753	7047
ENSMUSG00000001248|Gramd1a	480	416	480	507	577	381	419	430	503	538	420	476
ENSMUSG00000001249|Hpn	14277	13567	13383	11685	11743	12404	12927	12996	13488	13076	11819	13386
ENSMUSG00000001270|Ckb	281	230	121	233	320	272	184	153	165	184	211	221
ENSMUSG00000001280|Sp1	2359	2126	2493	1805	1831	2261	2171	1945	2321	2156	1867	2132
ENSMUSG00000001281|Itgb7	139	87	82	79	100	88	73	79	99	70	62	138
ENSMUSG00000001285|Myg1	716	611	596	668	604	565	603	612	647	675	599	668
ENSMUSG00000001288|Rarg	350	310	203	466	283	276	315	260	375	452	248	267
ENSMUSG00000001289|Pfdn5	1826	1621	1822	2092	1974	1774	1819	1747	2220	1923	1683	1844
ENSMUSG00000001300|Efnb2	100	109	136	77	100	123	105	118	125	139	58	122
ENSMUSG00000001305|Rrp15	417	385	375	404	355	410	331	371	574	509	353	360
ENSMUSG00000001313|Rnd2	321	447	173	319	356	297	130	242	247	242	263	266
ENSMUSG00000001323|Srr	3980	4200	3743	2816	3263	3228	2898	2771	3169	3915	3182	3336
ENSMUSG00000001333|Sync	4	4	2	3	3	6	1	1	3	3	3	3
ENSMUSG00000001334|Fndc5	15	12	6	9	22	12	6	17	15	10	11	5
ENSMUSG00000001348|Acp5	2858	2801	3218	2882	3004	2883	2878	2719	3617	3306	2908	2848
ENSMUSG00000001349|Cnn1	6	4	1	2	3	127	5	0	6	11	2	4
ENSMUSG00000001366|Fbxo9	2576	2477	2590	1907	2095	2036	2475	2547	2715	2397	1905	2091
ENSMUSG00000001376|Ccdc132	735	619	703	583	499	575	542	490	784	697	503	601
ENSMUSG00000001379|Apbb3	436	400	391	511	324	400	375	283	522	494	348	340
ENSMUSG00000001380|Hars	1475	1320	1585	1605	1414	1384	1059	1121	1514	1749	1367	1605
ENSMUSG00000001383|Zmat2	945	946	975	861	886	957	830	782	997	1075	833	929
ENSMUSG00000001403|Ube2c	26	12	14	12	19	24	16	5	7	17	25	10
ENSMUSG00000001415|Smg5	1482	1321	1927	1311	1699	1518	1159	1151	1894	1616	1549	1537
ENSMUSG00000001416|Cct3	3652	3377	3239	4128	3955	3774	2490	2260	3287	4660	4048	3809
ENSMUSG00000001417|Rhbg	744	643	336	523	395	450	319	321	358	420	428	478
ENSMUSG00000001418|0610031J06Rik	1427	1337	1472	1427	1449	1338	1405	1325	1519	1579	1337	1431
ENSMUSG00000001419|Mef2d	669	848	984	757	790	667	667	622	886	921	715	758
ENSMUSG00000001420|Tmem79	66	96	88	95	125	70	65	50	89	113	112	85
ENSMUSG00000001424|Snd1	9258	8188	7320	6967	8673	8078	5857	5541	6202	7967	8373	9158
ENSMUSG00000001435|Col18a1	56336	52115	48316	49679	41618	44576	47792	51328	49600	49814	42198	45442
ENSMUSG00000001436|Slc19a1	549	407	591	627	496	561	401	595	637	538	478	488
ENSMUSG00000001440|Kpnb1	6599	5500	5350	5509	6290	6002	4017	3574	5306	6112	6089	5922
ENSMUSG00000001441|Npepps	896	899	1072	768	767	783	931	775	1097	1028	803	741
ENSMUSG00000001444|Tbx21	8	14	9	3	5	3	11	12	7	7	8	10
ENSMUSG00000001445|Mrpl10	1712	1574	1421	1377	1618	1440	1448	1443	1607	1610	1482	1592
ENSMUSG00000001467|Cyp51	7568	6895	1940	3193	5797	5170	2005	2472	3554	3975	6029	6132
ENSMUSG00000001472|Tcf25	6046	6122	6210	5992	5450	5223	5279	5874	6485	6854	5272	5578
ENSMUSG00000001473|Tubb6	232	143	194	292	323	209	128	124	209	273	235	256
ENSMUSG00000001482|Def8	1546	1319	1428	1357	1424	1538	1190	1294	1085	1526	1473	1505
ENSMUSG00000001493|Meox1	14	9	7	5	19	12	5	2	6	3	9	14
ENSMUSG00000001494|Sost	5	1	1	2	1	0	0	0	0	1	5	4
ENSMUSG00000001506|Col1a1	388	204	94	237	292	517	192	397	345	230	263	252
ENSMUSG00000001507|Itga3	382	375	347	312	357	340	279	305	298	300	361	337
ENSMUSG00000001517|Foxm1	24	26	12	13	29	11	20	12	23	17	22	17
ENSMUSG00000001518|Itfg2	360	281	364	302	270	297	325	318	370	332	249	345
ENSMUSG00000001520|Nrip2	2	4	1	3	0	7	5	3	1	3	1	1
ENSMUSG00000001521|Tulp3	58	50	46	55	55	57	46	44	64	51	53	56
ENSMUSG00000001524|Gtf2h4	464	403	412	383	351	416	377	361	384	387	364	415
ENSMUSG00000001525|Tubb5	2961	2419	2451	3342	3649	2607	2168	1988	3017	3894	3068	3012
ENSMUSG00000001542|Ell2	3783	3657	4233	2021	2746	2820	3135	2702	3485	3311	3164	2859
ENSMUSG00000001552|Jup	2187	1909	2119	2143	2154	1789	1818	1763	2040	2023	2031	2144
ENSMUSG00000001555|Fkbp10	63	29	32	31	45	47	47	45	48	37	32	51
ENSMUSG00000001558|Klhl10	6	2	2	0	3	2	0	1	1	0	0	1
ENSMUSG00000001569|Nom1	1039	911	1179	796	825	877	893	905	1186	1118	721	807
ENSMUSG00000001576|Ergic1	3704	3454	2680	3075	4022	3628	2591	2516	2626	3076	3445	3581
ENSMUSG00000001583|Tnk1	5	1	4	7	4	4	5	1	10	3	3	1
ENSMUSG00000001588|Acap1	108	132	98	74	102	77	103	82	124	104	70	128
ENSMUSG00000001604|Tcea3	2567	2358	2054	2021	2025	2147	1896	2101	2097	2261	1997	1780
ENSMUSG00000001627|Ifrd1	548	555	734	541	386	526	506	486	720	714	435	413
ENSMUSG00000001630|Stk38l	1088	942	935	776	1060	950	570	606	1025	1190	940	997
ENSMUSG00000001632|Brpf1	663	662	879	713	727	697	619	652	928	932	654	720
ENSMUSG00000001642|Akr1b3	307	278	222	335	352	341	258	268	275	312	320	341
ENSMUSG00000001661|Hoxc6	0	0	1	1	4	4	0	0	5	0	0	0
ENSMUSG00000001663|Gstt1	9939	10549	4324	7055	6772	6731	5716	7403	7178	7770	5923	5745
ENSMUSG00000001665|Gstt3	5249	6232	1624	2064	2509	2430	1743	2382	1700	2458	2277	1982
ENSMUSG00000001666|Ddt	9086	8367	6454	6322	6459	6535	6458	6177	6700	7503	6273	5803
ENSMUSG00000001670|Tat	37429	45531	62082	32158	51020	28663	21644	19973	15794	28480	58482	44065
ENSMUSG00000001672|Marveld3	14	16	27	13	28	23	6	11	17	14	27	8
ENSMUSG00000001674|Ddx18	455	394	408	529	390	370	366	374	554	577	356	410
ENSMUSG00000001687|Ubl3	3610	3288	4904	2956	3026	2932	3064	2844	3841	3770	2936	3138
ENSMUSG00000001700|Gramd3	1844	1621	1318	988	1305	1181	1127	930	1115	1192	1206	1244
ENSMUSG00000001707|Eef1e1	278	270	295	377	204	238	199	192	408	449	246	291
ENSMUSG00000001729|Akt1	2320	1934	2450	2519	2629	2049	2123	2255	2922	2797	2020	2396
ENSMUSG00000001739|Cldn15	15	30	25	22	24	24	30	26	12	27	20	11
ENSMUSG00000001741|Il16	352	293	228	221	250	266	255	250	309	250	210	292
ENSMUSG00000001750|Tcirg1	2941	2073	2072	1951	2641	2266	1732	1552	1786	1927	2100	2271
ENSMUSG00000001751|Naglu	1462	1209	1000	1264	1136	1119	1028	1103	1076	1259	1117	1143
ENSMUSG00000001755|Coasy	5144	4935	4365	3628	3812	3893	4163	4181	4216	4597	3829	4236
ENSMUSG00000001761|Smo	200	235	92	214	179	187	148	235	184	203	166	184
ENSMUSG00000001763|Tspan33	616	488	1127	608	784	706	627	498	721	792	751	822
ENSMUSG00000001767|Crnkl1	766	735	839	637	746	739	439	523	760	868	667	720
ENSMUSG00000001768|Rin2	722	624	658	532	811	645	707	713	819	656	620	631
ENSMUSG00000001773|Folh1	0	1	1	0	0	1	2	4	5	0	0	1
ENSMUSG00000001774|Chordc1	1418	1369	1548	2543	1755	1586	851	650	1603	3357	1741	1173
ENSMUSG00000001783|D10Wsu52e	2581	2299	1996	2096	1924	2220	1814	1988	2390	2624	2060	2128
ENSMUSG00000001785|Pwp1	715	634	685	738	586	648	460	496	824	830	513	592
ENSMUSG00000001786|Fbxo7	767	771	741	680	595	695	685	732	827	748	606	664
ENSMUSG00000001794|Capns1	3538	3324	3140	3024	3367	3197	3114	2994	3290	3429	2943	3289
ENSMUSG00000001802|Lrp3	838	766	992	1168	1087	875	1052	1155	1188	1258	1061	1000
ENSMUSG00000001827|Folr1	2	3	3	5	0	1	2	1	0	2	1	3
ENSMUSG00000001829|Clpb	2153	2200	2352	1783	2040	1923	1883	1695	2019	2313	1747	1960
ENSMUSG00000001833|Sept7	2503	2189	2092	1846	2024	2208	1567	1419	2182	2660	1931	1991
ENSMUSG00000001844|Zdhhc4	632	548	539	606	564	558	514	573	535	712	561	581
ENSMUSG00000001847|Rac1	5249	5109	4708	4103	4306	4340	4253	4180	5181	5226	4027	4276
ENSMUSG00000001855|Nup214	573	515	646	601	457	515	550	605	649	549	502	572
ENSMUSG00000001864|Aif1l	7	10	8	6	8	13	5	12	14	18	11	5
ENSMUSG00000001865|Cpa3	0	0	0	1	0	11	6	0	3	3	1	0
ENSMUSG00000001870|Ltbp1	125	99	96	118	119	200	73	125	173	127	128	101
ENSMUSG00000001891|Ugp2	14375	16357	12947	14900	11354	12434	12272	12723	19938	17669	10631	9849
ENSMUSG00000001909|Trmt1	1046	943	1065	1179	973	980	1099	1176	1422	1256	819	944
ENSMUSG00000001910|Nacc1	1328	1262	1437	1657	1836	1440	1022	1169	1506	1674	1668	1491
ENSMUSG00000001911|Nfix	2471	2336	2241	2096	2242	1954	2536	2530	2580	2381	2112	2165
ENSMUSG00000001918|Slc1a5	77	79	98	85	107	122	70	89	102	99	97	76
