geneID	Gho_TRT_Liver_male_1
ENSMUSG00000000532	205
ENSMUSG00000000538	356
ENSMUSG00000000544	0
ENSMUSG00000000552	58
ENSMUSG00000000555	347
ENSMUSG00000000560	0
ENSMUSG00000000561	390
ENSMUSG00000000562	0
ENSMUSG00000000563	5043
ENSMUSG00000000567	44
ENSMUSG00000000568	155
ENSMUSG00000000579	9
ENSMUSG00000000581	431
ENSMUSG00000000594	1881
ENSMUSG00000000600	388
ENSMUSG00000000605	1153
ENSMUSG00000000606	0
ENSMUSG00000000617	0
ENSMUSG00000000627	0
ENSMUSG00000000628	47
ENSMUSG00000000631	1019
ENSMUSG00000000632	0
ENSMUSG00000000673	8382
ENSMUSG00000000682	52
ENSMUSG00000000686	843
ENSMUSG00000000690	0
ENSMUSG00000000693	30
ENSMUSG00000000701	1
ENSMUSG00000000706	0
ENSMUSG00000000708	2502
ENSMUSG00000000711	1498
ENSMUSG00000000724	0
ENSMUSG00000000730	0
ENSMUSG00000000731	0
ENSMUSG00000000732	11
ENSMUSG00000000738	690
ENSMUSG00000000739	159
ENSMUSG00000000740	2022
ENSMUSG00000000743	704
ENSMUSG00000000751	564
ENSMUSG00000000753	9451
ENSMUSG00000000759	331
ENSMUSG00000000766	0
ENSMUSG00000000776	95
ENSMUSG00000000782	30
ENSMUSG00000000787	4181
ENSMUSG00000000791	17
ENSMUSG00000000792	0
ENSMUSG00000000794	0
ENSMUSG00000000804	790
ENSMUSG00000000805	0
ENSMUSG00000000811	136
ENSMUSG00000000817	4
ENSMUSG00000000823	454
ENSMUSG00000000826	1145
ENSMUSG00000000827	491
ENSMUSG00000000838	359
ENSMUSG00000000861	0
ENSMUSG00000000869	0
ENSMUSG00000000876	1965
ENSMUSG00000000881	352
ENSMUSG00000000884	34
ENSMUSG00000000889	0
ENSMUSG00000000901	11
ENSMUSG00000000902	189
ENSMUSG00000000903	5
ENSMUSG00000000915	503
ENSMUSG00000000916	120
ENSMUSG00000000934	274
ENSMUSG00000000938	0
ENSMUSG00000000942	0
ENSMUSG00000000948	201
ENSMUSG00000000957	330
ENSMUSG00000000958	41
ENSMUSG00000000959	734
ENSMUSG00000000976	278
ENSMUSG00000000982	1
ENSMUSG00000000983	2
ENSMUSG00000001014	2
ENSMUSG00000001016	288
ENSMUSG00000001017	842
ENSMUSG00000001018	313
ENSMUSG00000001020	3
ENSMUSG00000001021	0
ENSMUSG00000001023	0
ENSMUSG00000001025	21
ENSMUSG00000001027	0
ENSMUSG00000001029	45
ENSMUSG00000001034	24
ENSMUSG00000001036	151
ENSMUSG00000001039	0
ENSMUSG00000001052	235
ENSMUSG00000001053	115
ENSMUSG00000001054	204
ENSMUSG00000001056	233
ENSMUSG00000001062	252
ENSMUSG00000001065	687
ENSMUSG00000001076	0
ENSMUSG00000001082	42
ENSMUSG00000001089	544
ENSMUSG00000001095	18
ENSMUSG00000001098	242
ENSMUSG00000001100	1447
ENSMUSG00000001103	6
ENSMUSG00000001105	604
ENSMUSG00000001119	129
ENSMUSG00000001120	10
ENSMUSG00000001123	5339
ENSMUSG00000001127	1044
ENSMUSG00000001128	261
ENSMUSG00000001131	0
ENSMUSG00000001134	174
ENSMUSG00000001138	244
ENSMUSG00000001143	161
ENSMUSG00000001150	469
ENSMUSG00000001151	285
ENSMUSG00000001155	6497
ENSMUSG00000001156	135
ENSMUSG00000001157	188
ENSMUSG00000001158	176
ENSMUSG00000001166	14
ENSMUSG00000001168	0
ENSMUSG00000001173	116
ENSMUSG00000001175	4858
ENSMUSG00000001211	3008
ENSMUSG00000001225	3
ENSMUSG00000001227	68
ENSMUSG00000001228	1
ENSMUSG00000001229	621
ENSMUSG00000001240	1051
ENSMUSG00000001247	1863
ENSMUSG00000001248	262
ENSMUSG00000001249	4365
ENSMUSG00000001260	0
ENSMUSG00000001270	56
ENSMUSG00000001280	1028
ENSMUSG00000001281	28
ENSMUSG00000001285	253
ENSMUSG00000001288	69
ENSMUSG00000001289	895
ENSMUSG00000001300	64
ENSMUSG00000001305	157
ENSMUSG00000001313	111
ENSMUSG00000001323	1662
ENSMUSG00000001333	1
ENSMUSG00000001334	2
ENSMUSG00000001348	1379
ENSMUSG00000001349	4
ENSMUSG00000001366	915
ENSMUSG00000001376	259
ENSMUSG00000001379	197
ENSMUSG00000001380	581
ENSMUSG00000001383	342
ENSMUSG00000001403	5
ENSMUSG00000001415	534
ENSMUSG00000001416	1433
ENSMUSG00000001417	205
ENSMUSG00000001418	614
ENSMUSG00000001419	257
ENSMUSG00000001420	28
ENSMUSG00000001424	3024
ENSMUSG00000001435	20528
ENSMUSG00000001436	178
ENSMUSG00000001440	2659
ENSMUSG00000001441	381
ENSMUSG00000001444	9
ENSMUSG00000001445	765
ENSMUSG00000001467	4911
ENSMUSG00000001472	2378
ENSMUSG00000001473	84
ENSMUSG00000001482	409
ENSMUSG00000001493	11
ENSMUSG00000001494	1
ENSMUSG00000001496	0
ENSMUSG00000001497	0
ENSMUSG00000001504	0
ENSMUSG00000001506	89
ENSMUSG00000001507	151
ENSMUSG00000001508	0
ENSMUSG00000001510	0
ENSMUSG00000001517	2
ENSMUSG00000001518	113
ENSMUSG00000001520	3
ENSMUSG00000001521	20
ENSMUSG00000001524	222
ENSMUSG00000001525	1972
ENSMUSG00000001542	1997
ENSMUSG00000001552	512
ENSMUSG00000001555	18
ENSMUSG00000001558	0
ENSMUSG00000001566	0
ENSMUSG00000001569	410
ENSMUSG00000001576	1598
ENSMUSG00000001583	1
ENSMUSG00000001588	21
ENSMUSG00000001604	982
ENSMUSG00000001622	0
ENSMUSG00000001627	264
ENSMUSG00000001630	319
ENSMUSG00000001632	306
ENSMUSG00000001642	120
ENSMUSG00000001655	0
ENSMUSG00000001656	0
ENSMUSG00000001657	0
ENSMUSG00000001661	0
ENSMUSG00000001663	1406
ENSMUSG00000001665	215
ENSMUSG00000001666	2311
ENSMUSG00000001670	50528
ENSMUSG00000001672	10
ENSMUSG00000001674	190
ENSMUSG00000001687	1036
ENSMUSG00000001700	571
ENSMUSG00000001707	83
ENSMUSG00000001729	677
ENSMUSG00000001739	15
ENSMUSG00000001741	99
ENSMUSG00000001750	522
ENSMUSG00000001751	497
ENSMUSG00000001755	1937
ENSMUSG00000001761	130
ENSMUSG00000001763	266
ENSMUSG00000001767	368
ENSMUSG00000001768	165
ENSMUSG00000001773	0
ENSMUSG00000001774	457
ENSMUSG00000001783	930
ENSMUSG00000001785	272
ENSMUSG00000001786	339
ENSMUSG00000001794	1461
ENSMUSG00000001802	250
ENSMUSG00000001804	0
ENSMUSG00000001815	0
ENSMUSG00000001819	0
ENSMUSG00000001823	0
ENSMUSG00000001827	0
ENSMUSG00000001829	402
ENSMUSG00000001833	731
ENSMUSG00000001844	217
ENSMUSG00000001847	2230
ENSMUSG00000001855	185
ENSMUSG00000001864	8
ENSMUSG00000001865	0
ENSMUSG00000001870	55
ENSMUSG00000001891	10831
ENSMUSG00000001901	0
ENSMUSG00000001909	360
ENSMUSG00000001910	455
ENSMUSG00000001911	620
ENSMUSG00000001918	31
ENSMUSG00000001924	3328
ENSMUSG00000001930	202
ENSMUSG00000001942	811
ENSMUSG00000001943	5
ENSMUSG00000001946	210
ENSMUSG00000001948	5
ENSMUSG00000001962	183
ENSMUSG00000001964	156
ENSMUSG00000001983	222
ENSMUSG00000001985	7
ENSMUSG00000001986	94
ENSMUSG00000001988	1
ENSMUSG00000001995	66
ENSMUSG00000001998	186
ENSMUSG00000001999	138
ENSMUSG00000002006	6
ENSMUSG00000002007	0
ENSMUSG00000002010	1000
ENSMUSG00000002012	0
ENSMUSG00000002014	1955
ENSMUSG00000002015	1722
ENSMUSG00000002017	236
ENSMUSG00000002020	13
ENSMUSG00000002028	391
ENSMUSG00000002031	441
ENSMUSG00000002032	625
ENSMUSG00000002033	2
ENSMUSG00000002043	226
ENSMUSG00000002052	814
ENSMUSG00000002055	9
ENSMUSG00000002057	0
ENSMUSG00000002058	43
ENSMUSG00000002059	40
ENSMUSG00000002064	500
ENSMUSG00000002068	6
ENSMUSG00000002076	1
ENSMUSG00000002083	97
ENSMUSG00000002100	0
ENSMUSG00000002102	1745
ENSMUSG00000002103	1229
ENSMUSG00000002104	0
ENSMUSG00000002105	104
ENSMUSG00000002107	237
ENSMUSG00000002108	1596
ENSMUSG00000002109	68
ENSMUSG00000002111	57
ENSMUSG00000002129	368
ENSMUSG00000002147	809
ENSMUSG00000002190	0
ENSMUSG00000002204	1
ENSMUSG00000002205	319
ENSMUSG00000002210	101
ENSMUSG00000002221	248
ENSMUSG00000002222	3339
ENSMUSG00000002227	359
ENSMUSG00000002228	4
ENSMUSG00000002233	95
ENSMUSG00000002240	0
ENSMUSG00000002249	103
ENSMUSG00000002250	133
ENSMUSG00000002257	5
ENSMUSG00000002265	173
ENSMUSG00000002266	0
ENSMUSG00000002274	56
ENSMUSG00000002279	774
ENSMUSG00000002280	306
ENSMUSG00000002289	2701
ENSMUSG00000002297	45
ENSMUSG00000002307	193
ENSMUSG00000002308	59
ENSMUSG00000002319	734
ENSMUSG00000002320	888
ENSMUSG00000002324	7
ENSMUSG00000002325	558
ENSMUSG00000002326	96
ENSMUSG00000002329	198
ENSMUSG00000002332	2052
ENSMUSG00000002341	0
ENSMUSG00000002342	188
ENSMUSG00000002343	86
ENSMUSG00000002345	170
ENSMUSG00000002346	350
ENSMUSG00000002365	783
ENSMUSG00000002372	392
ENSMUSG00000002379	675
ENSMUSG00000002384	3
ENSMUSG00000002393	2328
ENSMUSG00000002395	634
ENSMUSG00000002396	132
ENSMUSG00000002409	102
ENSMUSG00000002413	497
ENSMUSG00000002416	678
ENSMUSG00000002428	392
ENSMUSG00000002455	916
ENSMUSG00000002458	17
ENSMUSG00000002459	0
ENSMUSG00000002475	840
ENSMUSG00000002477	118
ENSMUSG00000002486	16
ENSMUSG00000002489	28
ENSMUSG00000002496	624
ENSMUSG00000002500	1
ENSMUSG00000002504	367
ENSMUSG00000002524	926
ENSMUSG00000002546	619
ENSMUSG00000002550	363
ENSMUSG00000002565	3
ENSMUSG00000002578	6
ENSMUSG00000002580	416
ENSMUSG00000002588	13962
ENSMUSG00000002602	335
ENSMUSG00000002603	88
ENSMUSG00000002608	132
ENSMUSG00000002617	55
ENSMUSG00000002625	402
ENSMUSG00000002633	0
ENSMUSG00000002635	91
ENSMUSG00000002658	214
ENSMUSG00000002660	654
ENSMUSG00000002661	160
ENSMUSG00000002664	0
ENSMUSG00000002668	14
ENSMUSG00000002679	149
ENSMUSG00000002688	8
ENSMUSG00000002699	88
ENSMUSG00000002718	784
ENSMUSG00000002728	149
ENSMUSG00000002731	332
ENSMUSG00000002732	35
ENSMUSG00000002733	383
ENSMUSG00000002741	872
ENSMUSG00000002748	1372
ENSMUSG00000002763	1069
ENSMUSG00000002767	528
ENSMUSG00000002768	546
ENSMUSG00000002769	28838
ENSMUSG00000002771	5
ENSMUSG00000002778	931
ENSMUSG00000002781	343
ENSMUSG00000002791	0
ENSMUSG00000002797	80
ENSMUSG00000002799	1
ENSMUSG00000002803	132
ENSMUSG00000002804	154
ENSMUSG00000002808	1
ENSMUSG00000002812	1093
ENSMUSG00000002814	79
ENSMUSG00000002820	312
ENSMUSG00000002825	35
ENSMUSG00000002831	196
ENSMUSG00000002833	330
ENSMUSG00000002835	20
ENSMUSG00000002844	169
ENSMUSG00000002845	183
ENSMUSG00000002846	530
ENSMUSG00000002847	1112
ENSMUSG00000002870	40
ENSMUSG00000002871	255
ENSMUSG00000002881	1094
ENSMUSG00000002885	483
ENSMUSG00000002897	252
ENSMUSG00000002900	233
ENSMUSG00000002908	54
ENSMUSG00000002910	459
ENSMUSG00000002930	0
ENSMUSG00000002944	776
ENSMUSG00000002948	482
ENSMUSG00000002949	699
ENSMUSG00000002957	1989
ENSMUSG00000002963	391
ENSMUSG00000002968	277
ENSMUSG00000002980	70
ENSMUSG00000002981	1742
ENSMUSG00000002983	36
ENSMUSG00000002984	357
ENSMUSG00000002985	215192
ENSMUSG00000002992	10878
ENSMUSG00000002996	1957
ENSMUSG00000002997	5
ENSMUSG00000003031	427
ENSMUSG00000003032	26
ENSMUSG00000003033	217
ENSMUSG00000003037	1053
ENSMUSG00000003038	181
ENSMUSG00000003039	558
ENSMUSG00000003051	4
ENSMUSG00000003053	16781
ENSMUSG00000003062	151
ENSMUSG00000003068	968
ENSMUSG00000003070	0
ENSMUSG00000003072	2481
ENSMUSG00000003099	501
ENSMUSG00000003119	919
ENSMUSG00000003123	129
ENSMUSG00000003131	567
ENSMUSG00000003134	522
ENSMUSG00000003135	279
ENSMUSG00000003153	12
ENSMUSG00000003154	158
ENSMUSG00000003161	456
ENSMUSG00000003166	1459
ENSMUSG00000003178	117
ENSMUSG00000003184	878
ENSMUSG00000003190	69
ENSMUSG00000003198	80
ENSMUSG00000003199	1072
ENSMUSG00000003200	234
ENSMUSG00000003206	4
ENSMUSG00000003208	34
ENSMUSG00000003226	3725
ENSMUSG00000003227	1
ENSMUSG00000003228	367
ENSMUSG00000003233	73
ENSMUSG00000003234	691
ENSMUSG00000003235	691
ENSMUSG00000003269	271
ENSMUSG00000003271	0
ENSMUSG00000003273	0
ENSMUSG00000003279	54
ENSMUSG00000003282	18
ENSMUSG00000003283	103
ENSMUSG00000003299	470
ENSMUSG00000003308	596
ENSMUSG00000003309	6
ENSMUSG00000003316	1033
ENSMUSG00000003341	1
ENSMUSG00000003344	286
ENSMUSG00000003345	933
ENSMUSG00000003346	681
ENSMUSG00000003348	59
ENSMUSG00000003352	3
ENSMUSG00000003354	0
ENSMUSG00000003355	245
ENSMUSG00000003360	728
ENSMUSG00000003363	262
ENSMUSG00000003378	62
ENSMUSG00000003379	4
ENSMUSG00000003380	674
ENSMUSG00000003382	367
ENSMUSG00000003402	1649
ENSMUSG00000003410	0
ENSMUSG00000003411	2
ENSMUSG00000003418	1
ENSMUSG00000003420	2384
ENSMUSG00000003421	250
ENSMUSG00000003423	481
ENSMUSG00000003429	2785
ENSMUSG00000003435	968
ENSMUSG00000003436	6
ENSMUSG00000003437	450
ENSMUSG00000003438	401
ENSMUSG00000003444	138
ENSMUSG00000003452	14
ENSMUSG00000003458	827
ENSMUSG00000003464	1528
ENSMUSG00000003469	0
ENSMUSG00000003476	1
ENSMUSG00000003477	5066
ENSMUSG00000003484	3
ENSMUSG00000003500	39
ENSMUSG00000003505	0
ENSMUSG00000003518	903
ENSMUSG00000003526	3085
ENSMUSG00000003527	108
ENSMUSG00000003528	3615
ENSMUSG00000003531	419
ENSMUSG00000003534	24
ENSMUSG00000003541	4
ENSMUSG00000003545	2
ENSMUSG00000003546	1013
ENSMUSG00000003549	48
ENSMUSG00000003555	127
ENSMUSG00000003559	673
ENSMUSG00000003573	40
ENSMUSG00000003575	65
ENSMUSG00000003581	162
ENSMUSG00000003585	9187
ENSMUSG00000003604	221
ENSMUSG00000003617	37314
ENSMUSG00000003623	10993
ENSMUSG00000003644	77
ENSMUSG00000003657	0
ENSMUSG00000003660	2451
ENSMUSG00000003662	586
ENSMUSG00000003665	0
ENSMUSG00000003680	99
ENSMUSG00000003721	10501
ENSMUSG00000003731	988
ENSMUSG00000003746	5179
ENSMUSG00000003752	109
ENSMUSG00000003762	252
ENSMUSG00000003778	399
ENSMUSG00000003779	25
ENSMUSG00000003808	255
ENSMUSG00000003809	9222
ENSMUSG00000003810	250
ENSMUSG00000003812	228
ENSMUSG00000003813	661
ENSMUSG00000003814	22520
ENSMUSG00000003824	12
ENSMUSG00000003847	548
ENSMUSG00000003848	62
ENSMUSG00000003849	53
ENSMUSG00000003863	0
ENSMUSG00000003865	26
ENSMUSG00000003868	167
ENSMUSG00000003872	0
ENSMUSG00000003873	153
ENSMUSG00000003882	12
ENSMUSG00000003923	623
ENSMUSG00000003929	113
ENSMUSG00000003934	1
ENSMUSG00000003948	1139
ENSMUSG00000003949	313
ENSMUSG00000003955	431
ENSMUSG00000003970	4455
ENSMUSG00000003974	0
ENSMUSG00000003992	28
ENSMUSG00000004018	105
ENSMUSG00000004031	0
ENSMUSG00000004032	102
ENSMUSG00000004035	1137
ENSMUSG00000004038	1492
ENSMUSG00000004040	2819
ENSMUSG00000004043	181
ENSMUSG00000004044	131
ENSMUSG00000004054	628
ENSMUSG00000004056	1189
ENSMUSG00000004069	1822
ENSMUSG00000004070	934
ENSMUSG00000004071	2270
ENSMUSG00000004085	335
ENSMUSG00000004096	731
ENSMUSG00000004098	955
ENSMUSG00000004099	305
ENSMUSG00000004100	124
ENSMUSG00000004105	184
ENSMUSG00000004110	2
ENSMUSG00000004113	2
ENSMUSG00000004127	89
ENSMUSG00000004151	7
ENSMUSG00000004187	88
ENSMUSG00000004207	6707
ENSMUSG00000004221	2249
ENSMUSG00000004231	0
ENSMUSG00000004233	81
ENSMUSG00000004263	949
ENSMUSG00000004264	2218
ENSMUSG00000004266	229
ENSMUSG00000004267	1
ENSMUSG00000004268	647
ENSMUSG00000004270	1402
ENSMUSG00000004285	600
ENSMUSG00000004296	0
ENSMUSG00000004317	201
ENSMUSG00000004319	1032
ENSMUSG00000004328	5
ENSMUSG00000004341	12
ENSMUSG00000004344	0
ENSMUSG00000004347	6
ENSMUSG00000004356	533
ENSMUSG00000004359	14
ENSMUSG00000004360	0
ENSMUSG00000004364	1198
ENSMUSG00000004366	0
ENSMUSG00000004371	0
ENSMUSG00000004383	189
ENSMUSG00000004393	374
ENSMUSG00000004394	934
ENSMUSG00000004415	0
ENSMUSG00000004446	185
ENSMUSG00000004451	212
ENSMUSG00000004455	470
ENSMUSG00000004460	1775
ENSMUSG00000004462	338
ENSMUSG00000004473	31
ENSMUSG00000004500	129
ENSMUSG00000004508	76
ENSMUSG00000004530	384
ENSMUSG00000004535	3193
ENSMUSG00000004540	0
ENSMUSG00000004542	0
ENSMUSG00000004552	0
ENSMUSG00000004558	19810
ENSMUSG00000004561	220
ENSMUSG00000004562	177
ENSMUSG00000004565	263
ENSMUSG00000004567	330
ENSMUSG00000004568	435
ENSMUSG00000004591	1096
ENSMUSG00000004609	9
ENSMUSG00000004610	2611
ENSMUSG00000004612	0
ENSMUSG00000004613	0
ENSMUSG00000004626	374
ENSMUSG00000004630	0
ENSMUSG00000004631	49
ENSMUSG00000004633	662
ENSMUSG00000004637	139
ENSMUSG00000004642	283
ENSMUSG00000004651	0
ENSMUSG00000004654	0
ENSMUSG00000004655	1944
ENSMUSG00000004661	34
ENSMUSG00000004665	110
ENSMUSG00000004667	206
ENSMUSG00000004668	0
ENSMUSG00000004677	582
ENSMUSG00000004698	24
ENSMUSG00000004707	24
ENSMUSG00000004709	1
ENSMUSG00000004730	525
ENSMUSG00000004748	350
ENSMUSG00000004768	141
ENSMUSG00000004771	688
ENSMUSG00000004788	168
ENSMUSG00000004789	2335
ENSMUSG00000004791	1
ENSMUSG00000004798	1905
ENSMUSG00000004814	21
ENSMUSG00000004815	555
ENSMUSG00000004821	0
ENSMUSG00000004837	68
ENSMUSG00000004842	0
ENSMUSG00000004843	416
ENSMUSG00000004846	353
ENSMUSG00000004849	207
ENSMUSG00000004864	0
ENSMUSG00000004865	492
ENSMUSG00000004872	0
ENSMUSG00000004880	276
ENSMUSG00000004885	0
ENSMUSG00000004891	71
ENSMUSG00000004892	0
ENSMUSG00000004894	0
ENSMUSG00000004895	260
ENSMUSG00000004896	152
ENSMUSG00000004897	1890
ENSMUSG00000004902	0
ENSMUSG00000004929	163
ENSMUSG00000004931	639
ENSMUSG00000004933	1
ENSMUSG00000004934	174
ENSMUSG00000004936	774
ENSMUSG00000004937	677
ENSMUSG00000004939	0
ENSMUSG00000004945	525
ENSMUSG00000004947	62
ENSMUSG00000004948	0
ENSMUSG00000004951	106
ENSMUSG00000004952	24
ENSMUSG00000004961	0
ENSMUSG00000004980	2365
ENSMUSG00000004988	0
ENSMUSG00000004994	77
ENSMUSG00000004996	264
ENSMUSG00000005034	802
ENSMUSG00000005043	108
ENSMUSG00000005045	0
ENSMUSG00000005054	335
ENSMUSG00000005057	25
ENSMUSG00000005069	1822
ENSMUSG00000005078	353
ENSMUSG00000005087	175
ENSMUSG00000005089	3101
ENSMUSG00000005102	234
ENSMUSG00000005103	1030
ENSMUSG00000005107	603
ENSMUSG00000005124	35
ENSMUSG00000005125	386
ENSMUSG00000005131	1
ENSMUSG00000005142	2617
ENSMUSG00000005148	1
ENSMUSG00000005150	173
ENSMUSG00000005161	1565
ENSMUSG00000005198	381
ENSMUSG00000005202	0
ENSMUSG00000005204	355
ENSMUSG00000005220	2
ENSMUSG00000005225	601
ENSMUSG00000005232	0
ENSMUSG00000005233	61
ENSMUSG00000005237	0
ENSMUSG00000005251	69
ENSMUSG00000005262	546
ENSMUSG00000005267	17
ENSMUSG00000005268	684
ENSMUSG00000005299	927
ENSMUSG00000005312	3077
ENSMUSG00000005320	405
ENSMUSG00000005338	82
ENSMUSG00000005339	0
ENSMUSG00000005354	1066
ENSMUSG00000005355	0
ENSMUSG00000005357	1
ENSMUSG00000005360	6
ENSMUSG00000005362	583
ENSMUSG00000005364	0
ENSMUSG00000005370	420
ENSMUSG00000005371	311
ENSMUSG00000005373	2661
ENSMUSG00000005374	213
ENSMUSG00000005378	307
ENSMUSG00000005397	415
ENSMUSG00000005410	39
ENSMUSG00000005413	246
ENSMUSG00000005417	2163
ENSMUSG00000005442	262
ENSMUSG00000005447	23
ENSMUSG00000005465	26
ENSMUSG00000005469	867
ENSMUSG00000005470	4
ENSMUSG00000005474	0
ENSMUSG00000005481	207
ENSMUSG00000005483	319
ENSMUSG00000005493	0
ENSMUSG00000005501	493
ENSMUSG00000005503	0
ENSMUSG00000005505	302
ENSMUSG00000005506	1729
ENSMUSG00000005510	1440
ENSMUSG00000005514	758
ENSMUSG00000005533	48
ENSMUSG00000005534	2394
ENSMUSG00000005540	3
ENSMUSG00000005547	2568
ENSMUSG00000005553	31
ENSMUSG00000005566	1168
ENSMUSG00000005575	590
ENSMUSG00000005580	841
ENSMUSG00000005583	71
ENSMUSG00000005609	643
ENSMUSG00000005610	6810
ENSMUSG00000005611	41
ENSMUSG00000005615	1348
ENSMUSG00000005621	518
ENSMUSG00000005625	1418
ENSMUSG00000005628	8
ENSMUSG00000005640	0
ENSMUSG00000005649	0
ENSMUSG00000005656	258
ENSMUSG00000005667	53
ENSMUSG00000005672	190
ENSMUSG00000005674	145
ENSMUSG00000005677	3246
ENSMUSG00000005681	89978
ENSMUSG00000005682	362
ENSMUSG00000005683	2414
ENSMUSG00000005686	34
ENSMUSG00000005687	307
ENSMUSG00000005696	0
ENSMUSG00000005698	642
ENSMUSG00000005699	40
ENSMUSG00000005705	0
ENSMUSG00000005716	0
ENSMUSG00000005718	36
ENSMUSG00000005732	359
ENSMUSG00000005763	6
ENSMUSG00000005774	111
ENSMUSG00000005779	1849
ENSMUSG00000005800	0
ENSMUSG00000005802	461
ENSMUSG00000005803	2607
ENSMUSG00000005804	184
ENSMUSG00000005813	642
ENSMUSG00000005823	477
ENSMUSG00000005824	1
ENSMUSG00000005836	90
ENSMUSG00000005846	598
ENSMUSG00000005864	0
ENSMUSG00000005871	1164
ENSMUSG00000005873	292
ENSMUSG00000005881	1020
ENSMUSG00000005882	460
ENSMUSG00000005883	0
ENSMUSG00000005886	1128
ENSMUSG00000005891	0
ENSMUSG00000005892	0
ENSMUSG00000005893	911
ENSMUSG00000005897	250
ENSMUSG00000005899	225
ENSMUSG00000005907	516
ENSMUSG00000005917	0
ENSMUSG00000005936	592
ENSMUSG00000005947	6
ENSMUSG00000005949	249
ENSMUSG00000005950	0
ENSMUSG00000005951	877
ENSMUSG00000005952	3
ENSMUSG00000005958	8
ENSMUSG00000005968	153
ENSMUSG00000005973	171
ENSMUSG00000005980	1
ENSMUSG00000005981	2955
ENSMUSG00000005982	1320
ENSMUSG00000005983	6
ENSMUSG00000005986	9
ENSMUSG00000005994	0
ENSMUSG00000006005	2409
ENSMUSG00000006007	0
ENSMUSG00000006010	844
ENSMUSG00000006014	122
ENSMUSG00000006019	120
ENSMUSG00000006021	200
ENSMUSG00000006024	1040
ENSMUSG00000006050	792
ENSMUSG00000006056	0
ENSMUSG00000006057	2097
ENSMUSG00000006058	354
ENSMUSG00000006095	273
ENSMUSG00000006127	244
ENSMUSG00000006134	501
ENSMUSG00000006143	0
ENSMUSG00000006154	13
ENSMUSG00000006169	835
ENSMUSG00000006179	0
ENSMUSG00000006191	240
ENSMUSG00000006200	0
ENSMUSG00000006204	0
ENSMUSG00000006205	34
ENSMUSG00000006215	150
ENSMUSG00000006216	0
ENSMUSG00000006218	24
ENSMUSG00000006219	13
ENSMUSG00000006221	0
ENSMUSG00000006235	8
ENSMUSG00000006241	56
ENSMUSG00000006262	750
ENSMUSG00000006269	0
ENSMUSG00000006270	0
ENSMUSG00000006273	724
ENSMUSG00000006276	270
ENSMUSG00000006281	252
ENSMUSG00000006288	116
ENSMUSG00000006289	293
ENSMUSG00000006299	1934
ENSMUSG00000006301	799
ENSMUSG00000006304	1476
ENSMUSG00000006307	280
ENSMUSG00000006310	1
ENSMUSG00000006311	0
ENSMUSG00000006313	0
ENSMUSG00000006315	1045
ENSMUSG00000006333	3879
ENSMUSG00000006335	87
