ovary_CV1	ovary_CV2	ovary_CV3	ovary_CV4	ovary_GF1	ovary_GF2	ovary_GF3	ovary_GF4	ovary_GF5	testis_CV1	testis_CV2	testis_CV3	testis_CV4	testis_GF1	testis_GF2	testis_GF3
ENSMUSG00000000594|Gm2a	12177	4124	3390	6851	14452	6067	3542	1708	3470	4864	5185	5307	5766	5165	5410	5431
ENSMUSG00000000600|Krit1	958	863	882	914	1035	797	922	800	876	1069	1021	1139	1159	1083	1116	1133
ENSMUSG00000000605|Clcn4-2	1663	1739	1345	1643	1734	1552	1728	1534	1785	1108	1183	1131	1203	1116	1151	1151
ENSMUSG00000000606|Vmn2r88	0	0	0	0	0	0	0	0	0	68	72	60	65	61	64	83
ENSMUSG00000000617|Grm6	0	1	0	1	0	0	1	0	1	20	23	18	27	13	18	18
ENSMUSG00000000627|Sema4f	3	2	0	5	8	21	3	1	3	32	36	24	35	35	35	28
ENSMUSG00000000628|Hk2	678	665	410	543	924	649	619	695	643	573	568	644	737	657	676	695
ENSMUSG00000000631|Myo18a	1639	1758	1462	1566	1578	1469	1538	1590	1586	883	855	895	1093	875	906	947
ENSMUSG00000000632|Sez6	10	8	3	6	10	12	13	3	13	100	82	85	97	85	80	92
ENSMUSG00000000673|Haao	7	3	6	11	0	6	6	3	7	5	4	4	7	7	4	6
ENSMUSG00000000682|Cd52	157	253	203	144	141	136	217	71	100	16	21	29	14	165	22	15
ENSMUSG00000000686|Abhd15	81	110	65	34	44	53	112	49	96	15	11	15	24	14	37	25
ENSMUSG00000000690|Hoxb6	175	210	131	131	90	167	100	74	168	9	4	8	5	14	7	4
ENSMUSG00000000693|Loxl3	320	334	241	395	268	429	229	212	381	39	38	35	36	33	31	23
ENSMUSG00000000701|Tcl1b5	14	2	6	3	1	3	3	4	5	0	1	0	0	0	0	0
ENSMUSG00000000706|Btn1a1	2	1	0	0	3	0	3	2	3	3	6	6	7	7	6	6
ENSMUSG00000000708|Kat2b	1541	1497	1386	1416	1579	1338	1382	1196	1677	1490	1432	1540	1597	1461	1448	1530
ENSMUSG00000000711|Rab5b	1655	1684	1448	1600	1818	1578	1612	1548	1887	1023	985	1039	1135	993	1159	1014
ENSMUSG00000000724|Cryba1	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0
ENSMUSG00000000730|Dnmt3l	22	28	37	31	23	18	19	17	24	220	208	240	216	178	167	175
ENSMUSG00000000731|Aire	16	17	13	17	19	16	15	22	14	8	7	14	10	9	12	12
ENSMUSG00000000732|Icosl	510	543	513	523	607	393	533	572	486	59	55	78	43	43	48	56
ENSMUSG00000000738|Spg7	837	826	733	846	984	754	788	753	816	2215	2281	2424	2422	2489	2452	2511
ENSMUSG00000000739|Sult5a1	57	65	57	52	55	43	77	63	110	34	29	28	35	33	42	38
ENSMUSG00000000740|Rpl13	4207	4458	3891	4281	5064	4126	4322	4144	4654	3626	3502	3903	3750	3737	3888	3705
ENSMUSG00000000743|Chmp1a	1123	1106	951	998	1192	1035	1040	946	1154	2063	2097	2113	2145	2021	2257	2046
ENSMUSG00000000751|Rpa1	1113	1046	1030	1132	1278	996	1148	1208	1376	6076	6109	6407	6980	6789	6782	6544
ENSMUSG00000000753|Serpinf1	1359	1862	1341	1436	1275	1289	1451	1291	1824	140	122	127	177	95	124	129
ENSMUSG00000000759|Tubgcp3	1487	1192	1067	1194	1499	1225	1108	1197	1231	475	474	517	483	510	524	476
ENSMUSG00000000766|Oprm1	1	0	2	0	1	0	2	1	1	0	0	2	1	5	1	4
ENSMUSG00000000776|Polr3d	462	580	528	520	583	477	519	501	536	301	284	327	291	264	360	290
ENSMUSG00000000782|Tcf7	319	280	252	310	292	271	294	297	281	143	133	161	166	127	160	158
ENSMUSG00000000787|Ddx3x	12792	11116	9953	10436	11228	11285	9422	9343	10467	1400	1326	1271	1432	1173	1429	1308
ENSMUSG00000000791|Il12rb1	10	9	9	5	7	5	3	5	12	5	10	6	4	9	14	9
ENSMUSG00000000792|Slc5a5	12	4	1	2	2	3	2	5	2	16	12	11	15	18	9	21
ENSMUSG00000000794|Kcnn3	61	76	39	34	34	80	47	34	92	67	74	96	92	61	95	57
ENSMUSG00000000804|Usp32	1703	1481	1335	1454	1782	1223	1402	1431	1549	8041	8384	8855	9624	8215	7993	8169
ENSMUSG00000000805|Car4	6	19	10	1	0	3	24	0	14	26	24	25	33	37	35	31
ENSMUSG00000000811|Txnrd3	237	292	282	283	327	288	308	288	272	15145	14836	15249	16420	15629	15898	15711
ENSMUSG00000000817|Fasl	3	2	0	2	4	6	7	5	4	21	18	29	24	25	33	29
ENSMUSG00000000823|Znf512b	1502	1722	1307	1363	1454	1442	1481	1533	1382	3629	3886	4042	4178	4039	3882	4035
ENSMUSG00000000826|Dnajc5	2409	2479	2232	2301	2671	2246	2291	2318	2178	1080	1170	1209	1149	1098	1204	1122
ENSMUSG00000000827|Tpd52l2	1514	1359	1253	1373	1516	1404	1272	1321	1440	459	470	467	504	411	436	445
ENSMUSG00000000838|Fmr1	1722	2027	1538	1618	1685	1398	1707	1462	1851	723	750	792	855	805	857	777
ENSMUSG00000000861|Bcl11a	528	321	322	404	512	348	328	461	452	418	413	368	491	424	487	447
ENSMUSG00000000869|Il4	1	1	0	0	0	0	1	1	0	4	0	1	1	1	0	1
ENSMUSG00000000876|Pxmp4	283	338	282	270	293	244	295	205	359	59	52	60	50	45	59	57
ENSMUSG00000000881|Dlg3	724	755	758	687	744	710	716	757	729	395	362	383	401	318	333	265
ENSMUSG00000000884|Gnb1l	95	75	91	93	99	76	102	109	100	579	665	636	698	657	660	622
ENSMUSG00000000889|Dbh	1	11	4	6	3	3	7	8	6	5	2	1	1	0	1	1
ENSMUSG00000000901|Mmp11	1441	1134	1210	1582	1810	1636	1291	1142	1695	54	71	75	61	65	70	61
ENSMUSG00000000902|Smarcb1	1161	986	892	999	1225	1014	1040	1142	1250	1257	1266	1293	1457	1399	1453	1379
ENSMUSG00000000903|Vpreb3	100	82	81	107	125	72	77	83	94	9	8	7	14	9	7	9
ENSMUSG00000000915|Hip1r	1048	1506	1423	1461	1012	1181	1307	1071	820	1573	1563	1681	1730	1867	1860	1626
ENSMUSG00000000916|Nsun5	206	190	185	165	231	192	184	182	186	178	166	188	197	185	208	203
ENSMUSG00000000934|Top1mt	213	213	191	190	270	224	195	179	242	266	332	359	319	319	373	345
ENSMUSG00000000938|Hoxa10	184	162	38	51	4	183	15	8	91	0	0	2	2	0	3	1
ENSMUSG00000000942|Hoxa4	37	29	26	34	34	30	28	16	20	1055	1019	1123	1210	1149	1174	1168
ENSMUSG00000000948|Snrpn	259	272	224	280	271	200	258	263	233	342	336	323	331	252	299	287
ENSMUSG00000000957|Mmp14	2248	2220	1751	1921	1765	2196	1699	1506	2352	363	369	351	412	370	339	407
ENSMUSG00000000958|Slc7a7	188	186	145	170	219	170	120	120	178	202	235	197	196	223	240	233
ENSMUSG00000000959|Oxa1l	893	901	804	867	1149	747	820	908	1055	341	333	357	392	375	350	348
ENSMUSG00000000976|Heatr6	556	530	472	502	596	440	487	472	570	371	402	408	389	436	447	425
ENSMUSG00000000982|Ccl3	7	10	7	7	9	11	17	4	5	1	1	0	4	0	0	0
ENSMUSG00000000983|Wfdc18	275	265	295	359	345	143	270	183	99	3	2	1	4	2	0	2
ENSMUSG00000001014|Icam4	6	21	11	16	12	7	22	21	24	2	2	0	0	0	3	0
ENSMUSG00000001016|Ilf2	1153	1163	1089	1169	1390	1120	1102	1158	1223	1903	1846	1840	1923	1781	1932	1795
ENSMUSG00000001017|Chtop	2133	2035	1826	1951	2263	1878	1867	1954	2042	2766	2769	2725	2995	2654	2771	2753
ENSMUSG00000001018|Snapin	1218	1230	1145	1233	1325	1106	1138	1119	1372	1428	1377	1521	1522	1567	1619	1592
ENSMUSG00000001020|S100a4	350	277	292	334	126	353	199	36	107	10	5	6	9	4	14	7
ENSMUSG00000001021|S100a3	5	2	4	7	15	6	1	1	7	0	0	1	0	1	1	0
ENSMUSG00000001023|S100a5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ENSMUSG00000001025|S100a6	1251	1192	1139	1357	1635	1867	795	413	902	91	81	87	79	73	56	73
ENSMUSG00000001027|Scn4a	6	6	3	2	5	9	4	3	9	32	21	20	22	50	45	58
ENSMUSG00000001029|Icam2	153	112	56	94	158	118	123	92	116	16	10	13	17	9	10	12
ENSMUSG00000001034|Mapk7	463	344	316	362	438	354	357	436	389	224	221	212	216	180	206	216
ENSMUSG00000001036|Epn2	1618	1394	1415	1662	1891	1228	1568	2064	1534	1213	1272	1233	1367	1293	1323	1263
ENSMUSG00000001039|B9d1	234	260	220	179	212	203	228	220	242	2218	2185	2258	2292	2117	2306	2209
ENSMUSG00000001052|Sec24b	1125	1062	803	917	1007	929	865	951	996	2188	2135	2378	2344	2016	1982	2014
ENSMUSG00000001053|N4bp3	341	328	310	353	343	384	363	328	320	591	561	615	687	521	531	508
ENSMUSG00000001054|Rmnd5b	793	968	860	982	957	777	958	840	961	1752	1717	1830	1926	1609	1760	1724
ENSMUSG00000001056|Nhp2	659	767	638	681	962	699	639	650	676	391	424	426	418	419	409	424
ENSMUSG00000001062|1300018I17Rik	330	285	261	286	309	263	304	307	362	509	569	598	601	582	519	575
ENSMUSG00000001065|Zfp276	567	524	478	453	640	494	574	490	595	259	291	331	317	302	326	345
ENSMUSG00000001076|C1ql4	1	0	1	0	0	0	0	0	0	6	5	8	3	19	22	20
ENSMUSG00000001082|Mfsd10	439	433	374	488	476	437	450	420	490	81	85	92	95	75	86	80
ENSMUSG00000001089|Luzp1	1819	1670	1450	1490	1629	1912	1459	1468	1567	10739	10977	11348	11694	11958	13006	12526
ENSMUSG00000001095|Slc13a2	6	7	11	2	10	6	5	3	7	11	19	13	19	10	19	7
ENSMUSG00000001098|Kctd10	1355	1736	1191	1431	1483	1411	1449	1213	1687	1676	1454	1581	1846	1772	1813	1715
ENSMUSG00000001100|Poldip2	1205	1190	1001	1130	1315	1072	1139	1070	1241	3791	3966	4047	4083	3811	4058	3810
ENSMUSG00000001103|Sebox	35	13	25	24	16	15	20	23	20	0	0	0	0	0	0	0
ENSMUSG00000001105|Ift20	700	707	663	710	654	630	713	686	738	1084	1076	1164	1060	1092	1166	1039
ENSMUSG00000001119|Col6a1	9916	14675	8139	11197	7675	9441	9022	7004	10341	456	353	461	495	359	387	377
ENSMUSG00000001120|Pcbp3	94	88	78	83	118	73	69	97	117	5205	5163	5042	6108	5606	5655	5417
ENSMUSG00000001123|Lgals9	309	413	229	289	317	314	342	217	426	32	76	27	50	45	37	38
ENSMUSG00000001127|Araf	1691	1545	1216	1519	1763	1340	1338	1405	1570	335	345	338	367	354	331	372
ENSMUSG00000001128|Cfp	163	288	211	244	212	188	249	139	251	16	9	18	7	15	11	20
ENSMUSG00000001131|Timp1	659	224	186	444	369	1918	290	195	429	10	13	11	15	10	10	5
ENSMUSG00000001134|Uxt	164	157	149	157	171	157	160	145	133	64	68	82	59	57	78	52
ENSMUSG00000001138|Cnnm3	388	350	294	344	386	323	362	366	472	160	127	134	197	105	157	164
ENSMUSG00000001143|Lman2l	397	339	310	353	430	288	359	347	417	331	345	389	389	338	365	340
ENSMUSG00000001150|Mcm3ap	1122	1138	912	974	1113	982	1068	985	1217	815	853	958	1023	962	913	986
ENSMUSG00000001151|Pcnt	1831	1710	1537	1791	1963	1557	1677	1993	2087	3120	3281	3451	3527	3710	3691	3385
ENSMUSG00000001155|Ftcd	5	1	1	0	2	3	4	1	3	6	4	4	1	2	4	1
ENSMUSG00000001156|Mxd1	285	270	233	268	276	209	271	270	362	1916	1980	2044	2119	1904	2032	2146
ENSMUSG00000001157|Gmcl1	441	381	294	361	424	348	352	327	412	3816	3932	4186	4434	4300	4345	4176
ENSMUSG00000001158|Snrnp27	516	456	468	454	554	472	475	427	499	872	788	852	863	877	917	923
ENSMUSG00000001166|Oas1c	230	154	221	244	196	124	174	198	190	10	21	17	11	10	8	5
ENSMUSG00000001168|Oas1h	89	50	79	92	79	54	51	80	100	0	1	2	1	0	0	1
ENSMUSG00000001173|Ocrl	1376	1210	1154	1256	1489	1104	1209	1332	1495	173	196	180	195	198	208	164
ENSMUSG00000001175|Calm1	8531	9272	7458	8717	9169	7518	7808	7843	7274	23749	23889	24364	26459	23872	25032	23961
ENSMUSG00000001211|Agpat3	2054	2125	1899	1896	2201	1954	2190	2111	2164	10296	10825	11122	11421	11136	11420	11463
ENSMUSG00000001225|Slc26a3	2	1	3	7	9	0	1	1	2	11	5	6	8	10	10	4
ENSMUSG00000001227|Sema6b	98	87	50	55	98	92	82	71	144	16	12	20	15	12	24	24
ENSMUSG00000001228|Uhrf1	700	515	576	567	753	552	485	724	814	2056	2024	2100	2419	2217	2130	2197
ENSMUSG00000001229|Dpp9	390	391	303	335	362	363	347	356	345	244	242	290	319	332	282	332
ENSMUSG00000001240|Ramp2	952	1174	875	907	933	920	967	716	956	466	443	500	502	468	484	504
ENSMUSG00000001247|Lsr	692	805	648	783	699	820	653	542	685	508	518	531	566	520	505	549
ENSMUSG00000001248|Gramd1a	1321	921	852	918	1403	851	1011	1021	1101	463	448	509	495	439	489	479
ENSMUSG00000001249|Hpn	50	50	55	45	52	42	38	22	47	2	5	5	7	4	6	5
ENSMUSG00000001260|Gabrg1	3	13	7	5	7	5	16	5	18	0	0	0	0	1	0	0
ENSMUSG00000001270|Ckb	1512	1568	1085	1334	1436	1472	1168	982	1177	116	118	89	97	107	104	96
ENSMUSG00000001280|Sp1	3396	3271	2946	3057	3403	3012	2879	3139	3734	2140	2247	2413	2490	2343	2277	2340
ENSMUSG00000001281|Itgb7	62	66	39	35	52	59	45	30	73	6	7	7	14	5	6	9
ENSMUSG00000001285|Myg1	417	379	392	436	533	421	478	475	537	378	353	372	421	385	409	397
ENSMUSG00000001288|Rarg	389	386	336	361	392	408	468	379	396	66	81	76	85	82	84	82
ENSMUSG00000001289|Pfdn5	1777	1677	1519	1525	1924	1506	1619	1516	1594	4867	4864	4969	5133	4952	5175	5170
ENSMUSG00000001300|Efnb2	697	724	323	408	466	702	361	384	749	188	216	202	162	213	220	209
ENSMUSG00000001305|Rrp15	405	372	382	365	435	444	313	406	358	368	375	353	403	401	419	353
ENSMUSG00000001313|Rnd2	216	365	263	366	303	217	396	366	322	302	241	245	287	253	308	267
ENSMUSG00000001323|Srr	722	553	547	538	692	440	481	357	493	1317	1191	1380	1356	1161	1340	1338
ENSMUSG00000001333|Sync	76	146	64	86	60	88	60	57	99	11	17	26	19	12	11	16
ENSMUSG00000001334|Fndc5	538	416	352	429	477	398	357	345	443	602	581	621	699	587	693	680
ENSMUSG00000001348|Acp5	137	329	141	79	67	115	263	51	237	43	45	43	59	57	54	46
ENSMUSG00000001349|Cnn1	1504	2735	1525	1789	1221	1722	1485	1037	2286	107	86	103	84	81	88	95
ENSMUSG00000001366|Fbxo9	560	481	417	498	557	483	546	438	543	812	850	823	862	808	863	859
ENSMUSG00000001376|Ccdc132	852	820	703	758	928	729	774	798	871	923	839	908	974	739	845	794
ENSMUSG00000001379|Apbb3	327	214	227	220	282	267	244	241	229	218	249	204	233	217	283	207
ENSMUSG00000001380|Hars	798	798	652	742	941	836	765	716	801	856	784	862	831	829	956	842
ENSMUSG00000001383|Zmat2	703	755	650	758	875	752	759	677	848	842	815	785	845	825	894	877
ENSMUSG00000001403|Ube2c	271	221	265	268	400	245	201	385	350	367	352	399	368	391	478	459
ENSMUSG00000001415|Smg5	1292	1228	1099	1226	1527	1251	1246	1304	1202	7743	7557	7991	8249	7862	8293	7710
ENSMUSG00000001416|Cct3	3167	2949	2607	2957	4162	2991	3020	3042	3349	9984	9772	10182	10614	9674	10602	10278
ENSMUSG00000001417|Rhbg	63	44	43	39	47	47	47	42	58	3915	4142	4303	4191	4173	4189	4184
ENSMUSG00000001418|0610031J06Rik	742	711	604	729	846	569	767	592	864	133	137	143	154	129	179	160
ENSMUSG00000001419|Mef2d	818	713	649	688	790	799	773	676	931	231	280	278	339	295	310	327
ENSMUSG00000001420|Tmem79	85	131	67	69	53	108	84	35	66	200	221	203	202	214	216	212
ENSMUSG00000001424|Snd1	3135	3519	2830	3061	3259	3118	3370	3004	3394	619	630	608	667	618	679	670
ENSMUSG00000001435|Col18a1	1779	1270	893	1043	1522	1661	1089	1003	1476	365	419	411	545	475	421	479
ENSMUSG00000001436|Slc19a1	202	202	186	205	238	216	191	234	269	33	34	41	42	37	29	40
ENSMUSG00000001440|Kpnb1	5587	5265	4706	4805	5798	5095	5158	5326	5309	8260	8404	8902	9610	9420	9964	9278
ENSMUSG00000001441|Npepps	1321	1125	954	975	1282	1041	1024	984	1334	1755	1840	1909	2091	1939	1850	2056
