geneID	Gho_TRT_Liver_male_1	Gho_TRT_Liver_male_2	Gho_TRT_Liver_male_3	Gho_TRT_Liver_male_4	Gho_TRT_Liver_male_5	Gho_TRT_Liver_male_6	Gho_CTR_Liver_male_1	Gho_CTR_Liver_male_2	Gho_CTR_Liver_male_3	Gho_CTR_Liver_male_4	Gho_CTR_Liver_male_5	Gho_CTR_Liver_male_6
ENSMUSG00000000346|Dazap2	1327	1555	1531	1676	1478	1781	2013	1746	1733	1554	1429	1886
ENSMUSG00000000355|Mcts1	335	322	380	430	336	376	402	395	362	383	339	428
ENSMUSG00000000359|Rem1	4	7	4	8	2	3	9	1	8	7	5	7
ENSMUSG00000000365|Rnf17	4	1	0	1	4	6	2	2	1	4	0	2
ENSMUSG00000000374|Trappc10	649	708	613	686	674	682	730	639	628	554	652	718
ENSMUSG00000000378|Ccm2	278	284	285	257	303	302	349	272	291	215	255	314
ENSMUSG00000000381|Wap	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000000384|Tbrg4	364	308	339	336	337	421	464	408	383	376	596	466
ENSMUSG00000000385|Tmprss2	19	23	38	35	50	86	57	74	34	37	60	54
ENSMUSG00000000386|Mx1	12	18	29	27	16	46	12	17	11	36	38	28
ENSMUSG00000000392|Fap	7	2	5	6	7	8	6	2	0	4	6	7
ENSMUSG00000000394|Gcg	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000399|Ndufa9	1579	1720	1761	1843	1842	1946	2150	1675	2007	1741	2099	2171
ENSMUSG00000000402|Egfl6	5	3	0	0	4	3	0	0	0	1	3	2
ENSMUSG00000000409|Lck	7	5	5	10	10	15	16	14	11	7	17	15
ENSMUSG00000000411|Tssk3	0	1	0	0	1	1	2	1	1	0	0	0
ENSMUSG00000000416|Cttnbp2	7	7	8	6	17	17	13	8	13	3	10	5
ENSMUSG00000000420|Galnt1	1100	1238	1150	1386	1182	1293	1277	1325	1178	1172	1333	1445
ENSMUSG00000000435|Myf5	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000439|Mkrn2	221	269	250	306	289	286	398	302	253	226	260	323
ENSMUSG00000000440|Pparg	33	65	105	105	57	40	103	94	51	70	61	102
ENSMUSG00000000441|Raf1	2086	2271	2618	2283	2078	1766	2020	1813	2395	2139	2240	2477
ENSMUSG00000000486|Sept1	8	18	9	10	19	12	13	12	12	13	11	6
ENSMUSG00000000489|Pdgfb	16	13	18	19	31	42	34	27	23	13	28	7
ENSMUSG00000000530|Acvrl1	33	46	50	38	45	62	68	33	44	58	53	40
ENSMUSG00000000531|Grasp	24	22	40	29	30	31	31	30	26	29	21	32
ENSMUSG00000000532|Acvr1b	205	234	232	227	314	339	292	297	203	153	216	222
ENSMUSG00000000538|Tom1l2	356	346	422	433	479	366	473	426	364	334	315	417
ENSMUSG00000000544|Gpa33	0	1	0	0	3	0	0	0	0	0	0	0
ENSMUSG00000000552|Zfp385a	58	46	39	31	36	27	47	39	46	22	58	61
ENSMUSG00000000555|Itga5	347	331	382	344	315	402	275	294	297	198	455	314
ENSMUSG00000000560|Gabra2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000561|Wdr77	390	436	425	402	427	408	518	449	581	528	539	546
ENSMUSG00000000562|Adora3	0	2	0	0	0	1	1	0	0	1	1	0
ENSMUSG00000000563|Atp5f1	5043	4862	5391	5730	5467	5983	5907	4950	5321	5194	5755	6296
ENSMUSG00000000567|Sox9	44	81	39	92	63	99	47	57	45	38	41	48
ENSMUSG00000000568|Hnrnpd	155	230	215	211	225	284	313	295	223	214	231	256
ENSMUSG00000000579|Dynlt1c	9	5	8	16	7	10	25	14	11	6	10	10
ENSMUSG00000000581|C1d	431	457	497	566	481	604	718	725	589	578	487	725
ENSMUSG00000000594|Gm2a	1881	1810	1987	2068	2454	2265	2175	2244	1964	1819	2276	2343
ENSMUSG00000000600|Krit1	388	392	413	501	366	411	427	450	453	436	408	491
ENSMUSG00000000605|Clcn4-2	1153	1208	1176	1375	1407	1399	1513	1458	1237	1353	1296	1609
ENSMUSG00000000606|Vmn2r88	0	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000000617|Grm6	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000000627|Sema4f	0	0	1	0	2	3	0	3	5	1	0	0
ENSMUSG00000000628|Hk2	47	36	19	36	45	82	43	46	25	33	47	31
ENSMUSG00000000631|Myo18a	1019	1010	977	1103	1300	1557	1403	1479	1003	786	1356	1177
ENSMUSG00000000632|Sez6	0	0	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000000673|Haao	8382	8476	9567	9347	9799	9148	9589	8188	8834	8467	8996	10012
ENSMUSG00000000682|Cd52	52	67	34	68	57	75	69	38	97	60	74	78
ENSMUSG00000000686|Abhd15	843	690	599	786	956	1137	1120	857	562	450	792	797
ENSMUSG00000000690|Hoxb6	0	2	2	0	4	1	4	3	0	0	1	0
ENSMUSG00000000693|Loxl3	30	26	38	28	33	28	32	24	39	33	25	31
ENSMUSG00000000701|Tcl1b5	1	1	0	0	0	0	1	0	1	0	0	0
ENSMUSG00000000706|Btn1a1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000708|Kat2b	2502	2899	2391	3010	3005	2577	3134	2900	2737	2425	1987	3028
ENSMUSG00000000711|Rab5b	1498	1619	1660	1838	1807	1679	2022	1878	1736	1640	1456	1911
ENSMUSG00000000724|Cryba1	0	0	0	1	0	0	0	0	0	1	0	0
ENSMUSG00000000730|Dnmt3l	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000731|Aire	0	0	0	2	0	0	0	0	0	0	0	0
ENSMUSG00000000732|Icosl	11	18	10	4	19	20	16	16	18	12	14	8
ENSMUSG00000000738|Spg7	690	686	678	660	780	771	825	697	639	603	808	764
ENSMUSG00000000739|Sult5a1	159	274	97	69	122	222	179	68	127	140	49	187
ENSMUSG00000000740|Rpl13	2022	1893	2111	2109	1973	2039	1784	1398	1851	1636	2264	1977
ENSMUSG00000000743|Chmp1a	704	834	820	853	915	860	1013	775	796	794	882	986
ENSMUSG00000000751|Rpa1	564	596	748	671	611	597	756	537	655	650	559	694
ENSMUSG00000000753|Serpinf1	9451	9212	9311	10338	10608	11814	11920	9499	10148	8832	11668	12332
ENSMUSG00000000759|Tubgcp3	331	362	337	413	373	421	393	383	395	345	353	396
ENSMUSG00000000766|Oprm1	0	0	0	0	0	0	0	0	0	0	2	1
ENSMUSG00000000776|Polr3d	95	114	89	96	90	128	120	126	157	153	179	146
ENSMUSG00000000782|Tcf7	30	39	35	26	32	30	34	37	35	20	23	36
ENSMUSG00000000787|Ddx3x	4181	4550	4458	5586	4166	4942	5644	5911	5460	5509	4916	6261
ENSMUSG00000000791|Il12rb1	17	9	13	8	14	9	19	19	10	19	8	16
ENSMUSG00000000792|Slc5a5	0	0	0	0	1	0	0	0	1	0	1	0
ENSMUSG00000000794|Kcnn3	0	2	0	0	0	0	1	0	0	2	4	0
ENSMUSG00000000804|Usp32	790	778	897	943	972	1072	946	939	811	703	627	883
ENSMUSG00000000805|Car4	0	0	0	0	5	0	0	0	0	1	0	0
ENSMUSG00000000811|Txnrd3	136	164	131	123	159	149	170	142	149	119	192	182
ENSMUSG00000000817|Fasl	4	0	8	0	2	4	6	3	3	6	5	9
ENSMUSG00000000823|Znf512b	454	544	558	503	461	552	526	393	389	356	539	517
ENSMUSG00000000826|Dnajc5	1145	1212	1111	1294	1269	1380	1521	1324	1306	1363	1419	1472
ENSMUSG00000000827|Tpd52l2	491	532	524	579	468	616	548	567	569	511	595	630
ENSMUSG00000000838|Fmr1	359	370	422	485	395	545	540	629	450	533	395	511
ENSMUSG00000000861|Bcl11a	0	3	7	6	4	12	6	3	2	11	9	12
ENSMUSG00000000869|Il4	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000000876|Pxmp4	1965	1939	1910	2119	1905	2214	1793	1850	1735	1426	1654	1956
ENSMUSG00000000881|Dlg3	352	404	398	449	515	625	516	491	355	304	418	472
ENSMUSG00000000884|Gnb1l	34	41	35	29	39	38	28	27	27	24	38	44
ENSMUSG00000000889|Dbh	0	0	0	0	2	0	0	0	0	0	1	0
ENSMUSG00000000901|Mmp11	11	9	9	6	4	11	5	4	4	5	13	7
ENSMUSG00000000902|Smarcb1	189	208	197	220	186	248	235	250	255	235	330	282
ENSMUSG00000000903|Vpreb3	5	1	3	0	2	3	3	0	0	0	0	0
ENSMUSG00000000915|Hip1r	503	352	511	430	490	819	528	522	537	656	920	636
ENSMUSG00000000916|Nsun5	120	104	116	95	152	134	176	149	162	98	174	169
ENSMUSG00000000934|Top1mt	274	306	302	332	336	254	285	266	336	255	259	380
ENSMUSG00000000938|Hoxa10	0	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000000942|Hoxa4	0	4	3	4	2	5	7	3	7	4	1	3
ENSMUSG00000000948|Snrpn	201	187	172	169	156	135	123	108	141	157	81	124
ENSMUSG00000000957|Mmp14	330	383	316	358	299	429	526	467	431	314	607	574
ENSMUSG00000000958|Slc7a7	41	55	40	31	50	52	49	51	46	47	46	31
ENSMUSG00000000959|Oxa1l	734	692	671	714	753	770	763	675	743	664	750	772
ENSMUSG00000000976|Heatr6	278	292	317	287	291	335	310	281	301	289	388	370
ENSMUSG00000000982|Ccl3	1	2	1	1	2	2	0	2	0	1	3	3
ENSMUSG00000000983|Wfdc18	2	3	4	5	0	5	0	0	2	1	0	3
ENSMUSG00000001014|Icam4	2	8	2	1	0	0	3	2	0	3	3	6
ENSMUSG00000001016|Ilf2	288	296	267	348	335	343	370	353	353	300	418	406
ENSMUSG00000001017|Chtop	842	915	940	1079	943	1035	1102	1084	1004	948	950	1116
ENSMUSG00000001018|Snapin	313	429	418	417	423	347	383	374	389	349	357	359
ENSMUSG00000001020|S100a4	3	2	0	6	0	10	4	0	8	4	7	4
ENSMUSG00000001021|S100a3	0	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000001023|S100a5	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001025|S100a6	21	14	25	22	21	39	29	12	30	20	14	29
ENSMUSG00000001027|Scn4a	0	0	1	5	0	1	2	0	0	0	0	0
ENSMUSG00000001029|Icam2	45	43	45	53	43	25	52	40	74	40	63	57
ENSMUSG00000001034|Mapk7	24	28	25	26	40	29	32	26	19	22	31	49
ENSMUSG00000001036|Epn2	151	176	160	211	167	143	226	182	182	126	196	172
ENSMUSG00000001039|B9d1	0	2	7	2	2	6	8	2	7	5	0	2
ENSMUSG00000001052|Sec24b	235	269	283	254	221	274	289	298	212	205	257	298
ENSMUSG00000001053|N4bp3	115	78	90	78	105	129	117	85	61	39	124	62
ENSMUSG00000001054|Rmnd5b	204	217	206	199	228	279	262	241	263	210	271	256
ENSMUSG00000001056|Nhp2	233	273	278	261	289	229	259	205	237	226	348	252
ENSMUSG00000001062|1300018I17Rik	252	222	268	234	271	225	310	216	213	184	250	293
ENSMUSG00000001065|Zfp276	687	583	613	623	544	507	633	489	714	633	493	764
ENSMUSG00000001076|C1ql4	0	3	1	5	4	1	4	2	4	0	3	0
ENSMUSG00000001082|Mfsd10	42	43	53	42	82	45	73	47	29	46	57	40
ENSMUSG00000001089|Luzp1	544	663	605	640	640	710	534	621	581	520	563	640
ENSMUSG00000001095|Slc13a2	18	22	40	22	40	66	28	31	19	15	36	45
ENSMUSG00000001098|Kctd10	242	298	263	310	246	328	334	279	288	291	354	320
ENSMUSG00000001100|Poldip2	1447	1412	1460	1458	1447	1519	1735	1419	1477	1363	1625	1712
ENSMUSG00000001103|Sebox	6	13	12	6	15	14	11	8	14	9	14	7
ENSMUSG00000001105|Ift20	604	655	648	691	641	616	688	590	644	596	790	759
ENSMUSG00000001119|Col6a1	129	194	195	185	156	208	206	111	214	157	255	193
ENSMUSG00000001120|Pcbp3	10	7	2	13	6	8	8	8	5	3	11	9
ENSMUSG00000001123|Lgals9	5339	5431	5652	5879	5668	5375	6349	5180	5946	6089	5815	6987
ENSMUSG00000001127|Araf	1044	1128	1118	1182	1073	1197	1148	969	1059	932	1005	1167
ENSMUSG00000001128|Cfp	261	294	225	293	309	299	350	222	351	347	309	367
ENSMUSG00000001131|Timp1	0	13	4	12	12	36	0	2	1	1	0	3
ENSMUSG00000001134|Uxt	174	198	192	183	175	178	218	193	193	220	215	247
ENSMUSG00000001138|Cnnm3	244	289	248	271	290	379	324	209	243	178	278	280
ENSMUSG00000001143|Lman2l	161	189	147	219	179	217	163	173	143	121	161	159
ENSMUSG00000001150|Mcm3ap	469	496	447	509	501	600	543	580	471	516	551	550
ENSMUSG00000001151|Pcnt	285	335	390	417	409	486	451	457	378	287	408	433
ENSMUSG00000001155|Ftcd	6497	7114	7155	7204	7905	9016	6496	5727	5878	5218	7234	7010
ENSMUSG00000001156|Mxd1	135	95	89	125	129	153	155	148	119	109	106	146
ENSMUSG00000001157|Gmcl1	188	154	195	245	217	230	214	173	166	149	198	206
ENSMUSG00000001158|Snrnp27	176	207	221	246	198	228	227	224	258	227	229	241
ENSMUSG00000001166|Oas1c	14	12	14	9	6	12	19	9	22	8	5	27
ENSMUSG00000001168|Oas1h	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000001173|Ocrl	116	125	147	113	134	171	120	172	136	139	100	130
ENSMUSG00000001175|Calm1	4858	4800	5207	5603	4232	4755	5015	4577	4974	5319	5174	5549
ENSMUSG00000001211|Agpat3	3008	2946	3006	3020	3533	3303	4124	3378	2882	2876	2987	4204
ENSMUSG00000001225|Slc26a3	3	0	1	1	0	0	0	0	2	1	1	0
ENSMUSG00000001227|Sema6b	68	103	62	90	94	67	135	94	58	70	80	57
ENSMUSG00000001228|Uhrf1	1	4	6	5	12	9	14	3	15	10	5	6
ENSMUSG00000001229|Dpp9	621	623	633	556	593	855	775	631	770	655	1056	927
ENSMUSG00000001240|Ramp2	1051	962	993	1050	1098	955	1022	946	963	945	924	1145
ENSMUSG00000001247|Lsr	1863	1850	1898	2013	1758	1597	2450	2044	2347	2191	2044	2519
ENSMUSG00000001248|Gramd1a	262	211	204	219	234	217	240	174	217	160	199	260
ENSMUSG00000001249|Hpn	4365	4237	3963	4025	4894	4798	5358	3906	3953	3359	5081	4552
ENSMUSG00000001260|Gabrg1	0	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000001270|Ckb	56	61	62	57	51	74	62	56	88	66	75	64
ENSMUSG00000001280|Sp1	1028	1158	1043	1420	1245	1729	1319	1489	1084	1123	1181	1323
ENSMUSG00000001281|Itgb7	28	20	27	21	16	31	41	17	39	39	30	25
ENSMUSG00000001285|Myg1	253	261	243	283	279	315	304	277	273	255	315	292
ENSMUSG00000001288|Rarg	69	79	82	105	51	100	83	88	77	50	80	61
ENSMUSG00000001289|Pfdn5	895	932	868	984	1020	1046	1016	808	961	837	1108	999
ENSMUSG00000001300|Efnb2	64	60	82	79	57	101	59	75	61	56	95	87
ENSMUSG00000001305|Rrp15	157	162	147	176	178	154	194	197	201	179	270	196
ENSMUSG00000001313|Rnd2	111	105	153	108	110	80	139	110	116	96	125	141
ENSMUSG00000001323|Srr	1662	1723	1787	1740	1740	1810	1809	1816	1791	1620	1889	2196
ENSMUSG00000001333|Sync	1	0	0	2	5	0	0	2	0	2	2	1
ENSMUSG00000001334|Fndc5	2	0	4	3	3	3	2	0	5	3	6	2
ENSMUSG00000001348|Acp5	1379	1355	1425	1445	1541	1501	1176	1155	1215	957	1212	1199
ENSMUSG00000001349|Cnn1	4	4	0	3	7	2	5	1	1	2	0	4
ENSMUSG00000001366|Fbxo9	915	1113	1019	1088	1322	1275	1436	1187	1085	999	1182	1174
ENSMUSG00000001376|Ccdc132	259	314	289	382	325	365	366	358	370	373	288	370
ENSMUSG00000001379|Apbb3	197	157	212	271	216	181	257	214	317	323	186	300
ENSMUSG00000001380|Hars	581	637	717	681	611	671	724	654	703	664	810	737
ENSMUSG00000001383|Zmat2	342	456	449	452	426	537	502	458	470	454	458	488
ENSMUSG00000001403|Ube2c	5	2	1	0	2	7	8	1	3	5	6	5
ENSMUSG00000001415|Smg5	534	593	483	524	488	514	580	507	607	549	728	640
ENSMUSG00000001416|Cct3	1433	1351	1686	1491	1325	1324	1560	1394	1578	1713	1877	1872
ENSMUSG00000001417|Rhbg	205	153	152	177	234	113	165	132	142	157	122	161
ENSMUSG00000001418|0610031J06Rik	614	569	619	676	650	761	645	604	558	536	648	569
ENSMUSG00000001419|Mef2d	257	253	290	236	303	250	309	262	236	215	325	319
ENSMUSG00000001420|Tmem79	28	42	42	42	50	36	31	24	22	33	34	27
ENSMUSG00000001424|Snd1	3024	2835	3633	3204	3149	2838	3411	3023	3067	3160	3723	3880
ENSMUSG00000001435|Col18a1	20528	20300	21070	22677	24332	24692	26396	19113	18849	15458	19686	22014
ENSMUSG00000001436|Slc19a1	178	170	158	206	254	208	282	167	179	160	178	236
ENSMUSG00000001440|Kpnb1	2659	2558	2738	2847	2726	3040	2728	2478	2751	2773	3237	3370
ENSMUSG00000001441|Npepps	381	371	375	357	408	419	408	361	337	297	334	381
ENSMUSG00000001444|Tbx21	9	2	1	4	4	3	6	3	1	7	16	1
ENSMUSG00000001445|Mrpl10	765	824	749	802	875	861	836	652	757	733	855	814
ENSMUSG00000001467|Cyp51	4911	4370	5015	6407	4574	2384	7457	6803	6785	6460	5966	9018
ENSMUSG00000001472|Tcf25	2378	2597	2685	2539	2730	2930	2730	2494	2347	2239	2691	2754
ENSMUSG00000001473|Tubb6	84	58	69	74	57	76	81	80	86	94	97	81
ENSMUSG00000001482|Def8	409	523	523	465	481	537	548	482	523	467	615	559
ENSMUSG00000001493|Meox1	11	2	9	9	1	1	1	4	1	6	6	4
ENSMUSG00000001494|Sost	1	0	0	0	0	0	1	4	0	1	0	0
ENSMUSG00000001496|Nkx2-1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001497|Pax9	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001504|Irx2	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001506|Col1a1	89	104	70	81	47	81	74	35	56	64	76	54
ENSMUSG00000001507|Itga3	151	123	155	156	138	156	124	143	125	121	170	152
ENSMUSG00000001508|Sgca	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001510|Dlx3	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001517|Foxm1	2	2	5	2	1	10	8	1	4	3	1	9
ENSMUSG00000001518|Itfg2	113	132	105	69	112	132	149	99	139	142	130	134
ENSMUSG00000001520|Nrip2	3	2	2	3	3	2	1	1	2	0	1	1
ENSMUSG00000001521|Tulp3	20	26	26	23	14	19	31	25	25	11	22	21
ENSMUSG00000001524|Gtf2h4	222	213	171	173	177	242	212	160	213	196	207	246
ENSMUSG00000001525|Tubb5	1972	1511	1775	1674	1567	1553	1619	1335	1602	1494	2109	1754
ENSMUSG00000001542|Ell2	1997	1911	2140	2757	2359	2147	2108	2075	2085	2469	1533	2967
ENSMUSG00000001552|Jup	512	508	424	596	652	925	902	765	493	370	860	644
ENSMUSG00000001555|Fkbp10	18	16	23	19	21	20	16	15	10	8	26	24
ENSMUSG00000001558|Klhl10	0	1	1	2	3	4	0	0	2	0	2	0
ENSMUSG00000001566|Mnx1	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001569|Nom1	410	424	445	482	462	508	544	518	498	446	519	485
ENSMUSG00000001576|Ergic1	1598	1829	1629	1604	1709	1382	1536	1250	1396	1372	1392	1569
ENSMUSG00000001583|Tnk1	1	2	0	1	0	1	3	0	3	1	1	0
ENSMUSG00000001588|Acap1	21	31	30	39	37	41	62	22	31	37	67	33
ENSMUSG00000001604|Tcea3	982	1074	991	985	1091	1455	1155	1011	1031	744	1279	1074
ENSMUSG00000001622|Csn3	0	1	0	0	0	0	0	0	0	0	0	2
ENSMUSG00000001627|Ifrd1	264	340	399	394	329	298	389	481	518	422	457	578
ENSMUSG00000001630|Stk38l	319	350	435	453	306	263	395	376	549	401	387	591
ENSMUSG00000001632|Brpf1	306	289	261	392	335	304	442	379	338	315	344	361
ENSMUSG00000001642|Akr1b3	120	114	128	110	103	70	109	86	107	87	99	94
ENSMUSG00000001655|Hoxc13	0	0	0	1	0	0	0	0	0	1	0	0
ENSMUSG00000001656|Hoxc11	0	0	0	1	0	0	0	0	0	1	0	0
ENSMUSG00000001657|Hoxc8	0	1	0	1	0	0	0	0	0	1	0	0
ENSMUSG00000001661|Hoxc6	0	0	0	3	0	0	0	0	0	1	0	0
ENSMUSG00000001663|Gstt1	1406	1603	1650	1799	1652	1746	4278	2793	3354	2671	2999	4226
ENSMUSG00000001665|Gstt3	215	242	226	258	322	528	1884	1089	932	867	1085	1953
ENSMUSG00000001666|Ddt	2311	2404	2484	2795	3122	3698	4280	3393	3407	3046	4947	4417
ENSMUSG00000001670|Tat	50528	38323	46069	52357	44947	45032	22675	23426	52106	53488	68935	77005
ENSMUSG00000001672|Marveld3	10	8	7	8	10	41	8	10	11	17	27	11
ENSMUSG00000001674|Ddx18	190	170	193	220	207	229	235	207	226	217	241	196
ENSMUSG00000001687|Ubl3	1036	1130	960	1047	1041	1274	1312	1280	1123	1051	1233	1312
ENSMUSG00000001700|Gramd3	571	575	734	800	636	696	751	752	783	727	450	842
ENSMUSG00000001707|Eef1e1	83	89	98	95	108	108	109	125	117	128	130	98
ENSMUSG00000001729|Akt1	677	607	642	599	640	791	812	798	706	621	923	853
ENSMUSG00000001739|Cldn15	15	6	20	20	7	14	7	10	7	10	10	14
ENSMUSG00000001741|Il16	99	123	100	112	106	116	128	117	114	97	75	100
ENSMUSG00000001750|Tcirg1	522	537	519	519	582	589	523	460	466	468	445	510
ENSMUSG00000001751|Naglu	497	472	549	554	546	541	479	480	450	404	466	457
