"","Gene_name","Sample_CTR1_liver_ZT02","Sample_CTR1_liver_ZT06","Sample_CTR1_liver_ZT10","Sample_CTR1_liver_ZT14","Sample_CTR1_liver_ZT18","Sample_CTR1_liver_ZT22","Sample_CTR2_liver_ZT02","Sample_CTR2_liver_ZT06","Sample_CTR2_liver_ZT10","Sample_CTR2_liver_ZT14","Sample_CTR2_liver_ZT18","Sample_CTR2_liver_ZT22"
"29","ENSMUSG00000000171|Sdhd",6222,5875,5949,7216,6235,6141,6483,7307,12785,6118,6207,4851
"32","ENSMUSG00000000184|Ccnd2",739,531,561,485,511,566,612,626,1017,496,597,480
"33","ENSMUSG00000000194|Gpr107",1109,912,850,999,1012,956,918,1080,1668,881,1067,858
"36","ENSMUSG00000000204|Slfn4",15,26,5,6,0,34,3,19,7,10,7,20
"41","ENSMUSG00000000244|Tspan32",14,19,5,11,12,16,10,17,18,15,9,24
"42","ENSMUSG00000000247|Lhx2",141,129,83,82,73,120,117,137,148,61,91,106
"44","ENSMUSG00000000253|Gmpr",36,50,33,29,26,41,45,41,80,30,42,46
"46","ENSMUSG00000000266|Mid2",401,337,365,339,298,345,330,435,678,315,304,256
"47","ENSMUSG00000000275|Trim25",3086,2812,3153,2947,2602,2652,3357,2464,5013,2797,3023,2511
"48","ENSMUSG00000000276|Dgke",184,224,181,227,144,171,161,204,354,168,170,197
"49","ENSMUSG00000000278|Scpep1",1364,1417,1201,1126,1093,1466,1250,1757,2244,1003,975,1209
"50","ENSMUSG00000000282|Mnt",224,324,234,169,334,274,140,364,387,180,296,167
"51","ENSMUSG00000000290|Itgb2",270,332,272,354,295,482,266,507,502,262,385,430
"52","ENSMUSG00000000295|Hddc2",34,43,35,47,37,33,36,51,86,45,33,38
"53","ENSMUSG00000000296|Tpd52l1",192,171,227,258,161,207,183,218,459,229,199,173
"54","ENSMUSG00000000301|Pemt",6812,7046,6041,6940,6929,6309,7641,9448,13759,6262,7489,5556
"55","ENSMUSG00000000303|Cdh1",2771,2876,2114,1244,2494,2566,2642,3243,3474,1928,2642,1998
"56","ENSMUSG00000000305|Cdh4",32,32,43,43,36,40,38,34,63,28,42,26
"57","ENSMUSG00000000308|Ckmt1",58,62,46,30,38,25,21,14,35,15,17,31
"58","ENSMUSG00000000317|Bcl6b",52,121,95,96,84,41,76,101,169,111,79,82
"59","ENSMUSG00000000318|Clec10a",6,12,9,20,7,16,19,16,12,21,17,12
"60","ENSMUSG00000000320|Alox12",32,45,33,19,35,29,26,55,41,26,23,18
"61","ENSMUSG00000000325|Arvcf",654,696,540,619,580,775,695,719,1164,676,696,607
"62","ENSMUSG00000000326|Comt",40435,36720,25167,24620,33075,30981,42268,45085,55692,23424,35790,25279
"63","ENSMUSG00000000339|Rtcd1",317,355,352,385,352,313,307,363,721,324,300,303
"64","ENSMUSG00000000340|Dbt",4754,3849,4409,5164,4183,4269,4099,5114,7640,3948,4405,3127
"65","ENSMUSG00000000346|Dazap2",2589,2785,2907,2899,2503,2921,2931,3446,5701,2585,2345,2415
"66","ENSMUSG00000000355|Mcts1",718,761,656,800,671,749,618,766,1373,599,634,599
"67","ENSMUSG00000000359|Rem1",24,14,20,10,10,16,15,26,30,18,18,10
"68","ENSMUSG00000000365|Rnf17",4,3,8,8,3,12,7,13,2,6,2,6
"69","ENSMUSG00000000374|Trappc10",1545,1310,1393,1747,1659,1435,1587,1377,3213,1546,1642,1316
"70","ENSMUSG00000000378|Ccm2",701,688,602,717,837,598,692,685,1330,681,867,667
"72","ENSMUSG00000000384|Tbrg4",1203,952,1010,1152,1031,958,1149,1105,2161,1210,1222,882
"73","ENSMUSG00000000385|Tmprss2",134,203,120,131,138,271,112,336,172,112,149,211
"74","ENSMUSG00000000386|Mx1",52,90,45,38,26,57,55,75,79,24,26,56
"75","ENSMUSG00000000392|Fap",16,3,10,7,13,7,7,7,3,9,5,8
"77","ENSMUSG00000000399|Ndufa9",3718,3326,3137,3774,3487,3337,3473,4065,7436,3320,3640,2805
"79","ENSMUSG00000000409|Lck",32,27,18,38,18,35,32,25,43,24,23,23
"81","ENSMUSG00000000416|Cttnbp2",25,12,9,17,17,12,17,19,12,19,12,13
"82","ENSMUSG00000000420|Galnt1",2218,2218,2322,2682,2350,2678,2264,2391,4635,2259,2230,2238
"84","ENSMUSG00000000439|Mkrn2",536,525,531,632,518,558,543,616,1177,506,605,520
"85","ENSMUSG00000000440|Pparg",251,281,396,371,177,208,327,278,1079,261,233,217
"86","ENSMUSG00000000441|Raf1",4136,4223,3755,3407,3405,3743,4179,5441,8606,3119,3719,3589
"87","ENSMUSG00000000486|Sept1",12,38,25,30,12,27,18,43,48,18,22,26
"88","ENSMUSG00000000489|Pdgfb",43,69,43,72,55,66,63,50,111,33,67,57
"89","ENSMUSG00000000530|Acvrl1",126,119,111,138,101,133,131,182,237,103,172,136
"90","ENSMUSG00000000531|Grasp",40,58,55,100,72,61,32,44,127,71,50,30
"91","ENSMUSG00000000532|Acvr1b",576,737,671,627,633,769,493,733,1506,571,701,715
"92","ENSMUSG00000000538|Tom1l2",1094,1074,861,861,739,731,670,1240,1596,710,876,725
"93","ENSMUSG00000000544|Gpa33",30,13,19,10,11,19,4,2,10,4,8,12
"94","ENSMUSG00000000552|Zfp385a",85,113,112,72,126,133,124,124,249,113,116,88
"95","ENSMUSG00000000555|Itga5",781,570,438,505,705,681,884,605,835,652,833,570
"97","ENSMUSG00000000561|Wdr77",1374,942,1045,1316,1027,1086,1444,1063,2221,1236,1114,884
"99","ENSMUSG00000000563|Atp5f1",12387,9988,9492,11568,10586,9611,11122,11755,22382,10095,10410,8433
"100","ENSMUSG00000000567|Sox9",286,197,66,86,225,280,225,223,130,118,209,189
"101","ENSMUSG00000000568|Hnrnpd",512,561,685,573,386,664,531,675,1074,602,425,470
"102","ENSMUSG00000000579|Dynlt1c",11,15,7,13,24,12,8,11,25,14,8,10
"103","ENSMUSG00000000581|C1d",1420,1337,1315,1529,1162,1401,1378,1574,2753,1324,1096,1110
"104","ENSMUSG00000000594|Gm2a",5890,5406,5734,4966,5893,4712,5963,7368,9378,5095,6161,3922
"105","ENSMUSG00000000600|Krit1",1012,657,670,873,833,801,874,768,1302,761,843,679
"106","ENSMUSG00000000605|Clcn4-2",2819,2698,3048,3162,2903,2944,2676,2963,6005,2773,2887,2611
"109","ENSMUSG00000000627|Sema4f",4,14,5,5,10,2,1,7,1,0,14,5
"110","ENSMUSG00000000628|Hk2",96,152,86,114,61,175,87,137,269,92,110,148
"111","ENSMUSG00000000631|Myo18a",4509,4484,4549,4625,4415,4296,3665,4189,8188,3844,4672,3926
"113","ENSMUSG00000000673|Haao",17067,15862,12016,11983,11796,12608,14368,19035,22739,12391,12820,10914
"114","ENSMUSG00000000682|Cd52",113,155,108,170,135,171,132,187,230,166,152,158
"115","ENSMUSG00000000686|Abhd15",2269,1844,2298,2501,2095,2204,1615,2201,3983,1988,2445,1838
"116","ENSMUSG00000000690|Hoxb6",2,2,3,1,1,3,1,1,11,3,5,2
"117","ENSMUSG00000000693|Loxl3",102,111,73,96,106,133,109,118,187,112,96,104
"120","ENSMUSG00000000708|Kat2b",4224,4567,5905,6525,3674,4441,4966,4884,13738,5630,3539,3567
"121","ENSMUSG00000000711|Rab5b",2929,3061,2937,2882,2651,3112,2895,3959,5861,2663,2672,2517
"125","ENSMUSG00000000732|Icosl",22,32,23,43,37,33,36,59,66,30,32,34
"126","ENSMUSG00000000738|Spg7",1848,1685,1630,1815,1659,1466,1723,1838,3195,1553,1711,1311
"127","ENSMUSG00000000739|Sult5a1",559,912,554,560,535,469,364,1051,991,460,737,271
"128","ENSMUSG00000000740|Rpl13",6159,5557,4234,5660,5986,5869,6142,6524,11041,5254,6035,5215
"129","ENSMUSG00000000743|Chmp1a",1885,2057,2074,2303,1766,2221,2036,2363,4426,2028,2030,2174
"130","ENSMUSG00000000751|Rpa1",1630,1263,1037,1059,1093,1308,1231,1523,2017,1100,1187,1044
"131","ENSMUSG00000000753|Serpinf1",19730,19712,18481,20923,21375,17554,20319,22563,38106,18856,22003,14493
"132","ENSMUSG00000000759|Tubgcp3",690,741,689,763,643,843,821,888,1246,636,682,693
"134","ENSMUSG00000000776|Polr3d",372,199,215,252,222,227,380,210,491,268,279,254
"135","ENSMUSG00000000782|Tcf7",85,86,110,112,90,88,106,104,184,89,82,70
"136","ENSMUSG00000000787|Ddx3x",8126,8064,12456,13009,8738,9370,11838,9159,26930,12414,8561,8281
"137","ENSMUSG00000000791|Il12rb1",35,29,47,43,41,28,35,29,137,58,57,17
"140","ENSMUSG00000000804|Usp32",1447,1484,1849,1463,1350,1629,1302,1799,3525,1383,1327,1440
"142","ENSMUSG00000000811|Txnrd3",296,405,477,409,208,406,363,446,1016,384,240,283
"144","ENSMUSG00000000823|Znf512b",878,1453,1459,1271,991,1422,1132,1449,3094,1163,905,1187
"145","ENSMUSG00000000826|Dnajc5",2971,2517,2891,3620,2840,2634,3026,2549,6212,3256,3048,2344
"146","ENSMUSG00000000827|Tpd52l2",1120,938,973,1157,998,993,1055,1036,2178,916,1098,847
"147","ENSMUSG00000000838|Fmr1",1004,981,1185,1150,926,1155,1040,1188,2080,1050,813,886
"148","ENSMUSG00000000861|Bcl11a",11,31,8,13,15,34,11,17,29,13,13,18
"150","ENSMUSG00000000876|Pxmp4",3154,2745,2275,2982,3815,4022,3223,3018,4221,2457,3612,3685
"151","ENSMUSG00000000881|Dlg3",707,797,703,648,660,731,548,981,1242,542,714,605
"152","ENSMUSG00000000884|Gnb1l",69,100,82,69,48,80,82,84,119,68,66,78
"154","ENSMUSG00000000901|Mmp11",17,26,24,17,12,49,38,32,31,15,14,33
"155","ENSMUSG00000000902|Smarcb1",729,583,446,494,648,560,643,690,748,461,685,466
"156","ENSMUSG00000000903|Vpreb3",2,2,13,11,10,5,8,7,13,7,10,0
"157","ENSMUSG00000000915|Hip1r",1637,1312,1064,1600,1787,1438,1663,1186,2320,1683,1627,1421
"158","ENSMUSG00000000916|Nsun5",359,291,312,389,379,312,379,303,640,334,419,343
"159","ENSMUSG00000000934|Top1mt",802,751,593,628,538,814,684,1004,1033,591,602,676
"161","ENSMUSG00000000942|Hoxa4",1,7,9,12,9,6,4,4,13,5,16,4
"162","ENSMUSG00000000948|Snrpn",499,297,280,272,223,374,371,541,456,287,265,283
"163","ENSMUSG00000000957|Mmp14",663,820,716,887,1000,1090,1273,935,1352,987,1117,916
"164","ENSMUSG00000000958|Slc7a7",121,185,86,104,125,163,100,199,210,109,122,151
"165","ENSMUSG00000000959|Oxa1l",1435,1346,1171,1195,1200,1384,1443,1514,2347,1165,1334,1181
"166","ENSMUSG00000000976|Heatr6",872,618,576,701,781,542,733,586,1165,704,901,383
"167","ENSMUSG00000000982|Ccl3",3,3,3,4,7,8,4,5,3,2,13,1
"169","ENSMUSG00000001014|Icam4",14,13,13,13,35,10,10,11,21,5,16,10
"170","ENSMUSG00000001016|Ilf2",655,519,495,567,647,570,653,597,1218,540,644,517
"171","ENSMUSG00000001017|Chtop",2372,1966,1917,2103,2102,2253,2085,2444,3752,1896,1977,1936
"172","ENSMUSG00000001018|Snapin",593,734,696,660,519,807,609,806,1288,520,528,664
"173","ENSMUSG00000001020|S100a4",12,15,19,10,5,11,14,10,20,15,6,12
"176","ENSMUSG00000001025|S100a6",28,44,32,40,20,52,38,43,62,42,17,42
"177","ENSMUSG00000001027|Scn4a",0,1,3,4,1,1,0,0,41,1,1,1
"178","ENSMUSG00000001029|Icam2",114,111,82,117,88,90,92,115,209,96,80,81
"179","ENSMUSG00000001034|Mapk7",86,92,112,109,92,111,86,114,177,83,116,101
"180","ENSMUSG00000001036|Epn2",419,458,435,459,422,535,451,500,870,410,380,476
"181","ENSMUSG00000001039|B9d1",16,13,6,6,11,12,13,17,16,7,10,15
"182","ENSMUSG00000001052|Sec24b",643,543,417,456,536,427,456,578,772,449,520,363
"183","ENSMUSG00000001053|N4bp3",221,141,110,154,176,117,162,205,269,191,256,131
"184","ENSMUSG00000001054|Rmnd5b",565,446,378,405,398,482,588,467,831,431,469,442
"185","ENSMUSG00000001056|Nhp2",623,488,410,548,560,527,523,506,934,485,549,474
"186","ENSMUSG00000001062|1300018I17Rik",682,561,558,662,621,535,504,580,1003,734,738,446
"187","ENSMUSG00000001065|Zfp276",1296,804,953,1251,994,865,1059,871,2012,1779,1107,798
"188","ENSMUSG00000001076|C1ql4",3,13,9,5,14,11,7,5,14,6,18,14
"189","ENSMUSG00000001082|Mfsd10",118,120,128,129,99,116,121,133,264,115,124,123
"190","ENSMUSG00000001089|Luzp1",1141,1016,1027,1093,997,1070,1199,1240,2169,956,1132,839
"191","ENSMUSG00000001095|Slc13a2",94,91,56,32,98,66,47,73,90,42,73,38
"192","ENSMUSG00000001098|Kctd10",696,540,539,658,578,587,681,671,1079,582,688,524
"193","ENSMUSG00000001100|Poldip2",3192,2895,3088,3547,3099,3103,3169,3382,6551,3253,2989,2663
"194","ENSMUSG00000001103|Sebox",33,15,13,36,38,61,28,18,31,17,34,58
"195","ENSMUSG00000001105|Ift20",1370,1331,990,1394,1478,1311,1396,1437,2636,1368,1384,1209
"196","ENSMUSG00000001119|Col6a1",416,493,428,424,328,660,528,511,819,429,327,509
"197","ENSMUSG00000001120|Pcbp3",51,36,33,39,48,22,24,40,54,28,28,24
"198","ENSMUSG00000001123|Lgals9",10547,8918,6606,4743,5626,9338,8939,11917,11230,5451,5730,7439
"199","ENSMUSG00000001127|Araf",2587,2225,2024,2060,1995,2146,2323,2592,3642,1989,1962,1741
"200","ENSMUSG00000001128|Cfp",733,787,565,775,675,895,779,878,1052,737,739,939
"202","ENSMUSG00000001134|Uxt",449,469,365,436,414,410,402,472,885,446,460,443
"203","ENSMUSG00000001138|Cnnm3",671,781,491,525,700,720,578,807,746,404,704,536
"204","ENSMUSG00000001143|Lman2l",696,508,317,472,755,455,450,444,693,377,663,438
"205","ENSMUSG00000001150|Mcm3ap",1551,1167,1111,1253,1482,1145,1369,1174,2274,1237,1435,1140
"206","ENSMUSG00000001151|Pcnt",803,1062,1000,874,729,996,714,1136,1872,685,746,926
"207","ENSMUSG00000001155|Ftcd",11252,11567,12121,10554,9498,11401,11984,16138,22318,10674,10307,9018
"208","ENSMUSG00000001156|Mxd1",243,290,312,342,208,255,231,276,550,225,178,181
"209","ENSMUSG00000001157|Gmcl1",489,484,443,517,499,499,443,525,876,477,524,441
"210","ENSMUSG00000001158|Snrnp27",499,389,311,385,387,398,422,379,691,412,384,337
"211","ENSMUSG00000001166|Oas1c",51,50,27,25,13,56,18,60,26,17,14,49
"213","ENSMUSG00000001173|Ocrl",259,292,201,197,153,309,215,338,335,196,188,209
"214","ENSMUSG00000001175|Calm1",11637,9242,8176,8583,9298,10317,10734,10724,17574,9156,9206,8495
"215","ENSMUSG00000001211|Agpat3",7206,6364,6445,7579,6957,6557,7446,7664,13002,6631,7281,5922
"216","ENSMUSG00000001225|Slc26a3",27,28,23,3,9,5,3,3,7,2,4,10
"217","ENSMUSG00000001227|Sema6b",124,162,187,228,223,253,145,222,352,259,244,196
"218","ENSMUSG00000001228|Uhrf1",25,17,16,21,30,84,46,56,77,42,21,28
"219","ENSMUSG00000001229|Dpp9",2197,1759,1074,1073,1993,1877,1695,1743,1994,1153,1717,1588
"220","ENSMUSG00000001240|Ramp2",1965,1661,1405,1705,1588,1778,1716,1939,3184,1751,1674,1489
"221","ENSMUSG00000001247|Lsr",9471,8724,4990,4828,8404,8692,7441,11797,9328,5725,8839,7238
"222","ENSMUSG00000001248|Gramd1a",500,498,422,471,457,436,472,478,835,439,504,406
"223","ENSMUSG00000001249|Hpn",13750,13069,11919,14002,12724,12278,11141,14520,21935,10766,12998,11056
"225","ENSMUSG00000001270|Ckb",245,227,163,195,166,272,249,263,323,169,208,303
"226","ENSMUSG00000001280|Sp1",2086,2209,2108,1897,1970,2448,2046,2765,4324,1751,1965,1905
"227","ENSMUSG00000001281|Itgb7",43,62,74,115,69,47,41,103,102,47,117,70
"228","ENSMUSG00000001285|Myg1",585,607,475,582,548,600,574,658,946,507,597,502
"229","ENSMUSG00000001288|Rarg",286,169,147,216,224,198,221,310,388,197,262,160
"230","ENSMUSG00000001289|Pfdn5",1897,1706,1352,1852,1740,1708,1687,1890,3198,1567,1653,1579
"231","ENSMUSG00000001300|Efnb2",112,98,112,119,77,129,108,144,221,128,93,89
"232","ENSMUSG00000001305|Rrp15",429,329,354,387,325,371,483,367,754,357,354,325
"233","ENSMUSG00000001313|Rnd2",274,306,272,222,290,300,279,447,487,319,410,282
"234","ENSMUSG00000001323|Srr",3271,3281,3076,3291,3676,3313,3278,3775,6665,3098,3616,2921
"236","ENSMUSG00000001334|Fndc5",14,22,14,15,11,30,21,31,53,15,15,25
"237","ENSMUSG00000001348|Acp5",3481,3728,3075,3482,3405,3147,3074,3778,6543,3064,3614,2871
"238","ENSMUSG00000001349|Cnn1",10,12,19,19,13,4,36,9,23,22,7,4
"239","ENSMUSG00000001366|Fbxo9",2382,2866,2795,2954,2211,2812,2599,2747,5701,2522,2333,2383
"240","ENSMUSG00000001376|Ccdc132",598,553,598,631,489,632,578,643,1378,618,462,505
"241","ENSMUSG00000001379|Apbb3",549,283,357,587,401,283,339,315,730,505,386,246
"242","ENSMUSG00000001380|Hars",1443,1327,1088,1358,1592,1630,1430,1479,2548,1444,1475,1316
"243","ENSMUSG00000001383|Zmat2",966,805,750,820,789,951,805,968,1442,857,834,857
"244","ENSMUSG00000001403|Ube2c",16,17,9,18,10,20,13,17,34,23,17,20
"245","ENSMUSG00000001415|Smg5",1628,1379,1540,1686,1394,1372,1659,1451,3835,1533,1713,1567
"246","ENSMUSG00000001416|Cct3",4864,3817,2482,3018,4810,4359,4062,4453,5776,3167,4280,3198
"247","ENSMUSG00000001417|Rhbg",642,572,305,517,388,380,434,734,782,416,474,492
"248","ENSMUSG00000001418|0610031J06Rik",1403,1367,1295,1387,1395,1407,1355,1608,2378,1261,1396,1339
"249","ENSMUSG00000001419|Mef2d",867,707,606,553,848,703,605,710,983,635,764,555
"250","ENSMUSG00000001420|Tmem79",96,69,61,85,123,73,84,79,140,86,125,55
"251","ENSMUSG00000001424|Snd1",9380,8509,6606,6830,8075,8195,7348,9241,15064,6931,8428,7247
"252","ENSMUSG00000001435|Col18a1",49433,49204,39004,41215,41901,46395,42456,59548,72859,37733,40994,34493
"253","ENSMUSG00000001436|Slc19a1",686,378,506,665,572,558,489,716,820,548,621,436
"254","ENSMUSG00000001440|Kpnb1",6166,5369,4129,4315,5649,6352,5577,6990,8555,4408,5884,4927
"255","ENSMUSG00000001441|Npepps",918,777,799,923,874,743,798,921,1708,707,845,688
"256","ENSMUSG00000001444|Tbx21",18,5,10,8,7,11,2,9,18,3,11,9
"257","ENSMUSG00000001445|Mrpl10",1613,1534,1311,1463,1520,1572,1531,1696,2567,1387,1467,1399
"258","ENSMUSG00000001467|Cyp51",7382,6909,4147,3753,4416,9004,7266,9390,10307,4437,3285,6061
"259","ENSMUSG00000001472|Tcf25",6003,5674,5469,6368,5963,5455,5447,5970,11819,5948,6321,5309
"260","ENSMUSG00000001473|Tubb6",222,176,109,138,180,220,228,167,323,167,288,210
"261","ENSMUSG00000001482|Def8",1473,1296,1047,1221,1290,1534,1408,1620,1796,1117,1500,1378
"262","ENSMUSG00000001493|Meox1",2,6,6,4,3,13,11,8,4,5,1,14
"267","ENSMUSG00000001506|Col1a1",542,488,302,180,185,858,396,550,512,385,215,438
"268","ENSMUSG00000001507|Itga3",364,370,257,250,383,350,258,401,442,183,399,316
"271","ENSMUSG00000001517|Foxm1",7,15,13,5,13,25,23,15,26,17,21,14
"272","ENSMUSG00000001518|Itfg2",302,317,250,232,300,328,319,315,533,263,288,285
"274","ENSMUSG00000001521|Tulp3",53,43,43,46,54,52,50,54,62,36,49,36
"275","ENSMUSG00000001524|Gtf2h4",372,390,314,333,343,379,405,447,648,345,414,349
"276","ENSMUSG00000001525|Tubb5",3317,3017,2114,1966,3705,3424,3701,3581,5808,2407,3339,2676
"277","ENSMUSG00000001542|Ell2",2658,2872,2882,3948,2908,2920,2351,3263,5106,3308,2296,2262
"278","ENSMUSG00000001552|Jup",1803,1949,1694,1592,1947,1710,1377,1848,2997,1507,2341,1401
"279","ENSMUSG00000001555|Fkbp10",47,38,34,45,24,52,55,48,63,41,21,36
"282","ENSMUSG00000001569|Nom1",871,802,958,1010,771,881,878,909,1925,841,804,742
"283","ENSMUSG00000001576|Ergic1",4270,3264,2699,2579,2976,3272,3292,3549,4354,2569,3292,2979
"285","ENSMUSG00000001588|Acap1",89,93,95,88,70,108,109,118,181,74,104,85
"286","ENSMUSG00000001604|Tcea3",2148,1880,2132,1779,1778,1626,1803,2071,3656,1743,1914,1382
"288","ENSMUSG00000001627|Ifrd1",621,483,748,1033,679,518,658,500,1506,794,436,521
"289","ENSMUSG00000001630|Stk38l",846,834,967,949,794,1140,962,1169,2210,895,786,859
"290","ENSMUSG00000001632|Brpf1",651,570,727,824,681,630,875,645,1436,869,746,605
"291","ENSMUSG00000001642|Akr1b3",324,236,147,221,201,330,238,335,376,201,184,235
"296","ENSMUSG00000001663|Gstt1",6276,5911,5581,6521,6068,5270,6580,8416,12038,5815,6957,4118
"297","ENSMUSG00000001665|Gstt3",1510,1535,1619,1597,1372,1351,1620,3455,2294,1243,1824,1138
"298","ENSMUSG00000001666|Ddt",7754,6861,6938,7590,7089,6280,7320,9424,14140,6144,7761,5798
"299","ENSMUSG00000001670|Tat",60179,47595,44868,60616,97670,35492,39842,44733,78993,100161,70922,38913
"300","ENSMUSG00000001672|Marveld3",47,58,26,37,59,32,17,35,33,38,68,44
"301","ENSMUSG00000001674|Ddx18",491,364,373,384,376,411,546,509,706,433,422,360
"302","ENSMUSG00000001687|Ubl3",2720,2862,3314,3978,3317,2952,2906,3409,6933,3087,3412,2786
"303","ENSMUSG00000001700|Gramd3",1341,1428,1411,1176,1139,1435,969,2202,2737,930,1130,1247
"304","ENSMUSG00000001707|Eef1e1",385,189,238,363,307,246,397,223,574,270,274,232
"305","ENSMUSG00000001729|Akt1",2105,2107,2071,2482,2262,2443,2170,2653,4806,2271,2627,2324
"306","ENSMUSG00000001739|Cldn15",49,36,30,22,23,21,22,21,20,12,16,24
"307","ENSMUSG00000001741|Il16",210,250,215,139,203,259,226,353,418,182,246,200
"308","ENSMUSG00000001750|Tcirg1",1749,1572,1371,1699,1729,2111,1407,1984,2760,1557,2041,1861
"309","ENSMUSG00000001751|Naglu",1291,1279,934,1043,1125,1201,1233,1541,1832,997,1161,1040
"310","ENSMUSG00000001755|Coasy",4403,4369,4342,4589,4202,4241,4576,4861,8687,4181,4539,3886
"311","ENSMUSG00000001761|Smo",384,412,256,211,207,485,301,483,311,198,180,330
"312","ENSMUSG00000001763|Tspan33",548,597,421,544,803,587,486,464,988,496,805,607
"313","ENSMUSG00000001767|Crnkl1",930,739,657,814,745,745,833,819,1541,823,795,735
"314","ENSMUSG00000001768|Rin2",581,697,708,698,589,876,599,874,1286,582,723,609
"316","ENSMUSG00000001774|Chordc1",3364,915,1110,1844,2600,1025,1768,1036,2493,1664,2733,931
"317","ENSMUSG00000001783|D10Wsu52e",2257,2146,1956,2213,1874,2290,2258,2640,4359,2024,2046,1945
"318","ENSMUSG00000001785|Pwp1",799,581,533,674,598,572,775,653,1240,691,658,572
"319","ENSMUSG00000001786|Fbxo7",761,678,731,793,654,693,749,830,1421,648,619,606
"320","ENSMUSG00000001794|Capns1",3026,2750,2575,2586,2511,2828,2739,3297,5218,2481,2891,2615
"321","ENSMUSG00000001802|Lrp3",966,974,921,1189,1192,930,790,872,1879,921,1269,916
"327","ENSMUSG00000001829|Clpb",1971,1745,1370,1496,1929,1191,1437,1452,2668,1389,1984,1273
"328","ENSMUSG00000001833|Sept7",2210,2079,1892,1943,1840,2239,2281,2524,3956,1999,1817,1685
"329","ENSMUSG00000001844|Zdhhc4",618,532,528,592,521,491,581,560,981,507,539,496
"330","ENSMUSG00000001847|Rac1",4315,4241,4661,4936,4119,4516,4458,5051,8995,4297,4369,3804
"331","ENSMUSG00000001855|Nup214",649,563,519,507,541,582,524,518,889,535,537,501
"332","ENSMUSG00000001864|Aif1l",7,5,7,13,10,9,4,4,21,5,10,5
"334","ENSMUSG00000001870|Ltbp1",210,210,165,180,175,289,192,210,362,170,195,216
"335","ENSMUSG00000001891|Ugp2",13889,12463,18666,17358,11022,9223,12756,14884,46908,16350,11170,6987
"337","ENSMUSG00000001909|Trmt1",1041,974,868,1040,921,935,949,997,1749,871,983,766
"338","ENSMUSG00000001910|Nacc1",1448,1102,995,1187,1426,1133,1215,1098,1983,1128,1601,1003
"339","ENSMUSG00000001911|Nfix",2532,2616,2599,2432,2067,1836,2010,2513,4264,2188,2368,1527
"340","ENSMUSG00000001918|Slc1a5",171,193,105,129,165,139,110,147,171,132,102,124
"341","ENSMUSG00000001924|Uba1",8696,7894,6746,7479,7865,7916,7700,8238,13868,7044,8032,7010
"342","ENSMUSG00000001930|Vwf",541,635,466,454,560,538,434,607,824,525,450,400
"343","ENSMUSG00000001942|Siae",1783,1583,1834,1668,1253,1784,1757,2143,3259,1521,1458,1265
