Gene_name	Exon_length	Sample_CTR2_liver_ZT14_F	Sample_CTR2_liver_ZT18_F	Sample_CTR2_liver_ZT22_F	Sample_CTR1_liver_ZT02_F	Sample_CTR1_liver_ZT06_F	Sample_CTR1_liver_ZT10_F	Sample_CTR1_liver_ZT14_F	Sample_CTR1_liver_ZT18_F	Sample_CTR1_liver_ZT22_F	Sample_CTR2_liver_ZT02_F	Sample_CTR2_liver_ZT06_F	Sample_CTR2_liver_ZT10_F	Sample_GFM2_liver_ZT14_F	Sample_GFM2_liver_ZT18_F	Sample_GFM2_liver_ZT22_F	Sample_GFM1_liver_ZT02_F	Sample_GFM1_liver_ZT06_F	Sample_GFM1_liver_ZT10_F	Sample_GFM1_liver_ZT14_F	Sample_GFM1_liver_ZT18_F	Sample_GFM1_liver_ZT22_F	Sample_GFM2_liver_ZT02_F	Sample_GFM2_liver_ZT06_F	Sample_GFM2_liver_ZT10_F
11	ENSMUSG00000000088|Cox5a	1561	3844	4113	4691	4258	4317	4387	4363	4313	3735	4319	4038	3884	4298	4719	4488	4623	2779	3966	3741	3234	4758	3355	3570	3776
12	ENSMUSG00000000093|Tbx2	3626	205	192	205	183	206	188	183	162	162	173	211	195	195	140	150	177	164	192	155	142	139	228	209	222
13	ENSMUSG00000000094|Tbx4	3401	0	2	3	0	1	0	1	3	1	0	1	1	1	1	2	0	1	0	0	1	0	0	1	1
14	ENSMUSG00000000103|Zfy2	2816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
15	ENSMUSG00000000120|Ngfr	3446	157	189	338	346	447	177	115	181	207	379	288	221	112	143	276	376	324	215	75	71	252	254	327	299
16	ENSMUSG00000000125|Wnt3	3076	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
17	ENSMUSG00000000126|Wnt9a	3329	25	32	15	17	33	16	28	24	22	12	36	29	14	11	20	17	4	24	16	25	16	21	24	31
18	ENSMUSG00000000127|Fer	3473	432	406	573	567	559	611	408	422	449	591	587	556	441	312	475	456	363	471	402	351	429	424	558	556
19	ENSMUSG00000000131|Xpo6	14474	1476	1296	1635	1650	1486	1869	1400	1408	1392	1795	1595	1719	1456	1116	1388	1404	1065	1711	1148	1199	1214	1288	1669	1617
20	ENSMUSG00000000134|Tfe3	9261	814	751	858	859	911	734	756	732	763	930	772	775	702	708	864	908	684	806	568	874	699	817	1002	850
21	ENSMUSG00000000142|Axin2	5808	310	340	599	771	315	477	520	369	374	756	421	449	436	378	572	470	263	715	264	539	492	302	771	478
22	ENSMUSG00000000148|Baat1	6179	369	533	611	572	449	613	406	544	427	644	557	456	497	395	416	479	408	528	416	382	340	389	561	569
23	ENSMUSG00000000149|Gna12	3737	5264	4535	4718	3419	4504	5612	4591	4452	3653	3785	3763	5777	4165	3926	4374	3670	2834	5446	3450	4111	3258	3075	4027	5890
24	ENSMUSG00000000154|Slc22a18	1718	2241	2401	2506	2385	2708	2805	2117	2445	2077	2565	2517	2212	3096	2635	3270	3042	2670	3435	2319	2218	2891	2546	2783	3023
25	ENSMUSG00000000157|Itgb2l	2936	1	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	1	0	0	1	0
26	ENSMUSG00000000159|Igsf5	5887	928	857	865	794	1118	798	932	751	779	945	807	881	740	775	855	844	586	742	637	668	785	701	896	879
27	ENSMUSG00000000167|Pih1d2	2813	14	15	18	23	12	13	17	12	11	27	7	9	6	16	11	13	11	14	17	23	13	16	18	5
28	ENSMUSG00000000168|Dlat	4886	2390	1804	2180	3389	3620	3026	2553	1894	1780	3839	3122	2876	2980	1944	2193	2706	1452	2723	2476	1541	2494	2175	2625	2738
29	ENSMUSG00000000171|Sdhd	1287	6947	6499	7308	7906	6855	8075	6906	7399	5891	7894	6803	6541	8597	7394	7317	7720	6100	8173	7675	6787	7593	4798	6197	7380
30	ENSMUSG00000000182|Fgf23	1814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	ENSMUSG00000000183|Fgf6	1232	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
32	ENSMUSG00000000184|Ccnd2	6069	695	607	830	875	747	633	620	680	668	897	542	697	686	700	636	631	408	619	687	379	652	604	593	728
33	ENSMUSG00000000194|Gpr107	10766	763	962	988	882	930	1028	793	1020	754	932	879	897	977	798	915	891	835	1024	787	744	768	803	1081	927
34	ENSMUSG00000000197|Nalcn	7115	1	1	3	3	3	5	3	1	2	2	2	3	6	6	8	6	3	3	1	5	4	0	6	8
35	ENSMUSG00000000202|Btbd17	3187	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0
36	ENSMUSG00000000204|Slfn4	3969	14	9	33	11	13	23	10	17	13	15	18	11	3	3	15	2	21	7	5	5	5	3	23	13
37	ENSMUSG00000000214|Th	2364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
38	ENSMUSG00000000215|Ins2	810	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
39	ENSMUSG00000000216|Scnn1g	2991	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	1	0	0	0	0
40	ENSMUSG00000000223|Drp2	8553	0	0	2	4	2	3	2	2	0	1	2	0	1	1	0	3	2	1	1	2	2	0	6	3
41	ENSMUSG00000000244|Tspan32	3119	22	11	17	4	21	22	10	10	29	14	11	13	14	11	17	15	14	20	7	12	11	15	28	30
42	ENSMUSG00000000247|Lhx2	4996	129	125	148	140	144	121	131	130	127	147	127	107	127	121	155	142	116	146	95	104	140	95	165	132
43	ENSMUSG00000000248|Clec2g	6134	0	1	0	0	2	1	0	0	0	0	0	3	1	1	0	1	0	1	0	2	1	0	0	0
44	ENSMUSG00000000253|Gmpr	1871	45	42	59	51	59	42	49	42	43	73	58	45	39	51	50	42	48	46	37	14	54	38	41	26
45	ENSMUSG00000000263|Glra1	2993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	ENSMUSG00000000266|Mid2	8221	329	357	422	370	371	409	290	359	366	420	417	368	357	285	296	321	291	362	341	228	303	308	387	406
47	ENSMUSG00000000275|Trim25	5754	3513	2795	3922	4611	2164	4028	3460	4086	3323	4378	2695	2935	3951	2957	1872	2347	3189	3269	2824	2196	1714	2864	3638	2554
48	ENSMUSG00000000276|Dgke	8927	180	157	197	162	153	155	185	204	134	165	154	184	126	110	168	119	134	97	115	175	114	99	184	132
49	ENSMUSG00000000278|Scpep1	2589	1882	1525	1683	2063	2272	2122	1749	1764	1461	2198	1981	1964	2469	1822	2208	2116	2348	2472	1468	2354	1951	1780	2066	2645
50	ENSMUSG00000000282|Mnt	4627	232	358	158	166	256	221	230	285	271	171	290	278	266	214	448	224	173	278	161	328	415	211	222	259
51	ENSMUSG00000000290|Itgb2	3052	503	397	422	400	409	442	357	468	336	519	427	397	309	360	551	370	501	415	429	293	336	537	647	475
52	ENSMUSG00000000295|Hddc2	3509	43	46	47	47	37	62	44	44	41	53	35	44	42	24	32	43	33	39	33	26	34	26	35	32
53	ENSMUSG00000000296|Tpd52l1	1267	185	192	227	186	194	319	257	210	152	176	232	224	325	146	147	176	167	193	203	134	143	124	172	211
54	ENSMUSG00000000301|Pemt	2104	8384	9293	8813	8685	9647	9986	8983	8705	7307	9535	10132	8747	9588	10473	8980	10052	5252	9422	8376	6551	10708	6973	7938	8601
55	ENSMUSG00000000303|Cdh1	4574	1247	1889	2906	2045	2034	1497	1015	1674	2268	2033	2904	1732	1002	1867	1822	1677	1764	1395	1037	570	2549	840	794	883
56	ENSMUSG00000000305|Cdh4	8203	41	48	34	44	50	34	48	50	30	41	36	29	56	35	49	43	70	72	51	125	40	30	70	56
57	ENSMUSG00000000308|Ckmt1	2496	3	1	28	2	1	2	6	3	3	1	1	2	8	3	1	6	1	6	8	4	5	4	2	7
58	ENSMUSG00000000317|Bcl6b	3719	107	72	137	80	126	122	126	110	110	125	106	189	86	87	112	90	75	58	67	52	65	66	71	93
59	ENSMUSG00000000318|Clec10a	2899	27	9	19	16	14	21	23	6	16	24	14	21	9	8	11	19	18	14	15	9	11	16	18	11
60	ENSMUSG00000000320|Alox12	4085	34	48	53	55	30	26	26	20	43	34	32	47	10	15	11	15	10	24	11	5	26	26	20	26
61	ENSMUSG00000000325|Arvcf	6644	774	778	868	890	899	822	818	731	687	982	950	835	828	642	682	962	562	883	512	539	731	724	801	762
62	ENSMUSG00000000326|Comt	3283	16884	17457	26001	15836	18715	19114	17297	16546	18184	17516	18127	20009	15091	16037	14678	15765	9075	16255	13912	9619	16635	14501	21213	20596
63	ENSMUSG00000000339|Rtcd1	5343	282	277	274	288	298	313	287	271	257	304	273	296	296	252	285	341	257	330	276	263	231	236	312	314
64	ENSMUSG00000000340|Dbt	3738	4605	4833	5702	5297	4039	6422	4810	5730	4724	5725	5693	4238	6896	4858	6311	5335	4189	5361	5078	5607	5861	4245	5083	4227
65	ENSMUSG00000000346|Dazap2	1826	2837	2390	3153	3239	3244	3390	2661	2573	2851	3381	2915	2966	3091	2258	2777	2695	2843	2994	2311	2133	2360	2618	3699	3403
66	ENSMUSG00000000355|Mcts1	1571	582	555	640	603	594	573	577	610	585	696	509	521	594	573	569	561	391	592	550	567	555	422	633	551
67	ENSMUSG00000000359|Rem1	2156	6	8	20	28	22	17	14	22	15	13	13	13	12	20	11	18	12	16	10	24	16	12	17	8
68	ENSMUSG00000000365|Rnf17	5251	16	7	7	2	12	6	7	3	8	8	5	4	4	2	2	2	6	6	5	0	4	3	1	1
69	ENSMUSG00000000374|Trappc10	5048	1515	1331	1481	1523	1264	1369	1474	1334	1341	1630	1080	1268	1072	1319	1582	1461	1098	1251	1125	1506	1231	1403	1469	1261
70	ENSMUSG00000000378|Ccm2	4147	695	580	633	621	707	629	636	596	557	664	505	614	655	515	531	606	496	571	460	485	476	570	598	704
71	ENSMUSG00000000381|Wap	1008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
72	ENSMUSG00000000384|Tbrg4	3838	883	956	1211	935	797	1079	929	912	781	970	858	904	1049	838	859	963	767	979	1104	725	773	710	847	872
73	ENSMUSG00000000385|Tmprss2	3159	240	289	269	339	359	198	219	317	223	404	270	180	171	313	232	239	247	263	156	261	280	160	253	192
74	ENSMUSG00000000386|Mx1	3646	47	49	102	99	60	90	31	61	65	105	115	61	39	42	57	53	44	41	24	17	25	17	71	36
75	ENSMUSG00000000392|Fap	5662	12	8	8	4	7	10	5	5	6	8	10	5	4	8	9	8	9	8	4	5	6	8	10	7
76	ENSMUSG00000000394|Gcg	1494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
77	ENSMUSG00000000399|Ndufa9	1322	3592	3268	4239	3851	4264	4537	3928	3700	3419	4262	3874	3470	3905	3708	4139	3473	2752	3410	3160	2970	3936	3027	3790	3805
78	ENSMUSG00000000402|Egfl6	2704	5	3	9	1	3	8	2	5	5	8	2	0	2	3	4	2	1	3	3	0	2	3	2	3
79	ENSMUSG00000000409|Lck	2929	46	35	38	35	51	23	20	46	49	40	37	28	33	32	36	36	50	59	26	25	28	41	33	35
80	ENSMUSG00000000411|Tssk3	1280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0
81	ENSMUSG00000000416|Cttnbp2	10690	13	11	27	25	26	25	22	15	22	21	7	23	16	13	15	22	18	15	11	11	15	15	19	13
82	ENSMUSG00000000420|Galnt1	6998	2316	2362	2613	2208	2370	2106	2452	2422	2250	2478	2057	1989	1922	2037	2440	2224	1888	2030	1820	2109	2086	1841	2372	2170
83	ENSMUSG00000000435|Myf5	2083	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
84	ENSMUSG00000000439|Mkrn2	2240	535	542	578	561	560	719	491	486	431	542	666	650	693	435	576	536	513	627	513	451	553	450	628	714
85	ENSMUSG00000000440|Pparg	1984	429	256	280	359	534	401	322	240	244	434	336	417	249	121	140	181	124	333	186	118	78	237	205	383
86	ENSMUSG00000000441|Raf1	7414	3461	3278	3710	3581	5160	3285	3265	3147	3457	4008	3806	3598	2726	3174	4199	4124	2868	3511	2445	3378	3682	2918	3293	3537
87	ENSMUSG00000000486|Sept1	2060	37	36	37	33	37	31	33	37	35	41	39	48	30	15	26	42	56	46	13	15	37	45	49	49
88	ENSMUSG00000000489|Pdgfb	2918	74	57	61	85	65	117	58	70	45	73	62	48	49	58	66	80	70	54	62	40	56	38	63	63
89	ENSMUSG00000000530|Acvrl1	4586	194	152	196	179	168	164	148	173	134	239	163	145	146	154	169	157	165	160	137	103	121	116	160	152
90	ENSMUSG00000000531|Grasp	2013	89	82	73	84	68	89	80	46	68	72	60	69	92	44	50	78	41	97	69	91	51	64	79	78
91	ENSMUSG00000000532|Acvr1b	4375	372	701	607	517	569	674	431	654	506	540	858	705	507	457	559	511	400	697	443	447	519	354	541	653
92	ENSMUSG00000000538|Tom1l2	9763	824	713	848	870	982	1164	609	767	642	854	1039	1060	869	593	705	728	646	1033	637	592	657	579	756	912
93	ENSMUSG00000000544|Gpa33	2742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
94	ENSMUSG00000000552|Zfp385a	2291	150	167	194	178	198	81	123	126	154	221	113	136	67	106	133	143	125	124	78	95	117	151	137	154
95	ENSMUSG00000000555|Itga5	4379	745	823	1259	1117	600	447	676	1159	783	1209	439	397	524	1108	1118	876	660	390	463	775	918	723	866	519
96	ENSMUSG00000000560|Gabra2	2392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
97	ENSMUSG00000000561|Wdr77	7504	1083	888	1222	1138	937	1130	1195	942	996	1184	877	1073	1085	838	963	1091	682	849	963	641	740	765	980	890
98	ENSMUSG00000000562|Adora3	2524	9	2	2	6	4	3	5	4	3	8	1	3	1	0	1	5	3	1	0	1	1	2	1	1
99	ENSMUSG00000000563|Atp5f1	4245	10315	10374	12175	10730	11898	12967	10842	10756	9675	11797	11419	10510	11508	10958	11779	11437	8519	10411	9521	8796	11236	8540	9957	10257
100	ENSMUSG00000000567|Sox9	4135	85	117	173	160	60	62	72	211	121	163	147	81	86	112	170	175	105	76	77	80	124	69	102	58
101	ENSMUSG00000000568|Hnrnpd	5176	547	497	576	692	536	763	554	577	481	744	707	727	733	332	484	596	508	714	675	461	513	434	690	607
102	ENSMUSG00000000579|Dynlt1c	3777	16	18	22	17	14	17	11	13	15	18	37	16	15	4	18	21	17	16	17	14	20	15	18	19
103	ENSMUSG00000000581|C1d	3995	1411	1098	1613	1463	1510	1840	1440	1361	1404	1780	1544	1608	1536	1229	1300	1406	826	1399	1379	1050	1189	1119	1619	1589
104	ENSMUSG00000000594|Gm2a	4127	5453	5830	6716	7518	5709	6260	4453	6743	5483	7194	6414	6209	5909	5941	6554	6236	6188	6960	5190	5457	6892	3835	4349	4902
105	ENSMUSG00000000600|Krit1	6151	650	688	885	952	657	696	680	793	856	937	548	572	664	651	822	740	548	598	584	727	642	630	750	517
106	ENSMUSG00000000605|Clcn4-2	4634	3263	3016	3429	3215	3131	2988	3192	3010	3014	3459	2546	2681	1253	1197	1575	1466	1484	1426	1245	1755	1224	2427	3271	3302
107	ENSMUSG00000000606|Vmn2r88	3222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	ENSMUSG00000000617|Grm6	5486	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
109	ENSMUSG00000000627|Sema4f	5137	4	1	0	1	1	0	1	3	1	1	1	1	2	1	0	2	3	0	2	1	1	6	2	1
110	ENSMUSG00000000628|Hk2	8198	153	158	147	149	178	122	116	139	107	152	147	161	98	134	202	117	155	147	124	101	121	59	192	136
111	ENSMUSG00000000631|Myo18a	17159	4684	4240	4477	4470	4324	5608	4497	4070	3433	4614	4145	6130	5709	3103	3573	3402	3092	5519	5229	3679	3519	3202	4871	4742
112	ENSMUSG00000000632|Sez6	5779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
113	ENSMUSG00000000673|Haao	1222	12533	11734	14746	16348	16146	18886	13014	14055	12740	17409	17198	14387	15663	15830	16473	16163	8934	15088	13588	9902	19483	13150	14088	14567
114	ENSMUSG00000000682|Cd52	4062	261	218	209	205	256	202	177	257	227	274	237	202	161	215	244	210	275	240	141	133	157	207	271	202
115	ENSMUSG00000000686|Abhd15	12957	2194	2440	2297	1645	2304	3119	2015	2547	1714	1795	1958	2168	2817	2367	2951	1807	1951	2649	2522	2373	2312	1344	2153	2535
116	ENSMUSG00000000690|Hoxb6	2256	1	5	2	1	7	1	2	5	7	2	3	1	7	1	7	0	3	2	1	3	2	6	3	4
117	ENSMUSG00000000693|Loxl3	4196	107	110	112	121	147	125	109	96	93	145	119	138	84	102	108	78	79	96	74	53	64	88	102	106
118	ENSMUSG00000000701|Tcl1b5	1039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
119	ENSMUSG00000000706|Btn1a1	3933	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
120	ENSMUSG00000000708|Kat2b	5350	6782	3686	4555	4620	6774	5969	6280	3966	4239	5340	4591	6061	6541	3735	4496	3961	3396	4860	3852	4493	3971	3852	5664	5931
121	ENSMUSG00000000711|Rab5b	3166	3273	2833	3543	3700	3940	4490	3127	2915	3172	3815	4072	3826	3257	2509	3211	3057	2357	3622	2848	2519	3130	2863	3472	3749
122	ENSMUSG00000000724|Cryba1	1594	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
123	ENSMUSG00000000730|Dnmt3l	3602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
124	ENSMUSG00000000731|Aire	4041	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
125	ENSMUSG00000000732|Icosl	2756	56	34	41	51	65	52	50	61	44	40	46	70	66	27	57	45	69	59	39	40	70	45	63	64
126	ENSMUSG00000000738|Spg7	4188	1543	1441	1670	1597	1607	1834	1741	1361	1351	1743	1683	1529	1642	1415	1537	1549	1117	1560	1280	1481	1573	1268	1597	1553
127	ENSMUSG00000000739|Sult5a1	1764	318	383	523	468	255	369	409	449	462	311	598	503	79	155	228	139	50	123	124	53	188	106	286	441
128	ENSMUSG00000000740|Rpl13	2352	5415	5602	5821	5492	5558	5445	5507	5394	4780	6162	5829	5254	5098	5747	5643	5098	4319	4840	4499	4250	5518	4523	5570	5943
129	ENSMUSG00000000743|Chmp1a	3659	2016	1926	2196	1842	2016	2152	1970	1740	1736	2007	1873	2002	2154	1646	1984	1814	1948	2344	1881	1510	1755	1670	2238	2684
130	ENSMUSG00000000751|Rpa1	5578	1103	1463	1480	1439	1476	1701	1160	1525	1171	1603	1688	1268	1033	1235	1393	1284	930	1252	1093	766	1221	897	1429	1634
131	ENSMUSG00000000753|Serpinf1	2769	19331	21441	23354	22494	21586	22040	20228	22872	18966	21708	21551	19574	17745	18740	23062	18396	17814	19733	15908	17993	19729	15131	16308	18518
132	ENSMUSG00000000759|Tubgcp3	8672	627	746	809	825	690	822	672	740	720	879	739	731	690	631	748	726	582	652	615	597	581	703	770	689
133	ENSMUSG00000000766|Oprm1	16952	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	2
134	ENSMUSG00000000776|Polr3d	2156	206	193	293	290	205	328	266	249	199	348	240	238	290	190	225	331	167	218	328	164	183	228	250	187
135	ENSMUSG00000000782|Tcf7	5377	145	132	134	216	200	219	183	137	113	236	150	236	128	113	128	170	91	197	122	150	138	88	256	179
136	ENSMUSG00000000787|Ddx3x	5277	18222	11928	14808	13502	14366	14999	18685	12392	12919	15187	9130	13771	16630	11047	12805	11218	13675	11005	10518	15257	9860	12796	15834	11218
137	ENSMUSG00000000791|Il12rb1	2873	30	26	11	4	14	18	23	20	8	17	9	19	19	11	11	8	10	18	15	23	10	12	14	24
138	ENSMUSG00000000792|Slc5a5	2928	1	0	0	1	1	0	0	2	0	1	0	1	1	0	1	0	2	1	0	0	0	0	2	0
139	ENSMUSG00000000794|Kcnn3	3080	1	5	2	8	3	1	1	2	1	1	2	1	3	5	3	3	4	3	1	2	3	1	1	3
140	ENSMUSG00000000804|Usp32	9284	1601	1457	1535	1490	1970	1337	1376	1271	1498	1464	1355	1495	1367	1087	1534	1374	1562	1581	905	1712	1483	1321	1462	1488
141	ENSMUSG00000000805|Car4	1966	1	1	3	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	3	0	1	0	2	5
142	ENSMUSG00000000811|Txnrd3	2836	311	304	419	449	403	498	301	255	275	528	422	480	420	170	223	274	241	389	299	172	283	275	367	470
143	ENSMUSG00000000817|Fasl	1935	11	11	9	11	10	7	10	11	15	11	9	7	7	7	9	9	9	10	5	16	4	7	12	8
144	ENSMUSG00000000823|Znf512b	6997	1041	918	1065	977	1308	1041	1038	855	883	1124	1199	1186	895	621	1143	1000	924	1186	658	1070	819	870	1274	1282
145	ENSMUSG00000000826|Dnajc5	6953	2909	2664	2945	2690	2741	2675	3046	2518	2446	2768	2157	2604	2677	2294	2566	2483	2246	2527	2430	2496	2155	2132	2869	2405
146	ENSMUSG00000000827|Tpd52l2	5010	1181	1047	1070	1088	1155	1374	1109	1197	965	1155	1023	1184	1381	1053	1125	996	920	1180	1042	974	1037	899	1210	1137
147	ENSMUSG00000000838|Fmr1	9094	1326	1141	1455	1429	1378	1535	1336	1237	1190	1636	1363	1266	1350	979	1178	1236	934	1279	935	1139	959	869	1306	1153
148	ENSMUSG00000000861|Bcl11a	14319	18	11	16	25	25	21	8	22	19	26	19	19	18	10	13	18	25	36	9	6	12	25	14	17
149	ENSMUSG00000000869|Il4	1227	2	0	2	0	1	2	2	1	1	0	0	0	0	0	1	1	1	1	2	1	1	1	1	0
150	ENSMUSG00000000876|Pxmp4	3114	3066	2827	4324	3183	2303	2890	3300	2856	3717	3250	1948	2627	2924	2443	2954	2597	2287	2318	2058	2287	2811	3324	3167	2814
151	ENSMUSG00000000881|Dlg3	5844	635	787	758	693	892	791	542	798	689	738	975	752	794	730	831	719	688	879	466	742	780	551	840	899
152	ENSMUSG00000000884|Gnb1l	4883	55	55	64	95	54	76	42	50	55	109	75	83	54	39	55	72	45	60	60	41	35	47	79	77
153	ENSMUSG00000000889|Dbh	2692	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	ENSMUSG00000000901|Mmp11	2572	16	25	44	48	36	21	13	27	29	42	34	30	20	23	24	25	42	36	7	17	20	13	23	26
155	ENSMUSG00000000902|Smarcb1	7930	519	567	776	831	597	616	561	687	532	854	647	545	434	615	715	739	369	536	601	502	538	498	661	548
156	ENSMUSG00000000903|Vpreb3	1252	23	17	16	7	5	57	20	31	11	6	4	18	44	82	21	3	5	9	31	16	33	5	1	8
157	ENSMUSG00000000915|Hip1r	5022	1547	1256	1188	1059	901	889	1475	1047	990	1096	990	975	1195	936	1170	1207	1278	1195	1481	1099	1275	1321	1630	1187
158	ENSMUSG00000000916|Nsun5	3142	305	338	337	358	312	324	309	349	326	333	273	313	297	284	315	307	271	312	260	302	244	264	361	336
159	ENSMUSG00000000934|Top1mt	2618	657	578	938	952	645	849	575	649	712	1082	863	672	604	444	653	673	420	631	563	448	536	545	850	686
160	ENSMUSG00000000938|Hoxa10	3838	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
161	ENSMUSG00000000942|Hoxa4	1594	7	7	4	9	9	5	13	7	3	12	7	4	11	6	13	8	7	15	11	10	7	3	13	8
162	ENSMUSG00000000948|Snrpn	2159	181	242	364	387	198	532	240	247	237	421	478	356	229	154	144	285	96	323	293	86	159	110	193	176
163	ENSMUSG00000000957|Mmp14	2597	1256	1348	1877	1813	1483	1115	1466	1599	1496	1918	1100	1059	1193	1670	1879	1882	1521	1215	925	1045	1462	1583	2357	1498
164	ENSMUSG00000000958|Slc7a7	2142	120	117	142	158	122	117	103	139	137	160	130	131	99	116	129	133	120	112	107	75	111	107	148	107
165	ENSMUSG00000000959|Oxa1l	2534	1075	1171	1332	1351	1264	1266	1059	1155	1073	1387	1312	1160	1488	960	1130	1312	1055	1431	1060	797	1026	1198	1296	1365
166	ENSMUSG00000000976|Heatr6	6529	598	573	740	753	510	668	611	635	564	703	540	540	600	592	523	645	615	708	607	572	509	563	663	558
167	ENSMUSG00000000982|Ccl3	766	4	7	7	4	5	5	3	6	5	3	4	2	5	2	16	2	14	0	6	7	3	0	2	6
168	ENSMUSG00000000983|Wfdc18	1220	3	1	2	3	6	2	1	3	2	3	5	3	3	1	4	2	2	5	7	2	3	1	4	7
169	ENSMUSG00000001014|Icam4	1159	2	22	9	11	8	1	7	16	12	7	2	2	9	9	16	13	14	14	10	17	16	4	5	9
